panel	ranker_scheme	variant	instance_coverage	candidate_labeled_coverage	same_role_purity	accepted_candidates	candidate_precision	spatial_recall	set_coverage_recall	one_to_one_recall	crop_exposure_scene_frequency_at_0.00	crop_exposure_scene_frequency_at_0.01	crop_exposure_scene_frequency_at_0.10	proposal_set_coverage_ceiling	per_tile_K20_oracle_one_to_one_recall	metric	contracts	positive_contracts	zero_contracts	negative_contracts	minimum_effect	median_effect	maximum_effect	role_qualified_recall	mean_candidates_per_tile
b,d	commissioned_only_shared	original	0.5	0.5	0.9	471.0	0.5859872611464968	0.1875	0.11974299065420561	0.0969626168224299	0.8461538461538461	0.8461538461538461	0.8461538461538461	0.1927570093457944	0.13960280373831777										
b,d	commissioned_only_shared	commissioned	0.5	0.5	0.9	471.0	0.5180467091295117	0.2692757009345794	0.15712616822429906	0.11565420560747663	0.8846153846153846	0.8846153846153846	0.8846153846153846	0.30257009345794394	0.16179906542056074										
b,d	original_only_shared	original	0.5	0.5	0.9	471.0	0.5881104033970276	0.16822429906542055	0.10455607476635514	0.08586448598130841	0.8076923076923077	0.8076923076923077	0.8076923076923077	0.1927570093457944	0.13960280373831777										
b,d	original_only_shared	commissioned	0.5	0.5	0.9	471.0	0.23779193205944799	0.04147196261682243	0.035046728971962614	0.0344626168224299	0.2692307692307692	0.2692307692307692	0.2692307692307692	0.30257009345794394	0.16179906542056074										
b,d	union_shared	original	0.5	0.5	0.9	471.0	0.5923566878980892	0.18925233644859812	0.12207943925233646	0.09813084112149532	0.8461538461538461	0.8461538461538461	0.8461538461538461	0.1927570093457944	0.13960280373831777										
b,d	union_shared	commissioned	0.5	0.5	0.9	471.0	0.5222929936305732	0.2739485981308411	0.16004672897196262	0.1191588785046729	0.8461538461538461	0.8461538461538461	0.8461538461538461	0.30257009345794394	0.16179906542056074										
b,d	reciprocal_cross_pool	original	0.5	0.5	0.9	471.0	0.5859872611464968	0.1875	0.11974299065420561	0.0969626168224299	0.8461538461538461	0.8461538461538461	0.8461538461538461	0.1927570093457944	0.13960280373831777										
b,d	reciprocal_cross_pool	commissioned	0.5	0.5	0.9	471.0	0.23779193205944799	0.04147196261682243	0.035046728971962614	0.0344626168224299	0.2692307692307692	0.2692307692307692	0.2692307692307692	0.30257009345794394	0.16179906542056074										
c	commissioned_only_shared															one_to_one_recall	27	15	0	12	-0.03679906542056076	0.017523364485981324	0.05724299065420561		
c	commissioned_only_shared															set_coverage_recall	27	19	0	8	-0.05490654205607476	0.036214953271028055	0.09170560747663552		
c	commissioned_only_shared															spatial_recall	27	27	0	0	0.04614485981308411	0.08177570093457942	0.09637850467289719		
c	commissioned_only_shared															candidate_precision	27	9	0	18	-0.17409766454352443	-0.06794055201698512	0.02123142250530785		
c	original_only_shared															one_to_one_recall	27	0	0	27	-0.08469626168224301	-0.05140186915887851	-0.02102803738317757		
c	original_only_shared															set_coverage_recall	27	0	0	27	-0.16939252336448596	-0.09228971962616823	-0.03095794392523364		
c	original_only_shared															spatial_recall	27	0	0	27	-0.16880841121495327	-0.12675233644859812	-0.09287383177570094		
c	original_only_shared															candidate_precision	27	0	0	27	-0.35881104033970274	-0.346072186836518	-0.28025477707006374		
c	union_shared															one_to_one_recall	27	16	1	10	-0.03679906542056076	0.01635514018691589	0.06016355140186916		
c	union_shared															set_coverage_recall	27	20	0	7	-0.055490654205607476	0.033878504672897214	0.09404205607476636		
c	union_shared															spatial_recall	27	27	0	0	0.04614485981308411	0.08469626168224298	0.10280373831775699		
c	union_shared															candidate_precision	27	9	0	18	-0.17409766454352443	-0.07006369426751591	0.010615711252653925		
c	reciprocal_cross_pool															one_to_one_recall	27	0	0	27	-0.09112149532710281	-0.0625	-0.02628504672897196		
c	reciprocal_cross_pool															set_coverage_recall	27	0	0	27	-0.18399532710280375	-0.10689252336448599	-0.039135514018691586		
c	reciprocal_cross_pool															spatial_recall	27	0	0	27	-0.18866822429906543	-0.14602803738317757	-0.11039719626168225		
c	reciprocal_cross_pool															candidate_precision	27	0	0	27	-0.35668789808917195	-0.346072186836518	-0.2738853503184714		
a		original						0.2973																0.1928	30.85
a		commissioned						0.5713																0.3026	90.42
