oracle_contract	crop_constraint	k	optimization_exact_all_images	aggregation	stratum	images	accepted_candidates	weed_candidates	all_candidate_queue_precision	weed_truth_instances	spatial_recalled_weed_instances	queued_spatial_weed_instance_recall	role_qualified_recalled_weed_instances	queued_role_qualified_weed_instance_recall	one_to_one_spatial_matches	one_to_one_spatial_recall	one_to_one_role_qualified_matches	one_to_one_role_qualified_recall	crop_overlap_scene_numerator_0.00	crop_overlap_scene_frequency_0.00	crop_overlap_scene_numerator_0.01	crop_overlap_scene_frequency_0.01	crop_overlap_scene_numerator_0.10	crop_overlap_scene_frequency_0.10	crop_overlap_scene_numerator_0.50	crop_overlap_scene_frequency_0.50
spatial	unconstrained	1	1	pooled_test	ALL	26	26	15	0.5769230769230769	1712	195	0.1139018691588785	57	0.0332943925233644	26	0.0151869158878504	15	0.0087616822429906	5	0.1923076923076923	5	0.1923076923076923	4	0.1538461538461538	0	0.0
spatial	unconstrained	5	1	pooled_test	ALL	26	120	70	0.5833333333333334	1712	396	0.2313084112149532	173	0.1010514018691588	120	0.0700934579439252	70	0.0408878504672897	10	0.3846153846153846	10	0.3846153846153846	10	0.3846153846153846	1	0.0384615384615384
spatial	unconstrained	10	1	pooled_test	ALL	26	215	119	0.5534883720930233	1712	536	0.3130841121495327	252	0.1471962616822429	215	0.1255841121495327	119	0.0695093457943925	13	0.5	13	0.5	13	0.5	5	0.1923076923076923
spatial	unconstrained	20	1	pooled_test	ALL	26	371	212	0.5714285714285714	1712	719	0.4199766355140187	360	0.2102803738317757	371	0.2167056074766355	212	0.1238317757009345	15	0.5769230769230769	15	0.5769230769230769	15	0.5769230769230769	7	0.2692307692307692
spatial	unconstrained	50	1	pooled_test	ALL	26	612	358	0.5849673202614379	1712	961	0.5613317757009346	507	0.2961448598130841	612	0.3574766355140187	358	0.2091121495327103	16	0.6153846153846154	16	0.6153846153846154	16	0.6153846153846154	9	0.3461538461538461
spatial	crop_fraction_at_most_0.01	1	1	pooled_test	ALL	26	26	19	0.7307692307692307	1712	79	0.0461448598130841	65	0.0379672897196261	26	0.0151869158878504	19	0.0110981308411214	0	0.0	0	0.0	0	0.0	0	0.0
spatial	crop_fraction_at_most_0.01	5	1	pooled_test	ALL	26	119	83	0.6974789915966386	1712	245	0.143107476635514	193	0.112733644859813	119	0.0695093457943925	83	0.0484813084112149	0	0.0	0	0.0	0	0.0	0	0.0
spatial	crop_fraction_at_most_0.01	10	1	pooled_test	ALL	26	212	141	0.6650943396226415	1712	368	0.2149532710280373	273	0.1594626168224299	212	0.1238317757009345	141	0.0823598130841121	0	0.0	0	0.0	0	0.0	0	0.0
spatial	crop_fraction_at_most_0.01	20	1	pooled_test	ALL	26	362	237	0.6546961325966851	1712	532	0.3107476635514019	378	0.2207943925233645	362	0.2114485981308411	237	0.1384345794392523	0	0.0	0	0.0	0	0.0	0	0.0
spatial	crop_fraction_at_most_0.01	50	1	pooled_test	ALL	26	561	360	0.6417112299465241	1712	731	0.4269859813084112	501	0.2926401869158878	561	0.3276869158878505	360	0.2102803738317757	0	0.0	0	0.0	0	0.0	0	0.0
role_qualified	unconstrained	1	1	pooled_test	ALL	26	24	24	1.0	1712	74	0.0432242990654205	74	0.0432242990654205	24	0.014018691588785	24	0.014018691588785	1	0.0384615384615384	1	0.0384615384615384	0	0.0	0	0.0
role_qualified	unconstrained	5	1	pooled_test	ALL	26	96	96	1.0	1712	214	0.125	214	0.125	96	0.0560747663551401	96	0.0560747663551401	1	0.0384615384615384	1	0.0384615384615384	0	0.0	0	0.0
role_qualified	unconstrained	10	1	pooled_test	ALL	26	168	168	1.0	1712	310	0.1810747663551402	310	0.1810747663551402	168	0.0981308411214953	168	0.0981308411214953	1	0.0384615384615384	1	0.0384615384615384	0	0.0	0	0.0
role_qualified	unconstrained	20	1	pooled_test	ALL	26	277	277	1.0	1712	426	0.2488317757009346	426	0.2488317757009346	277	0.1617990654205607	277	0.1617990654205607	1	0.0384615384615384	1	0.0384615384615384	0	0.0	0	0.0
role_qualified	unconstrained	50	1	pooled_test	ALL	26	369	369	1.0	1712	518	0.3025700934579439	518	0.3025700934579439	369	0.2155373831775701	369	0.2155373831775701	1	0.0384615384615384	1	0.0384615384615384	0	0.0	0	0.0
role_qualified	crop_fraction_at_most_0.01	1	1	pooled_test	ALL	26	24	24	1.0	1712	70	0.0408878504672897	70	0.0408878504672897	24	0.014018691588785	24	0.014018691588785	0	0.0	0	0.0	0	0.0	0	0.0
role_qualified	crop_fraction_at_most_0.01	5	1	pooled_test	ALL	26	96	96	1.0	1712	207	0.120911214953271	207	0.120911214953271	96	0.0560747663551401	96	0.0560747663551401	0	0.0	0	0.0	0	0.0	0	0.0
role_qualified	crop_fraction_at_most_0.01	10	1	pooled_test	ALL	26	168	168	1.0	1712	303	0.1769859813084112	303	0.1769859813084112	168	0.0981308411214953	168	0.0981308411214953	0	0.0	0	0.0	0	0.0	0	0.0
role_qualified	crop_fraction_at_most_0.01	20	1	pooled_test	ALL	26	277	277	1.0	1712	418	0.2441588785046729	418	0.2441588785046729	277	0.1617990654205607	277	0.1617990654205607	0	0.0	0	0.0	0	0.0	0	0.0
role_qualified	crop_fraction_at_most_0.01	50	1	pooled_test	ALL	26	368	368	1.0	1712	509	0.2973130841121495	509	0.2973130841121495	368	0.2149532710280373	368	0.2149532710280373	0	0.0	0	0.0	0	0.0	0	0.0
