model	k	aggregation	stratum	images	accepted_candidates	weed_candidates	all_candidate_queue_precision	weed_truth_instances	spatial_recalled_weed_instances	queued_spatial_weed_instance_recall	role_qualified_recalled_weed_instances	queued_role_qualified_weed_instance_recall	one_to_one_spatial_matches	one_to_one_spatial_recall	one_to_one_role_qualified_matches	one_to_one_role_qualified_recall	crop_overlap_scene_numerator_0.00	crop_overlap_scene_frequency_0.00	crop_overlap_scene_numerator_0.01	crop_overlap_scene_frequency_0.01	crop_overlap_scene_numerator_0.10	crop_overlap_scene_frequency_0.10	crop_overlap_scene_numerator_0.50	crop_overlap_scene_frequency_0.50
source_resnet18_role_score	1	pooled_test	ALL	26	26	12	0.4615384615384615	1712	14	0.0081775700934579	9	0.0052570093457943	13	0.0075934579439252	9	0.0052570093457943	10	0.3846153846153846	10	0.3846153846153846	10	0.3846153846153846	5	0.1923076923076923
source_resnet18_role_score	5	pooled_test	ALL	26	130	54	0.4153846153846154	1712	78	0.0455607476635514	46	0.0268691588785046	59	0.0344626168224299	37	0.0216121495327102	15	0.5769230769230769	15	0.5769230769230769	15	0.5769230769230769	9	0.3461538461538461
source_resnet18_role_score	10	pooled_test	ALL	26	260	109	0.4192307692307692	1712	159	0.0928738317757009	107	0.0625	118	0.0689252336448598	79	0.0461448598130841	20	0.7692307692307693	20	0.7692307692307693	20	0.7692307692307693	12	0.4615384615384615
source_resnet18_role_score	20	pooled_test	ALL	26	520	187	0.3596153846153846	1712	318	0.1857476635514018	192	0.1121495327102803	205	0.1197429906542056	138	0.080607476635514	20	0.7692307692307693	20	0.7692307692307693	20	0.7692307692307693	16	0.6153846153846154
source_resnet18_role_score	50	pooled_test	ALL	26	1237	340	0.274858528698464	1712	662	0.3866822429906542	361	0.2108644859813084	392	0.2289719626168224	257	0.1501168224299065	22	0.8461538461538461	22	0.8461538461538461	22	0.8461538461538461	19	0.7307692307692307
eligible_role_plus_local_logistic	1	pooled_test	ALL	26	26	3	0.1153846153846153	1712	112	0.0654205607476635	12	0.0070093457943925	4	0.0023364485981308	2	0.0011682242990654	2	0.0769230769230769	2	0.0769230769230769	2	0.0769230769230769	0	0.0
eligible_role_plus_local_logistic	5	pooled_test	ALL	26	130	26	0.2	1712	158	0.0922897196261682	44	0.0257009345794392	29	0.0169392523364485	19	0.0110981308411214	8	0.3076923076923077	8	0.3076923076923077	8	0.3076923076923077	2	0.0769230769230769
eligible_role_plus_local_logistic	10	pooled_test	ALL	26	260	58	0.2230769230769231	1712	216	0.1261682242990654	76	0.0443925233644859	63	0.0367990654205607	44	0.0257009345794392	9	0.3461538461538461	9	0.3461538461538461	9	0.3461538461538461	3	0.1153846153846153
eligible_role_plus_local_logistic	20	pooled_test	ALL	26	520	118	0.2269230769230769	1712	321	0.1875	151	0.0882009345794392	138	0.080607476635514	95	0.0554906542056074	13	0.5	13	0.5	13	0.5	4	0.1538461538461538
eligible_role_plus_local_logistic	50	pooled_test	ALL	26	1237	309	0.2497978981406629	1712	642	0.375	350	0.2044392523364486	376	0.219626168224299	245	0.143107476635514	19	0.7307692307692307	19	0.7307692307692307	19	0.7307692307692307	9	0.3461538461538461
all_candidate_role_plus_local_logistic	1	pooled_test	ALL	26	26	10	0.3846153846153846	1712	111	0.0648364485981308	8	0.0046728971962616	13	0.0075934579439252	8	0.0046728971962616	13	0.5	13	0.5	13	0.5	9	0.3461538461538461
all_candidate_role_plus_local_logistic	5	pooled_test	ALL	26	130	68	0.5230769230769231	1712	193	0.112733644859813	75	0.0438084112149532	73	0.0426401869158878	57	0.0332943925233644	17	0.6538461538461539	17	0.6538461538461539	17	0.6538461538461539	11	0.4230769230769231
all_candidate_role_plus_local_logistic	10	pooled_test	ALL	26	260	131	0.5038461538461538	1712	288	0.1682242990654205	144	0.0841121495327102	141	0.0823598130841121	109	0.0636682242990654	22	0.8461538461538461	22	0.8461538461538461	22	0.8461538461538461	16	0.6153846153846154
all_candidate_role_plus_local_logistic	20	pooled_test	ALL	26	520	247	0.475	1712	467	0.2727803738317757	273	0.1594626168224299	265	0.1547897196261682	201	0.1174065420560747	23	0.8846153846153846	23	0.8846153846153846	23	0.8846153846153846	16	0.6153846153846154
all_candidate_role_plus_local_logistic	50	pooled_test	ALL	26	1237	425	0.34357316087308	1712	811	0.473714953271028	476	0.2780373831775701	505	0.2949766355140187	342	0.1997663551401869	24	0.9230769230769232	24	0.9230769230769232	24	0.9230769230769232	21	0.8076923076923077
all_candidate_geometry_only_logistic	1	pooled_test	ALL	26	26	8	0.3076923076923077	1712	139	0.0811915887850467	24	0.014018691588785	16	0.0093457943925233	8	0.0046728971962616	13	0.5	13	0.5	13	0.5	4	0.1538461538461538
all_candidate_geometry_only_logistic	5	pooled_test	ALL	26	130	53	0.4076923076923077	1712	261	0.1524532710280373	99	0.0578271028037383	81	0.0473130841121495	51	0.0297897196261682	19	0.7307692307692307	19	0.7307692307692307	19	0.7307692307692307	6	0.2307692307692307
all_candidate_geometry_only_logistic	10	pooled_test	ALL	26	260	111	0.4269230769230769	1712	365	0.2132009345794392	174	0.1016355140186915	156	0.0911214953271028	103	0.0601635514018691	21	0.8076923076923077	21	0.8076923076923077	21	0.8076923076923077	8	0.3076923076923077
all_candidate_geometry_only_logistic	20	pooled_test	ALL	26	520	212	0.4076923076923077	1712	534	0.3119158878504673	287	0.1676401869158878	277	0.1617990654205607	189	0.1103971962616822	22	0.8461538461538461	22	0.8461538461538461	22	0.8461538461538461	11	0.4230769230769231
all_candidate_geometry_only_logistic	50	pooled_test	ALL	26	1237	387	0.3128536782538399	1712	814	0.4754672897196261	462	0.2698598130841121	498	0.2908878504672897	323	0.1886682242990654	23	0.8846153846153846	23	0.8846153846153846	23	0.8846153846153846	16	0.6153846153846154
eligible_frozen_dinov2_linear	1	pooled_test	ALL	26	26	10	0.3846153846153846	1712	82	0.0478971962616822	14	0.0081775700934579	13	0.0075934579439252	10	0.0058411214953271	1	0.0384615384615384	1	0.0384615384615384	1	0.0384615384615384	0	0.0
eligible_frozen_dinov2_linear	5	pooled_test	ALL	26	130	50	0.3846153846153846	1712	156	0.0911214953271028	76	0.0443925233644859	62	0.036214953271028	47	0.0274532710280373	1	0.0384615384615384	1	0.0384615384615384	1	0.0384615384615384	0	0.0
eligible_frozen_dinov2_linear	10	pooled_test	ALL	26	260	96	0.3692307692307692	1712	225	0.1314252336448598	137	0.0800233644859813	112	0.0654205607476635	90	0.0525700934579439	2	0.0769230769230769	2	0.0769230769230769	2	0.0769230769230769	0	0.0
eligible_frozen_dinov2_linear	20	pooled_test	ALL	26	520	175	0.3365384615384615	1712	351	0.2050233644859813	234	0.1366822429906542	207	0.120911214953271	158	0.0922897196261682	2	0.0769230769230769	2	0.0769230769230769	2	0.0769230769230769	1	0.0384615384615384
eligible_frozen_dinov2_linear	50	pooled_test	ALL	26	1237	352	0.2845594179466451	1712	709	0.4141355140186916	419	0.2447429906542056	431	0.2517523364485981	293	0.1711448598130841	7	0.2692307692307692	7	0.2692307692307692	7	0.2692307692307692	6	0.2307692307692307
all_candidate_frozen_dinov2_linear	1	pooled_test	ALL	26	26	17	0.6538461538461539	1712	22	0.0128504672897196	20	0.0116822429906542	18	0.0105140186915887	16	0.0093457943925233	4	0.1538461538461538	4	0.1538461538461538	4	0.1538461538461538	3	0.1153846153846153
all_candidate_frozen_dinov2_linear	5	pooled_test	ALL	26	130	80	0.6153846153846154	1712	100	0.058411214953271	83	0.0484813084112149	88	0.0514018691588785	71	0.0414719626168224	9	0.3461538461538461	9	0.3461538461538461	9	0.3461538461538461	7	0.2692307692307692
all_candidate_frozen_dinov2_linear	10	pooled_test	ALL	26	260	153	0.5884615384615385	1712	270	0.1577102803738317	171	0.0998831775700934	164	0.0957943925233644	131	0.076518691588785	10	0.3846153846153846	10	0.3846153846153846	10	0.3846153846153846	9	0.3461538461538461
all_candidate_frozen_dinov2_linear	20	pooled_test	ALL	26	520	276	0.5307692307692308	1712	431	0.2517523364485981	305	0.1781542056074766	284	0.1658878504672897	225	0.1314252336448598	10	0.3846153846153846	10	0.3846153846153846	10	0.3846153846153846	9	0.3461538461538461
all_candidate_frozen_dinov2_linear	50	pooled_test	ALL	26	1237	442	0.3573160873080032	1712	829	0.4842289719626168	493	0.2879672897196261	528	0.308411214953271	354	0.2067757009345794	23	0.8846153846153846	23	0.8846153846153846	23	0.8846153846153846	19	0.7307692307692307
all_candidate_component_masked_dinov2_linear	1	pooled_test	ALL	26	26	19	0.7307692307692307	1712	23	0.0134345794392523	20	0.0116822429906542	21	0.0122663551401869	18	0.0105140186915887	2	0.0769230769230769	2	0.0769230769230769	2	0.0769230769230769	1	0.0384615384615384
all_candidate_component_masked_dinov2_linear	5	pooled_test	ALL	26	130	85	0.6538461538461539	1712	113	0.0660046728971962	95	0.0554906542056074	90	0.0525700934579439	74	0.0432242990654205	8	0.3076923076923077	8	0.3076923076923077	8	0.3076923076923077	5	0.1923076923076923
all_candidate_component_masked_dinov2_linear	10	pooled_test	ALL	26	260	157	0.6038461538461538	1712	207	0.120911214953271	176	0.102803738317757	162	0.094626168224299	134	0.0782710280373831	9	0.3461538461538461	9	0.3461538461538461	9	0.3461538461538461	7	0.2692307692307692
