repeat	selected_training_ids_sha256	frozen_all_candidate_roc_auc	finetuned_all_candidate_roc_auc	paired_auc_difference_finetuned_minus_frozen	frozen_all_candidate_average_precision	finetuned_all_candidate_average_precision	paired_ap_difference_finetuned_minus_frozen	frozen_k20_queue_precision	finetuned_k20_queue_precision	paired_k20_precision_difference	frozen_k20_role_qualified_recall	finetuned_k20_role_qualified_recall	paired_k20_recall_difference
0	0bdcdfe649fb44045157ab67ed427bb98825ac7ed1e9d1332a4e829c002dcf21	0.9555945397730388	0.904750973082616	-0.0508435666904226	0.8572578119179369	0.7731090870872114	-0.0841487248307255	0.5230769230769231	0.475	-0.0480769230769231	0.1740654205607476	0.1582943925233645	-0.0157710280373831
1	83aea3b86d7efb5ffd8d3def24bf14212233576986b8683922e9097581d6ffcb	0.9562432615170952	0.9195196718016192	-0.0367235897154761	0.8582447529639489	0.7906433942493076	-0.0676013587146412	0.5173076923076924	0.4826923076923077	-0.0346153846153846	0.169392523364486	0.1454439252336448	-0.0239485981308411
2	cef7feec5a36381d959808fa06420674f03d4bd82e44345ec08d7be2b67e0b67	0.9554997441660728	0.9143458874696198	-0.0411538566964531	0.8585666258951532	0.7752485984216435	-0.0833180274735096	0.5153846153846153	0.475	-0.0403846153846153	0.1664719626168224	0.1641355140186916	-0.0023364485981308
3	1a1011c503492825a0d450ef417a0ada4c475709dc708cfa806998f6dfbc6e1a	0.9553261425725929	0.902347390493942	-0.0529787520786507	0.8568901892028569	0.7639369899478717	-0.0929531992549851	0.5230769230769231	0.4769230769230769	-0.0461538461538461	0.1717289719626168	0.1629672897196261	-0.0087616822429906
4	4d20c18892b90ab773e44cd072d244e569e4849f1cdfd42cfbd9473b64201dd7	0.9537020539809584	0.9112844462109168	-0.0424176077700416	0.8538645502226071	0.7674008647111039	-0.0864636855115031	0.5192307692307693	0.4903846153846153	-0.0288461538461539	0.1670560747663551	0.1617990654205607	-0.0052570093457944
5	8d6247f17e7fedce743095969d1dc8b438ee9952aa44efbd36c3c242b366979d	0.9494922153390712	0.9039377866710524	-0.0455544286680188	0.8342282470383454	0.7556440420467971	-0.0785842049915482	0.5076923076923077	0.4634615384615385	-0.0442307692307691	0.1705607476635514	0.161214953271028	-0.0093457943925233
6	90c10a0eef1815c788c4ad97bb9807b86f4d522d128f84eecbfcbe26757c5542	0.948502000986788	0.936879831149608	-0.0116221698371801	0.8355754156556667	0.8180292854844592	-0.0175461301712075	0.5211538461538462	0.5076923076923077	-0.0134615384615385	0.1728971962616822	0.1734813084112149	0.0005841121495327
7	6f0b4f9ef455d0a034ca1eb9c8bd548c4b9e3d1fcc23f477b74ff243d75347ea	0.9550406136359484	0.9197166867679036	-0.0353239268680446	0.8564814508051036	0.7864324839123878	-0.0700489668927157	0.5230769230769231	0.4807692307692308	-0.0423076923076923	0.1711448598130841	0.1594626168224299	-0.0116822429906542
8	a3ee6112e8079965154f2e15f77f7e1e6181d1cfc599a44b375087be07e14879	0.9567869086124664	0.9167386199587012	-0.0400482886537653	0.8622938213233416	0.7862429754912984	-0.0760508458320432	0.5346153846153846	0.4980769230769231	-0.0365384615384615	0.1775700934579439	0.1606308411214953	-0.0169392523364485
9	80dd726aeb6094e383034d357a6f0b31705c475b6b1e81acacb849d16aad5033	0.9567332291723772	0.9175352456919394	-0.0391979834804376	0.8609582479149526	0.7778007031384727	-0.0831575447764798	0.5326923076923077	0.4942307692307692	-0.0384615384615384	0.1764018691588785	0.1547897196261682	-0.0216121495327102
