repeat	seed	k	aggregation	stratum	images	accepted_candidates	weed_candidates	all_candidate_queue_precision	weed_truth_instances	spatial_recalled_weed_instances	queued_spatial_weed_instance_recall	role_qualified_recalled_weed_instances	queued_role_qualified_weed_instance_recall	one_to_one_spatial_matches	one_to_one_spatial_recall	one_to_one_role_qualified_matches	one_to_one_role_qualified_recall	crop_overlap_scene_numerator_0.00	crop_overlap_scene_frequency_0.00	crop_overlap_scene_numerator_0.01	crop_overlap_scene_frequency_0.01	crop_overlap_scene_numerator_0.10	crop_overlap_scene_frequency_0.10	crop_overlap_scene_numerator_0.50	crop_overlap_scene_frequency_0.50
0	2026081000	20	pooled_test	ALL	26	520	140	0.2692307692307692	1712	305	0.1781542056074766	151	0.0882009345794392	167	0.0975467289719626	108	0.0630841121495327	21	0.8076923076923077	21	0.8076923076923077	21	0.8076923076923077	15	0.5769230769230769
1	2026081000	20	pooled_test	ALL	26	520	133	0.2557692307692307	1712	303	0.1769859813084112	142	0.0829439252336448	166	0.0969626168224299	101	0.0589953271028037	21	0.8076923076923077	21	0.8076923076923077	21	0.8076923076923077	12	0.4615384615384615
2	2026081000	20	pooled_test	ALL	26	520	145	0.2788461538461538	1712	320	0.1869158878504672	154	0.0899532710280373	183	0.1068925233644859	111	0.0648364485981308	20	0.7692307692307693	20	0.7692307692307693	20	0.7692307692307693	14	0.5384615384615384
3	2026081000	20	pooled_test	ALL	26	520	140	0.2692307692307692	1712	350	0.2044392523364486	160	0.0934579439252336	178	0.1039719626168224	111	0.0648364485981308	21	0.8076923076923077	21	0.8076923076923077	21	0.8076923076923077	17	0.6538461538461539
4	2026081000	20	pooled_test	ALL	26	520	132	0.2538461538461538	1712	328	0.1915887850467289	157	0.0917056074766355	169	0.098714953271028	98	0.0572429906542056	22	0.8461538461538461	22	0.8461538461538461	22	0.8461538461538461	14	0.5384615384615384
5	2026081000	20	pooled_test	ALL	26	520	145	0.2788461538461538	1712	340	0.1985981308411215	164	0.0957943925233644	167	0.0975467289719626	112	0.0654205607476635	22	0.8461538461538461	22	0.8461538461538461	22	0.8461538461538461	15	0.5769230769230769
6	2026081000	20	pooled_test	ALL	26	520	144	0.2769230769230769	1712	316	0.1845794392523364	142	0.0829439252336448	165	0.0963785046728972	107	0.0625	20	0.7692307692307693	20	0.7692307692307693	20	0.7692307692307693	15	0.5769230769230769
7	2026081000	20	pooled_test	ALL	26	520	134	0.2576923076923076	1712	311	0.1816588785046729	155	0.0905373831775701	167	0.0975467289719626	100	0.058411214953271	21	0.8076923076923077	21	0.8076923076923077	21	0.8076923076923077	14	0.5384615384615384
8	2026081000	20	pooled_test	ALL	26	520	155	0.2980769230769231	1712	358	0.2091121495327103	175	0.1022196261682243	180	0.1051401869158878	122	0.0712616822429906	21	0.8076923076923077	21	0.8076923076923077	21	0.8076923076923077	12	0.4615384615384615
9	2026081000	20	pooled_test	ALL	26	520	131	0.2519230769230769	1712	296	0.1728971962616822	154	0.0899532710280373	168	0.0981308411214953	107	0.0625	22	0.8461538461538461	22	0.8461538461538461	22	0.8461538461538461	14	0.5384615384615384
10	2026081000	20	pooled_test	ALL	26	520	142	0.273076923076923	1712	306	0.1787383177570093	144	0.0841121495327102	162	0.094626168224299	105	0.0613317757009345	21	0.8076923076923077	21	0.8076923076923077	21	0.8076923076923077	15	0.5769230769230769
11	2026081000	20	pooled_test	ALL	26	520	142	0.273076923076923	1712	353	0.2061915887850467	133	0.0776869158878504	171	0.0998831775700934	105	0.0613317757009345	20	0.7692307692307693	20	0.7692307692307693	20	0.7692307692307693	12	0.4615384615384615
12	2026081000	20	pooled_test	ALL	26	520	145	0.2788461538461538	1712	337	0.1968457943925233	159	0.0928738317757009	168	0.0981308411214953	113	0.0660046728971962	20	0.7692307692307693	20	0.7692307692307693	20	0.7692307692307693	15	0.5769230769230769
13	2026081000	20	pooled_test	ALL	26	520	137	0.2634615384615384	1712	220	0.1285046728971962	155	0.0905373831775701	157	0.0917056074766355	109	0.0636682242990654	18	0.6923076923076923	18	0.6923076923076923	18	0.6923076923076923	15	0.5769230769230769
14	2026081000	20	pooled_test	ALL	26	520	133	0.2557692307692307	1712	302	0.1764018691588785	156	0.0911214953271028	154	0.0899532710280373	99	0.0578271028037383	19	0.7307692307692307	19	0.7307692307692307	19	0.7307692307692307	14	0.5384615384615384
15	2026081000	20	pooled_test	ALL	26	520	147	0.2826923076923077	1712	330	0.1927570093457944	188	0.1098130841121495	173	0.1010514018691588	116	0.0677570093457943	19	0.7307692307692307	19	0.7307692307692307	19	0.7307692307692307	10	0.3846153846153846
16	2026081000	20	pooled_test	ALL	26	520	133	0.2557692307692307	1712	356	0.2079439252336448	160	0.0934579439252336	174	0.1016355140186915	107	0.0625	21	0.8076923076923077	21	0.8076923076923077	21	0.8076923076923077	13	0.5
17	2026081000	20	pooled_test	ALL	26	520	138	0.2653846153846154	1712	360	0.2102803738317757	161	0.0940420560747663	179	0.1045560747663551	110	0.0642523364485981	23	0.8846153846153846	23	0.8846153846153846	23	0.8846153846153846	16	0.6153846153846154
18	2026081000	20	pooled_test	ALL	26	520	146	0.2807692307692307	1712	313	0.1828271028037383	146	0.0852803738317757	173	0.1010514018691588	107	0.0625	20	0.7692307692307693	20	0.7692307692307693	20	0.7692307692307693	13	0.5
19	2026081000	20	pooled_test	ALL	26	520	137	0.2634615384615384	1712	246	0.1436915887850467	144	0.0841121495327102	171	0.0998831775700934	101	0.0589953271028037	16	0.6153846153846154	16	0.6153846153846154	16	0.6153846153846154	11	0.4230769230769231
20	2026081000	20	pooled_test	ALL	26	520	139	0.2673076923076923	1712	278	0.1623831775700934	143	0.0835280373831775	157	0.0917056074766355	103	0.0601635514018691	19	0.7307692307692307	19	0.7307692307692307	19	0.7307692307692307	11	0.4230769230769231
21	2026081000	20	pooled_test	ALL	26	520	145	0.2788461538461538	1712	304	0.1775700934579439	152	0.0887850467289719	170	0.0992990654205607	111	0.0648364485981308	20	0.7692307692307693	20	0.7692307692307693	20	0.7692307692307693	14	0.5384615384615384
22	2026081000	20	pooled_test	ALL	26	520	142	0.273076923076923	1712	316	0.1845794392523364	154	0.0899532710280373	176	0.102803738317757	112	0.0654205607476635	24	0.9230769230769232	24	0.9230769230769232	24	0.9230769230769232	16	0.6153846153846154
23	2026081000	20	pooled_test	ALL	26	520	134	0.2576923076923076	1712	291	0.1699766355140187	139	0.0811915887850467	163	0.0952102803738317	101	0.0589953271028037	20	0.7692307692307693	20	0.7692307692307693	20	0.7692307692307693	13	0.5
