file	global_minus_fixed_one_to_one_qualified_recall
weedsgalore_official_dataset:2023-05-25:2023-05-25_0114	-0.1176470588235294
weedsgalore_official_dataset:2023-05-30:2023-05-30_0044	-0.0652173913043479
weedsgalore_official_dataset:2023-05-25:2023-05-25_0170	-0.0625
weedsgalore_official_dataset:2023-05-30:2023-05-30_0114	-0.028571428571428498
weedsgalore_official_dataset:2023-05-25:2023-05-25_0685	-0.0087719298245614
weedsgalore_official_dataset:2023-05-25:2023-05-25_0109	0.0
weedsgalore_official_dataset:2023-05-30:2023-05-30_0750	0.0
weedsgalore_official_dataset:2023-05-30:2023-05-30_0720	0.0
weedsgalore_official_dataset:2023-05-30:2023-05-30_0652	0.0
weedsgalore_official_dataset:2023-06-15:2023-06-15_0169	0.0
weedsgalore_official_dataset:2023-06-15:2023-06-15_0735	0.0
weedsgalore_official_dataset:2023-05-30:2023-05-30_0039	0.0
weedsgalore_official_dataset:2023-05-25:2023-05-25_0786	0.0
weedsgalore_official_dataset:2023-05-25:2023-05-25_0750	0.0
weedsgalore_official_dataset:2023-05-25:2023-05-25_0681	0.0
weedsgalore_official_dataset:2023-05-25:2023-05-25_0183	0.0
weedsgalore_official_dataset:2023-05-30:2023-05-30_0099	0.0
weedsgalore_official_dataset:2023-06-06:2023-06-06_0231	0.03076923076923077
weedsgalore_official_dataset:2023-06-06:2023-06-06_0166	0.0526315789473685
weedsgalore_official_dataset:2023-06-06:2023-06-06_0667	0.08421052631578949
weedsgalore_official_dataset:2023-06-06:2023-06-06_0736	0.0869565217391304
weedsgalore_official_dataset:2023-05-30:2023-05-30_0649	0.1182795698924731
weedsgalore_official_dataset:2023-06-06:2023-06-06_0670	0.1458333333333334
weedsgalore_official_dataset:2023-06-06:2023-06-06_0176	0.16
weedsgalore_official_dataset:2023-06-06:2023-06-06_0161	0.16831683168316827
weedsgalore_official_dataset:2023-06-06:2023-06-06_0770	0.2027027027027027
