aggregation	stratum	candidates	weed_candidates	nonweed_candidates	auc	average_precision	status
pooled_test	ALL	2351	464	1887	0.9605227692195237	0.8616656845565667	defined
acquisition_date	2023-05-25	822	15	807	0.8798017348203222	0.2131164585456915	defined
acquisition_date	2023-05-30	955	132	823	0.9534776685444972	0.7492347017572524	defined
acquisition_date	2023-06-06	517	279	238	0.9381193337550073	0.9402407439856626	defined
acquisition_date	2023-06-15	57	38	19	0.7382271468144044	0.8577290044930653	defined
tile	weedsgalore_official_dataset:2023-05-25:2023-05-25_0109	98	0	98			undefined_single_class
tile	weedsgalore_official_dataset:2023-05-25:2023-05-25_0114	133	2	131	0.9389312977099237	0.15476190476190477	defined
tile	weedsgalore_official_dataset:2023-05-25:2023-05-25_0170	98	1	97	0.9175257731958762	0.1111111111111111	defined
tile	weedsgalore_official_dataset:2023-05-25:2023-05-25_0183	112	1	111	0.6666666666666667	0.02631578947368421	defined
tile	weedsgalore_official_dataset:2023-05-25:2023-05-25_0681	32	3	29	1.0	1.0	defined
tile	weedsgalore_official_dataset:2023-05-25:2023-05-25_0685	60	2	58	0.7586206896551724	0.09429824561403508	defined
tile	weedsgalore_official_dataset:2023-05-25:2023-05-25_0750	115	2	113	0.8893805309734513	0.28846153846153844	defined
tile	weedsgalore_official_dataset:2023-05-25:2023-05-25_0786	174	4	170	0.8132352941176471	0.5706967213114754	defined
tile	weedsgalore_official_dataset:2023-05-30:2023-05-30_0039	183	0	183			undefined_single_class
tile	weedsgalore_official_dataset:2023-05-30:2023-05-30_0044	105	13	92	0.9331103678929765	0.6413644902115063	defined
tile	weedsgalore_official_dataset:2023-05-30:2023-05-30_0099	70	13	57	0.912280701754386	0.7641100610048572	defined
tile	weedsgalore_official_dataset:2023-05-30:2023-05-30_0114	159	8	151	0.8874172185430463	0.35599358974358974	defined
tile	weedsgalore_official_dataset:2023-05-30:2023-05-30_0649	141	33	108	0.9475308641975309	0.8107902283416623	defined
tile	weedsgalore_official_dataset:2023-05-30:2023-05-30_0652	89	27	62	0.946236559139785	0.8373941978087145	defined
tile	weedsgalore_official_dataset:2023-05-30:2023-05-30_0720	89	18	71	0.9546165884194053	0.8220627455062322	defined
tile	weedsgalore_official_dataset:2023-05-30:2023-05-30_0750	119	20	99	0.9505050505050505	0.7763921062469643	defined
tile	weedsgalore_official_dataset:2023-06-06:2023-06-06_0161	75	47	28	0.8951367781155015	0.9130997911927271	defined
tile	weedsgalore_official_dataset:2023-06-06:2023-06-06_0166	60	25	35	0.8582857142857143	0.7809899551634918	defined
tile	weedsgalore_official_dataset:2023-06-06:2023-06-06_0176	101	54	47	0.8951930654058314	0.8806130413170187	defined
tile	weedsgalore_official_dataset:2023-06-06:2023-06-06_0231	66	22	44	0.8956611570247934	0.8559209920788164	defined
tile	weedsgalore_official_dataset:2023-06-06:2023-06-06_0667	50	29	21	0.9589490968801313	0.970056457158793	defined
tile	weedsgalore_official_dataset:2023-06-06:2023-06-06_0670	52	37	15	0.9945945945945946	0.9978075515059865	defined
tile	weedsgalore_official_dataset:2023-06-06:2023-06-06_0736	48	27	21	0.9717813051146384	0.9736223204715356	defined
tile	weedsgalore_official_dataset:2023-06-06:2023-06-06_0770	65	38	27	1.0	1.0	defined
tile	weedsgalore_official_dataset:2023-06-15:2023-06-15_0169	35	32	3	0.875	0.9861425149694744	defined
tile	weedsgalore_official_dataset:2023-06-15:2023-06-15_0735	22	6	16	0.9583333333333334	0.8734126984126983	defined
