policy	aggregation	stratum	images	accepted_candidates	weed_candidates	all_candidate_queue_precision	weed_truth_instances	spatial_recalled_weed_instances	queued_spatial_weed_instance_recall	role_qualified_recalled_weed_instances	queued_role_qualified_weed_instance_recall	one_to_one_spatial_matches	one_to_one_spatial_recall	one_to_one_role_qualified_matches	one_to_one_role_qualified_recall	crop_overlap_scene_numerator_0.00	crop_overlap_scene_frequency_0.00	crop_overlap_scene_numerator_0.01	crop_overlap_scene_frequency_0.01	crop_overlap_scene_numerator_0.10	crop_overlap_scene_frequency_0.10	crop_overlap_scene_numerator_0.50	crop_overlap_scene_frequency_0.50
fixed_K20_per_image	acquisition_date	2023-05-25	8	160	12	0.075	392	24	0.0612244897959183	10	0.0255102040816326	23	0.0586734693877551	10	0.0255102040816326	8	1.0	8	1.0	8	1.0	7	0.875
fixed_K20_per_image	acquisition_date	2023-05-30	8	160	91	0.56875	440	124	0.2818181818181818	86	0.1954545454545454	103	0.2340909090909091	71	0.1613636363636363	2	0.25	2	0.25	2	0.25	1	0.125
fixed_K20_per_image	acquisition_date	2023-06-06	8	160	146	0.9125	726	229	0.3154269972451791	215	0.2961432506887052	146	0.2011019283746556	135	0.1859504132231405	3	0.375	3	0.375	2	0.25	0	0.0
fixed_K20_per_image	acquisition_date	2023-06-15	2	40	26	0.65	154	13	0.0844155844155844	13	0.0844155844155844	11	0.0714285714285714	11	0.0714285714285714	0	0.0	0	0.0	0	0.0	0	0.0
fixed_K20_per_image	test_patch_proxy	test_capture_index_patch_proxy_0	13	260	117	0.45	707	166	0.2347949080622348	126	0.1782178217821782	123	0.173974540311174	90	0.1272984441301273	6	0.4615384615384615	6	0.4615384615384615	6	0.4615384615384615	3	0.2307692307692307
fixed_K20_per_image	test_patch_proxy	test_capture_index_patch_proxy_1	13	260	158	0.6076923076923076	1005	224	0.2228855721393035	198	0.1970149253731343	160	0.1592039800995024	137	0.136318407960199	7	0.5384615384615384	7	0.5384615384615384	6	0.4615384615384615	5	0.3846153846153846
global_top_N520	acquisition_date	2023-05-25	8	38	7	0.1842105263157894	392	13	0.0331632653061224	6	0.0153061224489795	13	0.0331632653061224	6	0.0153061224489795	4	0.5	4	0.5	4	0.5	2	0.25
global_top_N520	acquisition_date	2023-05-30	8	153	103	0.673202614379085	440	136	0.3090909090909091	98	0.2227272727272727	112	0.2545454545454545	78	0.1772727272727272	3	0.375	3	0.375	3	0.375	2	0.25
global_top_N520	acquisition_date	2023-06-06	8	293	251	0.856655290102389	726	385	0.5303030303030303	347	0.477961432506887	258	0.3553719008264462	225	0.3099173553719008	4	0.5	4	0.5	3	0.375	1	0.125
global_top_N520	acquisition_date	2023-06-15	2	36	27	0.75	154	13	0.0844155844155844	13	0.0844155844155844	11	0.0714285714285714	11	0.0714285714285714	1	0.5	1	0.5	1	0.5	1	0.5
global_top_N520	test_patch_proxy	test_capture_index_patch_proxy_0	13	232	166	0.7155172413793104	707	232	0.3281471004243281	182	0.2574257425742574	174	0.2461103253182461	130	0.1838755304101838	4	0.3076923076923077	4	0.3076923076923077	4	0.3076923076923077	2	0.1538461538461538
global_top_N520	test_patch_proxy	test_capture_index_patch_proxy_1	13	288	222	0.7708333333333334	1005	315	0.3134328358208955	282	0.2805970149253731	220	0.2189054726368159	190	0.1890547263681592	8	0.6153846153846154	8	0.6153846153846154	7	0.5384615384615384	4	0.3076923076923077
bounded_global_min5_max50_N520	acquisition_date	2023-05-25	8	51	7	0.1372549019607843	392	16	0.0408163265306122	6	0.0153061224489795	16	0.0408163265306122	6	0.0153061224489795	6	0.75	6	0.75	6	0.75	4	0.5
bounded_global_min5_max50_N520	acquisition_date	2023-05-30	8	149	101	0.6778523489932886	440	131	0.2977272727272727	96	0.2181818181818181	109	0.2477272727272727	77	0.175	3	0.375	3	0.375	3	0.375	2	0.25
bounded_global_min5_max50_N520	acquisition_date	2023-06-06	8	285	247	0.8666666666666667	726	373	0.5137741046831956	338	0.465564738292011	251	0.3457300275482093	221	0.3044077134986226	4	0.5	4	0.5	3	0.375	1	0.125
bounded_global_min5_max50_N520	acquisition_date	2023-06-15	2	35	27	0.7714285714285715	154	13	0.0844155844155844	13	0.0844155844155844	11	0.0714285714285714	11	0.0714285714285714	1	0.5	1	0.5	1	0.5	1	0.5
bounded_global_min5_max50_N520	test_patch_proxy	test_capture_index_patch_proxy_0	13	237	161	0.679324894514768	707	220	0.3111739745403111	173	0.2446958981612447	168	0.2376237623762376	126	0.1782178217821782	6	0.4615384615384615	6	0.4615384615384615	6	0.4615384615384615	4	0.3076923076923077
bounded_global_min5_max50_N520	test_patch_proxy	test_capture_index_patch_proxy_1	13	283	221	0.7809187279151943	1005	313	0.3114427860696517	280	0.2786069651741293	219	0.217910447761194	189	0.1880597014925373	8	0.6153846153846154	8	0.6153846153846154	7	0.5384615384615384	4	0.3076923076923077
validation_score_threshold_transferred	acquisition_date	2023-05-25	8	23	6	0.2608695652173913	392	10	0.0255102040816326	5	0.0127551020408163	10	0.0255102040816326	5	0.0127551020408163	4	0.5	4	0.5	4	0.5	2	0.25
validation_score_threshold_transferred	acquisition_date	2023-05-30	8	117	89	0.7606837606837606	440	116	0.2636363636363636	87	0.1977272727272727	96	0.2181818181818181	70	0.1590909090909091	0	0.0	0	0.0	0	0.0	0	0.0
validation_score_threshold_transferred	acquisition_date	2023-06-06	8	255	227	0.8901960784313725	726	346	0.4765840220385675	319	0.4393939393939394	226	0.3112947658402203	204	0.2809917355371901	4	0.5	4	0.5	3	0.375	1	0.125
validation_score_threshold_transferred	acquisition_date	2023-06-15	2	31	26	0.8387096774193549	154	13	0.0844155844155844	13	0.0844155844155844	11	0.0714285714285714	11	0.0714285714285714	0	0.0	0	0.0	0	0.0	0	0.0
validation_score_threshold_transferred	test_patch_proxy	test_capture_index_patch_proxy_0	13	179	142	0.7932960893854749	707	191	0.2701555869872701	158	0.2234794908062234	139	0.1966053748231966	111	0.157001414427157	2	0.1538461538461538	2	0.1538461538461538	2	0.1538461538461538	1	0.0769230769230769
validation_score_threshold_transferred	test_patch_proxy	test_capture_index_patch_proxy_1	13	247	206	0.8340080971659919	1005	294	0.2925373134328358	266	0.2646766169154229	204	0.2029850746268656	179	0.1781094527363184	6	0.4615384615384615	6	0.4615384615384615	5	0.3846153846153846	2	0.1538461538461538
