policy	accepted_candidates	seconds_per_candidate_scenario	total_minutes_for_26_tiles	mean_minutes_per_tile	interpretation
fixed_K20_per_image	520	1	8.666666666666666	0.3333333333333333	scenario only; no operator timing study was performed
fixed_K20_per_image	520	2	17.333333333333332	0.6666666666666666	scenario only; no operator timing study was performed
fixed_K20_per_image	520	3	26.0	1.0	scenario only; no operator timing study was performed
global_top_N520	520	1	8.666666666666666	0.3333333333333333	scenario only; no operator timing study was performed
global_top_N520	520	2	17.333333333333332	0.6666666666666666	scenario only; no operator timing study was performed
global_top_N520	520	3	26.0	1.0	scenario only; no operator timing study was performed
bounded_global_min5_max50_N520	520	1	8.666666666666666	0.3333333333333333	scenario only; no operator timing study was performed
bounded_global_min5_max50_N520	520	2	17.333333333333332	0.6666666666666666	scenario only; no operator timing study was performed
bounded_global_min5_max50_N520	520	3	26.0	1.0	scenario only; no operator timing study was performed
validation_score_threshold_transferred	426	1	7.1	0.27307692307692305	scenario only; no operator timing study was performed
validation_score_threshold_transferred	426	2	14.2	0.5461538461538461	scenario only; no operator timing study was performed
validation_score_threshold_transferred	426	3	21.3	0.8192307692307692	scenario only; no operator timing study was performed
