policy	aggregation	metric	strata	macro_mean	worst_stratum_value	best_stratum_value	direction	interpretation
bounded_global_min5_max50_N520	acquisition_date	all_candidate_queue_precision	4	0.6133006222623277	0.1372549019607843	0.8666666666666667	higher_is_better	descriptive_post_test_no_population_inference
bounded_global_min5_max50_N520	acquisition_date	queued_spatial_weed_instance_recall	4	0.23418332208916623	0.0408163265306122	0.5137741046831956	higher_is_better	descriptive_post_test_no_population_inference
bounded_global_min5_max50_N520	acquisition_date	queued_role_qualified_weed_instance_recall	4	0.19586706583459826	0.0153061224489795	0.465564738292011	higher_is_better	descriptive_post_test_no_population_inference
bounded_global_min5_max50_N520	acquisition_date	one_to_one_role_qualified_recall	4	0.14153560184404337	0.0153061224489795	0.3044077134986226	higher_is_better	descriptive_post_test_no_population_inference
bounded_global_min5_max50_N520	acquisition_date	crop_overlap_scene_frequency_0.10	4	0.5	0.75	0.375	lower_is_better	descriptive_post_test_no_population_inference
fixed_K20_per_image	acquisition_date	all_candidate_queue_precision	4	0.5515625	0.075	0.9125	higher_is_better	descriptive_post_test_no_population_inference
fixed_K20_per_image	acquisition_date	queued_spatial_weed_instance_recall	4	0.18572131331871589	0.0612244897959183	0.3154269972451791	higher_is_better	descriptive_post_test_no_population_inference
fixed_K20_per_image	acquisition_date	queued_role_qualified_weed_instance_recall	4	0.15038089616011688	0.0255102040816326	0.2961432506887052	higher_is_better	descriptive_post_test_no_population_inference
fixed_K20_per_image	acquisition_date	one_to_one_role_qualified_recall	4	0.1110632062742452	0.0255102040816326	0.1859504132231405	higher_is_better	descriptive_post_test_no_population_inference
fixed_K20_per_image	acquisition_date	crop_overlap_scene_frequency_0.10	4	0.375	1.0	0.0	lower_is_better	descriptive_post_test_no_population_inference
global_top_N520	acquisition_date	all_candidate_queue_precision	4	0.6160171076993158	0.1842105263157894	0.856655290102389	higher_is_better	descriptive_post_test_no_population_inference
global_top_N520	acquisition_date	queued_spatial_weed_instance_recall	4	0.23924319727891155	0.0331632653061224	0.5303030303030303	higher_is_better	descriptive_post_test_no_population_inference
