variant	model	held_out_date	eligible_candidates	eligible_crop_candidates	eligible_weed_candidates	roc_auc	average_precision	selected_l2
original	role_only	2023-05-25	526	505	21	0.7992456388495992	0.09913813791947737	1.0
original	local_only	2023-05-25	526	505	21	0.7471947194719472	0.08348871196189361	0.01
original	role_plus_local	2023-05-25	526	505	21	0.8305516265912305	0.13828216149411038	10.0
original	role_only	2023-05-30	1023	453	570	0.5530343518841253	0.539307805586493	1.0
original	local_only	2023-05-30	1023	453	570	0.8548390844661322	0.8244895338192625	100.0
original	role_plus_local	2023-05-30	1023	453	570	0.8783664459161148	0.8597978426376236	100.0
original	role_only	2023-06-06	2084	373	1711	0.4629592778473307	0.7688465491734396	1.0
original	local_only	2023-06-06	2084	373	1711	0.9009907505918963	0.970915431965468	100.0
original	role_plus_local	2023-06-06	2084	373	1711	0.9083677137211827	0.9730704680264245	0.01
original	role_only	2023-06-15	433	122	311	0.7549153971851774	0.8707917544464241	1.0
original	local_only	2023-06-15	433	122	311	0.6896051868641611	0.8067199077901789	100.0
original	role_plus_local	2023-06-15	433	122	311	0.7305360813873807	0.836716127474371	100.0
nested_commissioned	role_only	2023-05-25	437	384	53	0.28252751572327045	0.08067145058512447	1.0
nested_commissioned	local_only	2023-05-25	437	384	53	0.9088541666666666	0.4741006672038114	0.01
nested_commissioned	role_plus_local	2023-05-25	437	384	53	0.9262971698113207	0.560224256939373	0.1
nested_commissioned	role_only	2023-05-30	737	174	563	0.519650476715461	0.7215458903559658	1.0
nested_commissioned	local_only	2023-05-30	737	174	563	0.8638043322921133	0.9332424617986737	100.0
nested_commissioned	role_plus_local	2023-05-30	737	174	563	0.8769522876217308	0.941318337931021	1.0
nested_commissioned	role_only	2023-06-06	2347	321	2026	0.4489241111654412	0.8142231185210501	1.0
nested_commissioned	local_only	2023-06-06	2347	321	2026	0.9392877022385008	0.9854995698487777	1.0
nested_commissioned	role_plus_local	2023-06-06	2347	321	2026	0.9220076697634797	0.982107137666028	0.1
nested_commissioned	role_only	2023-06-15	455	66	389	0.6323907455012854	0.9079014246496976	1.0
nested_commissioned	local_only	2023-06-15	455	66	389	0.6669782659499883	0.8991980555035712	100.0
nested_commissioned	role_plus_local	2023-06-15	455	66	389	0.6914388096907377	0.9069779371655541	100.0
