variant	held_out_date	truth_role	minimum_instance_coverage	minimum_candidate_labeled_coverage	minimum_same_role_purity	truth_instances	role_qualified_proposal_recall
original	2023-05-25	crop	0.25	0.25	0.5	821	0.5651644336175395
original	2023-05-25	weed	0.25	0.25	0.5	1695	0.019469026548672566
original	2023-05-25	crop	0.25	0.25	0.75	821	0.5639464068209501
original	2023-05-25	weed	0.25	0.25	0.75	1695	0.019469026548672566
original	2023-05-25	crop	0.25	0.25	0.9	821	0.5602923264311814
original	2023-05-25	weed	0.25	0.25	0.9	1695	0.019469026548672566
original	2023-05-25	crop	0.25	0.5	0.5	821	0.510353227771011
original	2023-05-25	weed	0.25	0.5	0.5	1695	0.013569321533923304
original	2023-05-25	crop	0.25	0.5	0.75	821	0.5091352009744214
original	2023-05-25	weed	0.25	0.5	0.75	1695	0.013569321533923304
original	2023-05-25	crop	0.25	0.5	0.9	821	0.5066991473812423
original	2023-05-25	weed	0.25	0.5	0.9	1695	0.013569321533923304
original	2023-05-25	crop	0.25	0.75	0.5	821	0.24238733252131547
original	2023-05-25	weed	0.25	0.75	0.5	1695	0.0035398230088495575
original	2023-05-25	crop	0.25	0.75	0.75	821	0.24238733252131547
original	2023-05-25	weed	0.25	0.75	0.75	1695	0.0035398230088495575
original	2023-05-25	crop	0.25	0.75	0.9	821	0.24238733252131547
original	2023-05-25	weed	0.25	0.75	0.9	1695	0.0035398230088495575
original	2023-05-25	crop	0.5	0.25	0.5	821	0.3276492082825822
original	2023-05-25	weed	0.5	0.25	0.5	1695	0.014749262536873156
original	2023-05-25	crop	0.5	0.25	0.75	821	0.3264311814859927
original	2023-05-25	weed	0.5	0.25	0.75	1695	0.014749262536873156
original	2023-05-25	crop	0.5	0.25	0.9	821	0.32399512789281365
original	2023-05-25	weed	0.5	0.25	0.9	1695	0.014749262536873156
original	2023-05-25	crop	0.5	0.5	0.5	821	0.28867235079171744
original	2023-05-25	weed	0.5	0.5	0.5	1695	0.008849557522123894
original	2023-05-25	crop	0.5	0.5	0.75	821	0.2874543239951279
original	2023-05-25	weed	0.5	0.5	0.75	1695	0.008849557522123894
original	2023-05-25	crop	0.5	0.5	0.9	821	0.2862362971985384
original	2023-05-25	weed	0.5	0.5	0.9	1695	0.008849557522123894
original	2023-05-25	crop	0.5	0.75	0.5	821	0.10475030450669914
original	2023-05-25	weed	0.5	0.75	0.5	1695	0.002359882005899705
original	2023-05-25	crop	0.5	0.75	0.75	821	0.10475030450669914
original	2023-05-25	weed	0.5	0.75	0.75	1695	0.002359882005899705
original	2023-05-25	crop	0.5	0.75	0.9	821	0.10475030450669914
original	2023-05-25	weed	0.5	0.75	0.9	1695	0.002359882005899705
original	2023-05-25	crop	0.75	0.25	0.5	821	0.146163215590743
original	2023-05-25	weed	0.75	0.25	0.5	1695	0.007669616519174041
original	2023-05-25	crop	0.75	0.25	0.75	821	0.146163215590743
original	2023-05-25	weed	0.75	0.25	0.75	1695	0.007669616519174041
original	2023-05-25	crop	0.75	0.25	0.9	821	0.14494518879415347
original	2023-05-25	weed	0.75	0.25	0.9	1695	0.007669616519174041
original	2023-05-25	crop	0.75	0.5	0.5	821	0.1218026796589525
original	2023-05-25	weed	0.75	0.5	0.5	1695	0.0035398230088495575
original	2023-05-25	crop	0.75	0.5	0.75	821	0.1218026796589525
original	2023-05-25	weed	0.75	0.5	0.75	1695	0.0035398230088495575
original	2023-05-25	crop	0.75	0.5	0.9	821	0.1218026796589525
original	2023-05-25	weed	0.75	0.5	0.9	1695	0.0035398230088495575
original	2023-05-25	crop	0.75	0.75	0.5	821	0.02192448233861145
original	2023-05-25	weed	0.75	0.75	0.5	1695	0.0011799410029498525
original	2023-05-25	crop	0.75	0.75	0.75	821	0.02192448233861145
original	2023-05-25	weed	0.75	0.75	0.75	1695	0.0011799410029498525
original	2023-05-25	crop	0.75	0.75	0.9	821	0.02192448233861145
original	2023-05-25	weed	0.75	0.75	0.9	1695	0.0011799410029498525
original	2023-05-30	crop	0.25	0.25	0.5	520	0.823076923076923
original	2023-05-30	weed	0.25	0.25	0.5	2427	0.29254223320972395
original	2023-05-30	crop	0.25	0.25	0.75	520	0.801923076923077
original	2023-05-30	weed	0.25	0.25	0.75	2427	0.29171817058096416
original	2023-05-30	crop	0.25	0.25	0.9	520	0.7673076923076924
original	2023-05-30	weed	0.25	0.25	0.9	2427	0.2913061392665843
original	2023-05-30	crop	0.25	0.5	0.5	520	0.7365384615384616
original	2023-05-30	weed	0.25	0.5	0.5	2427	0.23362175525339926
original	2023-05-30	crop	0.25	0.5	0.75	520	0.7230769230769231
original	2023-05-30	weed	0.25	0.5	0.75	2427	0.23279769262463948
original	2023-05-30	crop	0.25	0.5	0.9	520	0.6903846153846154
original	2023-05-30	weed	0.25	0.5	0.9	2427	0.2323856613102596
original	2023-05-30	crop	0.25	0.75	0.5	520	0.23846153846153847
original	2023-05-30	weed	0.25	0.75	0.5	2427	0.11166048619695097
original	2023-05-30	crop	0.25	0.75	0.75	520	0.23653846153846153
original	2023-05-30	weed	0.25	0.75	0.75	2427	0.11166048619695097
original	2023-05-30	crop	0.25	0.75	0.9	520	0.23461538461538461
original	2023-05-30	weed	0.25	0.75	0.9	2427	0.11166048619695097
original	2023-05-30	crop	0.5	0.25	0.5	520	0.6403846153846153
original	2023-05-30	weed	0.5	0.25	0.5	2427	0.2126081582200247
original	2023-05-30	crop	0.5	0.25	0.75	520	0.6192307692307693
original	2023-05-30	weed	0.5	0.25	0.75	2427	0.21178409559126493
original	2023-05-30	crop	0.5	0.25	0.9	520	0.5865384615384616
original	2023-05-30	weed	0.5	0.25	0.9	2427	0.21137206427688504
original	2023-05-30	crop	0.5	0.5	0.5	520	0.5673076923076923
original	2023-05-30	weed	0.5	0.5	0.5	2427	0.16522455706633704
original	2023-05-30	crop	0.5	0.5	0.75	520	0.5538461538461539
original	2023-05-30	weed	0.5	0.5	0.75	2427	0.16440049443757726
original	2023-05-30	crop	0.5	0.5	0.9	520	0.5230769230769231
original	2023-05-30	weed	0.5	0.5	0.9	2427	0.16398846312319737
original	2023-05-30	crop	0.5	0.75	0.5	520	0.1346153846153846
original	2023-05-30	weed	0.5	0.75	0.5	2427	0.07128141738772147
original	2023-05-30	crop	0.5	0.75	0.75	520	0.1326923076923077
original	2023-05-30	weed	0.5	0.75	0.75	2427	0.07128141738772147
original	2023-05-30	crop	0.5	0.75	0.9	520	0.13076923076923078
original	2023-05-30	weed	0.5	0.75	0.9	2427	0.07128141738772147
original	2023-05-30	crop	0.75	0.25	0.5	520	0.4
original	2023-05-30	weed	0.75	0.25	0.5	2427	0.10754017305315204
original	2023-05-30	crop	0.75	0.25	0.75	520	0.38653846153846155
original	2023-05-30	weed	0.75	0.25	0.75	2427	0.10712814173877215
original	2023-05-30	crop	0.75	0.25	0.9	520	0.36346153846153845
original	2023-05-30	weed	0.75	0.25	0.9	2427	0.10712814173877215
original	2023-05-30	crop	0.75	0.5	0.5	520	0.34423076923076923
original	2023-05-30	weed	0.75	0.5	0.5	2427	0.0754017305315204
original	2023-05-30	crop	0.75	0.5	0.75	520	0.33653846153846156
original	2023-05-30	weed	0.75	0.5	0.75	2427	0.0749896992171405
original	2023-05-30	crop	0.75	0.5	0.9	520	0.3153846153846154
original	2023-05-30	weed	0.75	0.5	0.9	2427	0.0749896992171405
original	2023-05-30	crop	0.75	0.75	0.5	520	0.051923076923076926
original	2023-05-30	weed	0.75	0.75	0.5	2427	0.026370004120313144
original	2023-05-30	crop	0.75	0.75	0.75	520	0.051923076923076926
original	2023-05-30	weed	0.75	0.75	0.75	2427	0.026370004120313144
original	2023-05-30	crop	0.75	0.75	0.9	520	0.05
original	2023-05-30	weed	0.75	0.75	0.9	2427	0.026370004120313144
original	2023-06-06	crop	0.25	0.25	0.5	633	0.8625592417061612
original	2023-06-06	weed	0.25	0.25	0.5	4726	0.4066864155734236
original	2023-06-06	crop	0.25	0.25	0.75	633	0.717219589257504
original	2023-06-06	weed	0.25	0.25	0.75	4726	0.38658484976724505
original	2023-06-06	crop	0.25	0.25	0.9	633	0.5892575039494471
original	2023-06-06	weed	0.25	0.25	0.9	4726	0.3834109183241642
original	2023-06-06	crop	0.25	0.5	0.5	633	0.8625592417061612
original	2023-06-06	weed	0.25	0.5	0.5	4726	0.3988573846804909
original	2023-06-06	crop	0.25	0.5	0.75	633	0.717219589257504
original	2023-06-06	weed	0.25	0.5	0.75	4726	0.3787558188743123
original	2023-06-06	crop	0.25	0.5	0.9	633	0.5892575039494471
original	2023-06-06	weed	0.25	0.5	0.9	4726	0.3755818874312315
original	2023-06-06	crop	0.25	0.75	0.5	633	0.660347551342812
original	2023-06-06	weed	0.25	0.75	0.5	4726	0.3169699534490055
original	2023-06-06	crop	0.25	0.75	0.75	633	0.5639810426540285
original	2023-06-06	weed	0.25	0.75	0.75	4726	0.30279305966991116
original	2023-06-06	crop	0.25	0.75	0.9	633	0.4786729857819905
original	2023-06-06	weed	0.25	0.75	0.9	4726	0.29983072365636904
original	2023-06-06	crop	0.5	0.25	0.5	633	0.7756714060031595
original	2023-06-06	weed	0.5	0.25	0.5	4726	0.2797291578501904
original	2023-06-06	crop	0.5	0.25	0.75	633	0.6382306477093207
original	2023-06-06	weed	0.5	0.25	0.75	4726	0.26153195090986037
original	2023-06-06	crop	0.5	0.25	0.9	633	0.5150078988941548
original	2023-06-06	weed	0.5	0.25	0.9	4726	0.2583580194667795
original	2023-06-06	crop	0.5	0.5	0.5	633	0.7756714060031595
original	2023-06-06	weed	0.5	0.5	0.5	4726	0.2740160812526449
original	2023-06-06	crop	0.5	0.5	0.75	633	0.6382306477093207
original	2023-06-06	weed	0.5	0.5	0.75	4726	0.25581887431231487
original	2023-06-06	crop	0.5	0.5	0.9	633	0.5150078988941548
original	2023-06-06	weed	0.5	0.5	0.9	4726	0.252644942869234
original	2023-06-06	crop	0.5	0.75	0.5	633	0.5781990521327014
original	2023-06-06	weed	0.5	0.75	0.5	4726	0.2147693609818028
original	2023-06-06	crop	0.5	0.75	0.75	633	0.48973143759873616
original	2023-06-06	weed	0.5	0.75	0.75	4726	0.20207363520947946
original	2023-06-06	crop	0.5	0.75	0.9	633	0.4075829383886256
original	2023-06-06	weed	0.5	0.75	0.9	4726	0.19911129919593737
original	2023-06-06	crop	0.75	0.25	0.5	633	0.5134281200631912
original	2023-06-06	weed	0.75	0.25	0.5	4726	0.11933982225983919
original	2023-06-06	crop	0.75	0.25	0.75	633	0.4075829383886256
original	2023-06-06	weed	0.75	0.25	0.75	4726	0.10410495133305121
original	2023-06-06	crop	0.75	0.25	0.9	633	0.31121642969984203
original	2023-06-06	weed	0.75	0.25	0.9	4726	0.10177740160812526
original	2023-06-06	crop	0.75	0.5	0.5	633	0.5134281200631912
original	2023-06-06	weed	0.75	0.5	0.5	4726	0.11701227253491324
original	2023-06-06	crop	0.75	0.5	0.75	633	0.4075829383886256
original	2023-06-06	weed	0.75	0.5	0.75	4726	0.10177740160812526
original	2023-06-06	crop	0.75	0.5	0.9	633	0.31121642969984203
original	2023-06-06	weed	0.75	0.5	0.9	4726	0.09944985188319933
original	2023-06-06	crop	0.75	0.75	0.5	633	0.3665086887835703
original	2023-06-06	weed	0.75	0.75	0.5	4726	0.08717731696995346
original	2023-06-06	crop	0.75	0.75	0.75	633	0.3001579778830964
original	2023-06-06	weed	0.75	0.75	0.75	4726	0.07702073635209479
original	2023-06-06	crop	0.75	0.75	0.9	633	0.23222748815165878
