variant	held_out_date	truth_role	truth_instances	spatial_recalled_instances	spatial_proposal_recall	role_qualified_recalled_instances	role_qualified_proposal_recall	proposal_ar_iou_0.25	proposal_ar_iou_0.50	proposal_ar_iou_0.75
original	2023-05-25	crop	821	269	0.3276492082825822	235	0.2862362971985384	0.5286236297198539	0.19366626065773446	0.001218026796589525
original	2023-05-25	weed	1695	31	0.018289085545722714	15	0.008849557522123894	0.01710914454277286	0.00471976401179941	0.0
original	2023-05-30	crop	520	333	0.6403846153846153	272	0.5230769230769231	0.7346153846153847	0.3230769230769231	0.0019230769230769232
original	2023-05-30	weed	2427	586	0.24145035022661723	398	0.16398846312319737	0.25051503914297485	0.10094767202307375	0.005356407086938607
original	2023-06-06	crop	633	523	0.8262243285939969	326	0.5150078988941548	0.7330173775671406	0.3981042654028436	0.020537124802527645
original	2023-06-06	weed	4726	1596	0.33770630554380027	1194	0.252644942869234	0.32120186203977996	0.13901819720694034	0.012484130342784595
original	2023-06-15	crop	194	70	0.36082474226804123	17	0.08762886597938144	0.25773195876288657	0.03608247422680412	0.0
original	2023-06-15	weed	1181	249	0.21083827265029637	44	0.03725656223539373	0.04911092294665537	0.012701100762066046	0.001693480101608806
nested_commissioned	2023-05-25	crop	821	620	0.7551766138855055	285	0.3471376370280146	0.707673568818514	0.24116930572472595	0.00243605359317905
nested_commissioned	2023-05-25	weed	1695	236	0.1392330383480826	45	0.02654867256637168	0.07374631268436578	0.01887905604719764	0.0005899705014749262
nested_commissioned	2023-05-30	crop	520	474	0.9115384615384615	142	0.27307692307692305	0.6403846153846153	0.19038461538461537	0.007692307692307693
nested_commissioned	2023-05-30	weed	2427	1410	0.580964153275649	526	0.21672847136382364	0.365471775854965	0.13391017717346518	0.002472187886279357
nested_commissioned	2023-06-06	crop	633	581	0.9178515007898894	321	0.5071090047393365	0.693522906793049	0.382306477093207	0.017377567140600316
nested_commissioned	2023-06-06	weed	4726	2927	0.6193398222598392	2153	0.4555649597968684	0.4519678374947101	0.24418112568768516	0.033855268726195514
nested_commissioned	2023-06-15	crop	194	114	0.5876288659793815	8	0.041237113402061855	0.21649484536082475	0.041237113402061855	0.005154639175257732
nested_commissioned	2023-06-15	weed	1181	461	0.3903471634208298	97	0.0821337849280271	0.07959356477561388	0.026248941574936496	0.004233700254022015
