variant	held_out_date	instance_coverage_threshold	split_instances	merge_candidates
original	2023-05-25	0.1	50	13
original	2023-05-25	0.25	11	10
original	2023-05-25	0.5	0	6
original	2023-05-30	0.1	95	144
original	2023-05-30	0.25	27	121
original	2023-05-30	0.5	0	85
original	2023-06-06	0.1	62	503
original	2023-06-06	0.25	1	455
original	2023-06-06	0.5	0	352
original	2023-06-15	0.1	17	75
original	2023-06-15	0.25	1	54
original	2023-06-15	0.5	0	30
nested_commissioned	2023-05-25	0.1	32	77
nested_commissioned	2023-05-25	0.25	6	68
nested_commissioned	2023-05-25	0.5	0	56
nested_commissioned	2023-05-30	0.1	40	288
nested_commissioned	2023-05-30	0.25	9	275
nested_commissioned	2023-05-30	0.5	0	253
nested_commissioned	2023-06-06	0.1	50	681
nested_commissioned	2023-06-06	0.25	10	653
nested_commissioned	2023-06-06	0.5	0	581
nested_commissioned	2023-06-15	0.1	32	90
nested_commissioned	2023-06-15	0.25	1	69
nested_commissioned	2023-06-15	0.5	0	48
