repeat	variant	model	held_out_date	k	images	accepted_candidates	eligible_weed_candidates	eligible_crop_candidates	ambiguous_or_background_candidates	all_candidate_precision	queued_spatial_weed_instance_recall	queued_role_qualified_weed_instance_recall	pure_crop_scene_frequency	crop_overlap_scene_frequency_0.00	crop_overlap_scene_frequency_0.01	crop_overlap_scene_frequency_0.10	crop_overlap_scene_frequency_0.50
0	nested_commissioned	dinov2_last_block_finetune	2023-05-25	1	48	48	2	0	46	0.041666666666666664	0.002359882005899705	0.0005899705014749262	0.0	0.0	0.0	0.0	0.0
0	nested_commissioned	dinov2_last_block_finetune	2023-05-25	5	48	240	4	9	227	0.016666666666666666	0.015339233038348082	0.0017699115044247787	0.125	0.125	0.125	0.125	0.125
0	nested_commissioned	dinov2_last_block_finetune	2023-05-25	10	48	480	12	24	444	0.025	0.029498525073746312	0.006489675516224189	0.22916666666666666	0.25	0.25	0.25	0.22916666666666666
0	nested_commissioned	dinov2_last_block_finetune	2023-05-25	20	48	959	19	89	851	0.01981230448383733	0.04837758112094395	0.010619469026548672	0.3333333333333333	0.4375	0.4375	0.4375	0.3333333333333333
1	nested_commissioned	dinov2_last_block_finetune	2023-05-25	1	48	48	2	0	46	0.041666666666666664	0.0011799410029498525	0.0005899705014749262	0.0	0.0	0.0	0.0	0.0
1	nested_commissioned	dinov2_last_block_finetune	2023-05-25	5	48	240	9	12	219	0.0375	0.01592920353982301	0.00471976401179941	0.16666666666666666	0.16666666666666666	0.16666666666666666	0.16666666666666666	0.16666666666666666
1	nested_commissioned	dinov2_last_block_finetune	2023-05-25	10	48	480	18	22	440	0.0375	0.032448377581120944	0.010619469026548672	0.22916666666666666	0.2916666666666667	0.2916666666666667	0.2916666666666667	0.22916666666666666
1	nested_commissioned	dinov2_last_block_finetune	2023-05-25	20	48	959	30	93	836	0.03128258602711158	0.05191740412979351	0.01710914454277286	0.3333333333333333	0.3958333333333333	0.3958333333333333	0.3958333333333333	0.3333333333333333
2	nested_commissioned	dinov2_last_block_finetune	2023-05-25	1	48	48	2	0	46	0.041666666666666664	0.00471976401179941	0.0005899705014749262	0.0	0.0	0.0	0.0	0.0
2	nested_commissioned	dinov2_last_block_finetune	2023-05-25	5	48	240	6	15	219	0.025	0.020058997050147492	0.0029498525073746312	0.20833333333333334	0.22916666666666666	0.22916666666666666	0.22916666666666666	0.20833333333333334
2	nested_commissioned	dinov2_last_block_finetune	2023-05-25	10	48	480	11	34	435	0.022916666666666665	0.03008849557522124	0.0058997050147492625	0.3541666666666667	0.4166666666666667	0.4166666666666667	0.4166666666666667	0.3541666666666667
2	nested_commissioned	dinov2_last_block_finetune	2023-05-25	20	48	959	24	99	836	0.02502606882168926	0.054277286135693215	0.012979351032448377	0.4583333333333333	0.625	0.625	0.625	0.4583333333333333
0	nested_commissioned	dinov2_last_block_finetune	2023-05-30	1	48	48	15	0	33	0.3125	0.008240626287597858	0.006592501030078286	0.0	0.0	0.0	0.0	0.0
0	nested_commissioned	dinov2_last_block_finetune	2023-05-30	5	48	240	63	0	177	0.2625	0.03543469303667079	0.026782035434693038	0.0	0.020833333333333332	0.020833333333333332	0.020833333333333332	0.0
0	nested_commissioned	dinov2_last_block_finetune	2023-05-30	10	48	480	102	0	378	0.2125	0.06262875978574371	0.042439225381128966	0.0	0.020833333333333332	0.020833333333333332	0.020833333333333332	0.0
0	nested_commissioned	dinov2_last_block_finetune	2023-05-30	20	48	960	180	1	779	0.1875	0.11495673671199011	0.07334157395962093	0.020833333333333332	0.0625	0.0625	0.0625	0.020833333333333332
1	nested_commissioned	dinov2_last_block_finetune	2023-05-30	1	48	48	18	0	30	0.375	0.010300782859497322	0.007416563658838072	0.0	0.0	0.0	0.0	0.0
1	nested_commissioned	dinov2_last_block_finetune	2023-05-30	5	48	240	62	0	178	0.25833333333333336	0.03873094355170993	0.026782035434693038	0.0	0.020833333333333332	0.020833333333333332	0.020833333333333332	0.0
1	nested_commissioned	dinov2_last_block_finetune	2023-05-30	10	48	480	121	0	359	0.2520833333333333	0.07210548001648125	0.049443757725587144	0.0	0.020833333333333332	0.020833333333333332	0.020833333333333332	0.0
1	nested_commissioned	dinov2_last_block_finetune	2023-05-30	20	48	960	202	3	755	0.21041666666666667	0.12978986402966625	0.08240626287597858	0.0625	0.10416666666666667	0.10416666666666667	0.10416666666666667	0.0625
2	nested_commissioned	dinov2_last_block_finetune	2023-05-30	1	48	48	20	0	28	0.4166666666666667	0.013597033374536464	0.00865265760197775	0.0	0.0	0.0	0.0	0.0
2	nested_commissioned	dinov2_last_block_finetune	2023-05-30	5	48	240	75	1	164	0.3125	0.049443757725587144	0.032550473836011534	0.020833333333333332	0.041666666666666664	0.041666666666666664	0.041666666666666664	0.020833333333333332
2	nested_commissioned	dinov2_last_block_finetune	2023-05-30	10	48	480	132	1	347	0.275	0.08735063864853729	0.05686032138442522	0.020833333333333332	0.041666666666666664	0.041666666666666664	0.041666666666666664	0.020833333333333332
2	nested_commissioned	dinov2_last_block_finetune	2023-05-30	20	48	960	212	1	747	0.22083333333333333	0.1454470539761022	0.08776266996291718	0.020833333333333332	0.0625	0.0625	0.0625	0.020833333333333332
0	nested_commissioned	dinov2_last_block_finetune	2023-06-06	1	48	48	47	0	1	0.9791666666666666	0.011637748624629707	0.011637748624629707	0.0	0.0	0.0	0.0	0.0
0	nested_commissioned	dinov2_last_block_finetune	2023-06-06	5	48	240	228	0	12	0.95	0.06305543800253914	0.06242065171392298	0.0	0.0	0.0	0.0	0.0
0	nested_commissioned	dinov2_last_block_finetune	2023-06-06	10	48	480	440	1	39	0.9166666666666666	0.11997460854845535	0.11701227253491324	0.020833333333333332	0.020833333333333332	0.020833333333333332	0.020833333333333332	0.020833333333333332
0	nested_commissioned	dinov2_last_block_finetune	2023-06-06	20	48	960	841	3	116	0.8760416666666667	0.2179432924248836	0.2090562843842573	0.0625	0.10416666666666667	0.10416666666666667	0.10416666666666667	0.08333333333333333
1	nested_commissioned	dinov2_last_block_finetune	2023-06-06	1	48	48	46	0	2	0.9583333333333334	0.011214557765552264	0.011214557765552264	0.0	0.0	0.0	0.0	0.0
