held_out_date	selected_setting	repeat	seed	training_labels	test_candidates	epochs	final_training_loss	roc_auc	average_precision	checkpoint	checkpoint_sha256
2023-05-25	T070_A032	0	2026081000	300	437	8	0.1852177709341049	0.8990516902515723	0.6246682999172397	2023-05-25_repeat0.pt	745281e3fe40e419f5e41b474a1939b3e30572abf08ed9fefae798a0a3604a2d
2023-05-25	T070_A032	1	2026081001	300	437	8	0.16542357802391053	0.9068887578616353	0.653171718377409	2023-05-25_repeat1.pt	6913dba4e207dca78112df107f4ea658a6b142920b63267171a84c6554cbdb41
2023-05-25	T070_A032	2	2026081002	300	437	8	0.1931303471326828	0.8826159591194969	0.5327741177652427	2023-05-25_repeat2.pt	65c9d24dba9fdbbe8fd938fd80a41da93b6f96c9e3a589d52599d28566a71eef
2023-05-30	T070_A032	0	2026081100	300	737	8	0.26438480615615845	0.9735969049223168	0.9904394123885633	2023-05-30_repeat0.pt	b94341fc2ac89cd7040b96e24b29ee31fc6f2f852eefdc6a982544b3920cb7f1
2023-05-30	T070_A032	1	2026081101	300	737	8	0.2708584427833557	0.9672526081541822	0.9865370570770322	2023-05-30_repeat1.pt	4975c81f96841d22d31e664fe6f4966a2f9fb619e2ba361af53a7469f3c63aa5
2023-05-30	T070_A032	2	2026081102	300	737	8	0.2546024978160858	0.9758273616300198	0.9905446944374476	2023-05-30_repeat2.pt	d1160646e2ded28a046e37cb7cd74734877b8cc6d184d7a026a6fb2488f237ae
2023-06-06	T080_A032	0	2026081200	300	2347	8	0.28073967397212984	0.9567960747048494	0.991886637176402	2023-06-06_repeat0.pt	c87af581ccae1a34101fe154463690e87d5b91a7c9af572421c409e3ce5ceab6
2023-06-06	T080_A032	1	2026081201	300	2347	8	0.2311747133731842	0.9636777961269847	0.9932960144025981	2023-06-06_repeat1.pt	02404fffc83ec2c3fbdb0801fcb2f2f409dcdfa2ff160b2c388073e2d48504fb
2023-06-06	T080_A032	2	2026081202	300	2347	8	0.264132434129715	0.9679532125976019	0.9937983718018071	2023-06-06_repeat2.pt	3ab1d549d8d3e1696a1e799be7846da02183adffdd0c0d1ddd36e21523941cb8
2023-06-15	T080_A032	0	2026081300	300	455	8	0.19231420755386353	0.7427163667523564	0.9392131979879144	2023-06-15_repeat0.pt	126e411c8bc8875201c1a8f44ab39de2af8aeb509f26cff7fa0b046270b5ee8f
2023-06-15	T080_A032	1	2026081301	300	455	8	0.19519320428371428	0.7618018228558074	0.9452762097582675	2023-06-15_repeat1.pt	7bb48c139fcc206fd59a54900fab789c33c181f206f98daab731781fe2954ea2
2023-06-15	T080_A032	2	2026081302	300	455	8	0.23040348589420317	0.7976552153930045	0.9552010603016917	2023-06-15_repeat2.pt	3f2efb5993a02698c01810c707a29338892b9f6a181fdbcfa1d5a35a62724c70
