held_out_date	selected_setting	repeat	feature_kind	labels_per_training_date	training_labels	test_candidates	roc_auc	average_precision
2023-05-25	T070_A032	0	dinov2_frozen	100	300	437	0.8971354166666666	0.5374279469024582
2023-05-25	T070_A032	0	source_semantic_frozen	100	300	437	0.7275452044025157	0.3166020854018922
2023-05-25	T070_A032	0	role_plus_local	100	300	437	0.9434453616352201	0.6433337663555152
2023-05-25	T070_A032	1	dinov2_frozen	100	300	437	0.9022454795597484	0.6546395866893414
2023-05-25	T070_A032	1	source_semantic_frozen	100	300	437	0.7672955974842768	0.38404743892832915
2023-05-25	T070_A032	1	role_plus_local	100	300	437	0.9189268867924528	0.5437186139499641
2023-05-25	T070_A032	2	dinov2_frozen	100	300	437	0.8860062893081762	0.5090820936289882
2023-05-25	T070_A032	2	source_semantic_frozen	100	300	437	0.7802672955974843	0.38996328708173905
2023-05-25	T070_A032	2	role_plus_local	100	300	437	0.938875786163522	0.6200174827407067
2023-05-25	T070_A032	3	dinov2_frozen	100	300	437	0.9038669418238994	0.6962424485883373
2023-05-25	T070_A032	3	source_semantic_frozen	100	300	437	0.6643573113207547	0.1983605091088456
2023-05-25	T070_A032	3	role_plus_local	100	300	437	0.9298840408805031	0.588225959028818
2023-05-25	T070_A032	4	dinov2_frozen	100	300	437	0.9264445754716981	0.6430977041874536
2023-05-25	T070_A032	4	source_semantic_frozen	100	300	437	0.7013069968553459	0.27228468569797504
2023-05-25	T070_A032	4	role_plus_local	100	300	437	0.9375982704402516	0.611130515999079
2023-05-25	T070_A032	5	dinov2_frozen	100	300	437	0.9178704795597484	0.5459868319536533
2023-05-25	T070_A032	5	source_semantic_frozen	100	300	437	0.7806112421383647	0.34738930978385085
2023-05-25	T070_A032	5	role_plus_local	100	300	437	0.9205483490566038	0.6290313605033526
2023-05-25	T070_A032	6	dinov2_frozen	100	300	437	0.8826650943396226	0.5251912331031571
2023-05-25	T070_A032	6	source_semantic_frozen	100	300	437	0.7636841588050315	0.34172380393857044
2023-05-25	T070_A032	6	role_plus_local	100	300	437	0.9316037735849056	0.5845409963693425
2023-05-25	T070_A032	7	dinov2_frozen	100	300	437	0.8803066037735849	0.46743999847081313
2023-05-25	T070_A032	7	source_semantic_frozen	100	300	437	0.749533215408805	0.29299651750324723
2023-05-25	T070_A032	7	role_plus_local	100	300	437	0.9383844339622641	0.6195191914968795
2023-05-25	T070_A032	8	dinov2_frozen	100	300	437	0.8423005110062893	0.4856429516203393
2023-05-25	T070_A032	8	source_semantic_frozen	100	300	437	0.6903498427672956	0.25760042300278746
2023-05-25	T070_A032	8	role_plus_local	100	300	437	0.9195656446540881	0.5460830721030505
2023-05-25	T070_A032	9	dinov2_frozen	100	300	437	0.918656643081761	0.6214958023854066
2023-05-25	T070_A032	9	source_semantic_frozen	100	300	437	0.675093356918239	0.24169032117715433
2023-05-25	T070_A032	9	role_plus_local	100	300	437	0.9353871855345912	0.6003328494094616
2023-05-30	T070_A032	0	dinov2_frozen	100	300	737	0.9271707396745676	0.959699516306445
2023-05-30	T070_A032	0	source_semantic_frozen	100	300	737	0.7542159204589535	0.8782401533644945
2023-05-30	T070_A032	0	role_plus_local	100	300	737	0.9237561503440109	0.9696550931992106
2023-05-30	T070_A032	1	dinov2_frozen	100	300	737	0.963046895735081	0.9754555471672747
2023-05-30	T070_A032	1	source_semantic_frozen	100	300	737	0.7774953553418672	0.8827004658104751
2023-05-30	T070_A032	1	role_plus_local	100	300	737	0.9211837243012597	0.967208366605366
2023-05-30	T070_A032	2	dinov2_frozen	100	300	737	0.9390120659031053	0.9752534518033584
2023-05-30	T070_A032	2	source_semantic_frozen	100	300	737	0.744666299177232	0.8690378500326384
2023-05-30	T070_A032	2	role_plus_local	100	300	737	0.9181417284253077	0.9665684468492928
2023-05-30	T070_A032	3	dinov2_frozen	100	300	737	0.9310600028582512	0.9756022131036777
2023-05-30	T070_A032	3	source_semantic_frozen	100	300	737	0.7947061105326555	0.8874953359150208
2023-05-30	T070_A032	3	role_plus_local	100	300	737	0.9136501908903453	0.9640537645223339
2023-05-30	T070_A032	4	dinov2_frozen	100	300	737	0.9596374104244503	0.9783365791281367
2023-05-30	T070_A032	4	source_semantic_frozen	100	300	737	0.7797207080296441	0.8769717437249442
2023-05-30	T070_A032	4	role_plus_local	100	300	737	0.9164574018496968	0.96551854079127
2023-05-30	T070_A032	5	dinov2_frozen	100	300	737	0.9590198240133929	0.9858891227343473
2023-05-30	T070_A032	5	source_semantic_frozen	100	300	737	0.8235285110553071	0.9133984453331453
2023-05-30	T070_A032	5	role_plus_local	100	300	737	0.9052387660521427	0.9586447000388545
2023-05-30	T070_A032	6	dinov2_frozen	100	300	737	0.9568148874053204	0.9804208636320632
2023-05-30	T070_A032	6	source_semantic_frozen	100	300	737	0.751357669300341	0.8913139083456572
2023-05-30	T070_A032	6	role_plus_local	100	300	737	0.898236050713542	0.9542843306822305
2023-05-30	T070_A032	7	dinov2_frozen	100	300	737	0.9571313366407382	0.9812850595125797
2023-05-30	T070_A032	7	source_semantic_frozen	100	300	737	0.741073069149262	0.8616887677083722
2023-05-30	T070_A032	7	role_plus_local	100	300	737	0.9194381494865356	0.9671801172472629
2023-05-30	T070_A032	8	dinov2_frozen	100	300	737	0.94972029970805	0.9821075589615543
2023-05-30	T070_A032	8	source_semantic_frozen	100	300	737	0.771819685184051	0.8930918074858643
2023-05-30	T070_A032	8	role_plus_local	100	300	737	0.9251546518037607	0.9697005081087814
2023-05-30	T070_A032	9	dinov2_frozen	100	300	737	0.9606224862701864	0.9792165552778929
2023-05-30	T070_A032	9	source_semantic_frozen	100	300	737	0.7903574855556236	0.8922069099435418
2023-05-30	T070_A032	9	role_plus_local	100	300	737	0.9001245380861966	0.9563687573936314
2023-06-06	T080_A032	0	dinov2_frozen	100	300	2347	0.9462132464872545	0.9900462348569552
2023-06-06	T080_A032	0	source_semantic_frozen	100	300	2347	0.8291201914058055	0.9670336319542118
2023-06-06	T080_A032	0	role_plus_local	100	300	2347	0.8797363249716305	0.9749708949066354
2023-06-06	T080_A032	1	dinov2_frozen	100	300	2347	0.9727322071635713	0.9948466013388111
2023-06-06	T080_A032	1	source_semantic_frozen	100	300	2347	0.7985303207830908	0.9464430175593234
2023-06-06	T080_A032	1	role_plus_local	100	300	2347	0.921952314614067	0.9819140583467516
2023-06-06	T080_A032	2	dinov2_frozen	100	300	2347	0.9267905084370474	0.9846583620146667
2023-06-06	T080_A032	2	source_semantic_frozen	100	300	2347	0.796777407718353	0.9495882611988058
2023-06-06	T080_A032	2	role_plus_local	100	300	2347	0.908016655749401	0.9786652338394577
2023-06-06	T080_A032	3	dinov2_frozen	100	300	2347	0.9649386634191646	0.9933315602263972
2023-06-06	T080_A032	3	source_semantic_frozen	100	300	2347	0.8627638211044583	0.9736692316325775
2023-06-06	T080_A032	3	role_plus_local	100	300	2347	0.9070233383460496	0.9780222250446516
2023-06-06	T080_A032	4	dinov2_frozen	100	300	2347	0.9613344281351772	0.9930860920939342
2023-06-06	T080_A032	4	source_semantic_frozen	100	300	2347	0.8271012660952786	0.9454769465369878
2023-06-06	T080_A032	4	role_plus_local	100	300	2347	0.9193183320878425	0.980760953317416
2023-06-06	T080_A032	5	dinov2_frozen	100	300	2347	0.9724085333038106	0.9948320481069225
2023-06-06	T080_A032	5	source_semantic_frozen	100	300	2347	0.8215995793008645	0.954051081562995
2023-06-06	T080_A032	5	role_plus_local	100	300	2347	0.9132292656524373	0.9794881694415574
2023-06-06	T080_A032	6	dinov2_frozen	100	300	2347	0.9641075673564533	0.993562410296324
2023-06-06	T080_A032	6	source_semantic_frozen	100	300	2347	0.8170104836502415	0.9540054563982786
2023-06-06	T080_A032	6	role_plus_local	100	300	2347	0.9099925270548292	0.976951447730288
2023-06-06	T080_A032	7	dinov2_frozen	100	300	2347	0.9501826719930622	0.9903679822371405
2023-06-06	T080_A032	7	source_semantic_frozen	100	300	2347	0.8424438683408524	0.9597176144042313
2023-06-06	T080_A032	7	role_plus_local	100	300	2347	0.8977805660371556	0.975283419283004
2023-06-06	T080_A032	8	dinov2_frozen	100	300	2347	0.9424191122879206	0.9854903769222366
2023-06-06	T080_A032	8	source_semantic_frozen	100	300	2347	0.8385520938085266	0.9639370892466024
2023-06-06	T080_A032	8	role_plus_local	100	300	2347	0.9176346129598706	0.9816850336077869
2023-06-06	T080_A032	9	dinov2_frozen	100	300	2347	0.9785714066050994	0.9961774021435461
2023-06-06	T080_A032	9	source_semantic_frozen	100	300	2347	0.8070665461154524	0.9479843074036493
2023-06-06	T080_A032	9	role_plus_local	100	300	2347	0.9050367035393467	0.9782827806529697
2023-06-15	T080_A032	0	dinov2_frozen	100	300	455	0.7242735841707564	0.9347172367166003
2023-06-15	T080_A032	0	source_semantic_frozen	100	300	455	0.48722442938381244	0.8794119562365071
2023-06-15	T080_A032	0	role_plus_local	100	300	455	0.7173794500272649	0.9149851470103785
2023-06-15	T080_A032	1	dinov2_frozen	100	300	455	0.6302095505180338	0.8916600733459991
2023-06-15	T080_A032	1	source_semantic_frozen	100	300	455	0.43719326945548026	0.8571306083615995
2023-06-15	T080_A032	1	role_plus_local	100	300	455	0.7146919062086157	0.9131117872522573
2023-06-15	T080_A032	2	dinov2_frozen	100	300	455	0.7108553400327179	0.9244427465461117
2023-06-15	T080_A032	2	source_semantic_frozen	100	300	455	0.5160084131806497	0.8784868044471054
2023-06-15	T080_A032	2	role_plus_local	100	300	455	0.7317909168808912	0.923351397868785
2023-06-15	T080_A032	3	dinov2_frozen	100	300	455	0.6431214458206747	0.9047113441849803
2023-06-15	T080_A032	3	source_semantic_frozen	100	300	455	0.4527927085767703	0.8417120303141749
2023-06-15	T080_A032	3	role_plus_local	100	300	455	0.6933084053906676	0.908335298723576
2023-06-15	T080_A032	4	dinov2_frozen	100	300	455	0.8336059827062398	0.9631045755252685
2023-06-15	T080_A032	4	source_semantic_frozen	100	300	455	0.5344317208070422	0.8832662564676524
2023-06-15	T080_A032	4	role_plus_local	100	300	455	0.7100958167796214	0.9186240598977796
2023-06-15	T080_A032	5	dinov2_frozen	100	300	455	0.7941107735452209	0.9552985860628581
2023-06-15	T080_A032	5	source_semantic_frozen	100	300	455	0.4959102594064034	0.8739748158797273
2023-06-15	T080_A032	5	role_plus_local	100	300	455	0.6861026719638544	0.9098786752151741
2023-06-15	T080_A032	6	dinov2_frozen	100	300	455	0.697164446521773	0.92575495603525
2023-06-15	T080_A032	6	source_semantic_frozen	100	300	455	0.5442665731868817	0.8961384890298906
2023-06-15	T080_A032	6	role_plus_local	100	300	455	0.7296486718080548	0.9219861931939285
2023-06-15	T080_A032	7	dinov2_frozen	100	300	455	0.7308950689413415	0.9405428764538359
2023-06-15	T080_A032	7	source_semantic_frozen	100	300	455	0.4444574277479162	0.8473626920775703
2023-06-15	T080_A032	7	role_plus_local	100	300	455	0.750097374776038	0.9282461739275951
2023-06-15	T080_A032	8	dinov2_frozen	100	300	455	0.7014099867570305	0.926871326872443
2023-06-15	T080_A032	8	source_semantic_frozen	100	300	455	0.33903949520916105	0.7987053683222839
2023-06-15	T080_A032	8	role_plus_local	100	300	455	0.7441380384825115	0.9245732514834984
2023-06-15	T080_A032	9	dinov2_frozen	100	300	455	0.7180221235491159	0.9356064885871631
2023-06-15	T080_A032	9	source_semantic_frozen	100	300	455	0.49139206979823946	0.8867522712869985
2023-06-15	T080_A032	9	role_plus_local	100	300	455	0.6732102516164212	0.9025558042219282
