model	k	minimum_instance_coverage	covered_weed_instances_per_candidate	queued_candidates	queued_candidate_fraction
all_candidate_component_masked_dinov2_linear	20	0.1	0	177	0.3403846153846154
all_candidate_component_masked_dinov2_linear	20	0.1	1	273	0.525
all_candidate_component_masked_dinov2_linear	20	0.1	2	44	0.08461538461538462
all_candidate_component_masked_dinov2_linear	20	0.1	3	16	0.03076923076923077
all_candidate_component_masked_dinov2_linear	20	0.1	4	3	0.0057692307692307696
all_candidate_component_masked_dinov2_linear	20	0.1	5	4	0.007692307692307693
all_candidate_component_masked_dinov2_linear	20	0.1	7	2	0.0038461538461538464
all_candidate_component_masked_dinov2_linear	20	0.1	68	1	0.0019230769230769232
all_candidate_component_masked_dinov2_linear	20	0.25	0	192	0.36923076923076925
all_candidate_component_masked_dinov2_linear	20	0.25	1	258	0.49615384615384617
all_candidate_component_masked_dinov2_linear	20	0.25	2	47	0.09038461538461538
all_candidate_component_masked_dinov2_linear	20	0.25	3	14	0.026923076923076925
all_candidate_component_masked_dinov2_linear	20	0.25	4	2	0.0038461538461538464
all_candidate_component_masked_dinov2_linear	20	0.25	5	4	0.007692307692307693
all_candidate_component_masked_dinov2_linear	20	0.25	7	2	0.0038461538461538464
all_candidate_component_masked_dinov2_linear	20	0.25	68	1	0.0019230769230769232
all_candidate_component_masked_dinov2_linear	20	0.5	0	225	0.4326923076923077
all_candidate_component_masked_dinov2_linear	20	0.5	1	229	0.4403846153846154
all_candidate_component_masked_dinov2_linear	20	0.5	2	49	0.09423076923076923
all_candidate_component_masked_dinov2_linear	20	0.5	3	8	0.015384615384615385
all_candidate_component_masked_dinov2_linear	20	0.5	4	2	0.0038461538461538464
all_candidate_component_masked_dinov2_linear	20	0.5	5	4	0.007692307692307693
all_candidate_component_masked_dinov2_linear	20	0.5	7	2	0.0038461538461538464
all_candidate_component_masked_dinov2_linear	20	0.5	66	1	0.0019230769230769232
