model	k	stratum	minimum_instance_coverage	minimum_candidate_labeled_coverage	minimum_same_role_purity	selected_candidates	weed_truth_instances	many_to_one_recalled_instances	many_to_one_queued_recall	one_to_one_matches	one_to_one_queued_recall
all_candidate_role_plus_local_logistic	1	ALL	0.25	0.25	0.5	26	1712	113	0.06600467289719626	13	0.007593457943925234
all_candidate_role_plus_local_logistic	1	ALL	0.25	0.25	0.75	26	1712	79	0.04614485981308411	12	0.007009345794392523
all_candidate_role_plus_local_logistic	1	ALL	0.25	0.25	0.9	26	1712	11	0.006425233644859813	11	0.006425233644859813
all_candidate_role_plus_local_logistic	1	ALL	0.25	0.5	0.5	26	1712	110	0.06425233644859812	10	0.005841121495327103
all_candidate_role_plus_local_logistic	1	ALL	0.25	0.5	0.75	26	1712	76	0.04439252336448598	9	0.005257009345794392
all_candidate_role_plus_local_logistic	1	ALL	0.25	0.5	0.9	26	1712	8	0.004672897196261682	8	0.004672897196261682
all_candidate_role_plus_local_logistic	1	ALL	0.25	0.75	0.5	26	1712	73	0.04264018691588785	6	0.0035046728971962616
all_candidate_role_plus_local_logistic	1	ALL	0.25	0.75	0.75	26	1712	73	0.04264018691588785	6	0.0035046728971962616
all_candidate_role_plus_local_logistic	1	ALL	0.25	0.75	0.9	26	1712	5	0.0029205607476635513	5	0.0029205607476635513
all_candidate_role_plus_local_logistic	1	ALL	0.5	0.25	0.5	26	1712	111	0.06483644859813084	13	0.007593457943925234
all_candidate_role_plus_local_logistic	1	ALL	0.5	0.25	0.75	26	1712	77	0.04497663551401869	12	0.007009345794392523
all_candidate_role_plus_local_logistic	1	ALL	0.5	0.25	0.9	26	1712	11	0.006425233644859813	11	0.006425233644859813
all_candidate_role_plus_local_logistic	1	ALL	0.5	0.5	0.5	26	1712	108	0.0630841121495327	10	0.005841121495327103
all_candidate_role_plus_local_logistic	1	ALL	0.5	0.5	0.75	26	1712	74	0.04322429906542056	9	0.005257009345794392
all_candidate_role_plus_local_logistic	1	ALL	0.5	0.5	0.9	26	1712	8	0.004672897196261682	8	0.004672897196261682
all_candidate_role_plus_local_logistic	1	ALL	0.5	0.75	0.5	26	1712	71	0.04147196261682243	6	0.0035046728971962616
all_candidate_role_plus_local_logistic	1	ALL	0.5	0.75	0.75	26	1712	71	0.04147196261682243	6	0.0035046728971962616
all_candidate_role_plus_local_logistic	1	ALL	0.5	0.75	0.9	26	1712	5	0.0029205607476635513	5	0.0029205607476635513
all_candidate_role_plus_local_logistic	1	ALL	0.75	0.25	0.5	26	1712	100	0.05841121495327103	11	0.006425233644859813
