repeat	seed	physical_gpu	selected_training_ids_sha256	training_candidates	training_weed_candidates	training_nonweed_candidates	selected_epoch	test_all_candidate_roc_auc	test_all_candidate_average_precision	checkpoint	checkpoint_sha256	wall_seconds	peak_cuda_memory_allocated_bytes	gpu_name	torch	timm
0	2026081200	0	0bdcdfe649fb44045157ab67ed427bb98825ac7ed1e9d1332a4e829c002dcf21	300	57	243	8	0.9047509730826161	0.7731090870872114	repeat_00.pt	c6e289d733995e1fe32425b070a94580e5adb75170a0dc2cbbac1d659b9510e3	19.177485011518	660115968	NVIDIA H200	2.7.1+cu126	1.0.28
1	2026081201	1	83aea3b86d7efb5ffd8d3def24bf14212233576986b8683922e9097581d6ffcb	300	64	236	8	0.9195196718016191	0.7906433942493076	repeat_01.pt	67281cf4d0ec6cc9f0774f1c9ba1830de120ca6bf66a8048f1ead07a5588b0b4	19.19830052368343	660115968	NVIDIA H200	2.7.1+cu126	1.0.28
2	2026081202	2	cef7feec5a36381d959808fa06420674f03d4bd82e44345ec08d7be2b67e0b67	300	75	225	8	0.9143458874696198	0.7752485984216435	repeat_02.pt	c06e6ff5a07fb544ce20e20e977950c19a84a3d070e5aa6fa60ebfe359d759ae	20.504451035521924	660115968	NVIDIA H200	2.7.1+cu126	1.0.28
3	2026081203	3	1a1011c503492825a0d450ef417a0ada4c475709dc708cfa806998f6dfbc6e1a	300	62	238	8	0.9023473904939421	0.7639369899478717	repeat_03.pt	e57de979d47f94ecd84024bb14402bbd91b494d3d27d587c00b924525d1341ce	19.745961224660277	660115968	NVIDIA H200	2.7.1+cu126	1.0.28
4	2026081204	4	4d20c18892b90ab773e44cd072d244e569e4849f1cdfd42cfbd9473b64201dd7	300	63	237	8	0.9112844462109169	0.7674008647111039	repeat_04.pt	87985b726aa5c08af41ed18af94cf05730b317396dd59f12d054c41ab15ba038	19.410331633873284	660115968	NVIDIA H200	2.7.1+cu126	1.0.28
5	2026081205	5	8d6247f17e7fedce743095969d1dc8b438ee9952aa44efbd36c3c242b366979d	300	59	241	8	0.9039377866710524	0.7556440420467971	repeat_05.pt	ae906869dc438534eef3b17ab7361263e77414c9d7c5ac80ebebf94745bfd9c1	20.65981629304588	660115968	NVIDIA H200	2.7.1+cu126	1.0.28
6	2026081206	6	90c10a0eef1815c788c4ad97bb9807b86f4d522d128f84eecbfcbe26757c5542	300	65	235	8	0.9368798311496079	0.8180292854844592	repeat_06.pt	4edee26ad558661943cca76ac20b94863b4e24a5fa0f42f570f27021e739bd83	18.532647166401148	660115968	NVIDIA H200	2.7.1+cu126	1.0.28
7	2026081207	7	6f0b4f9ef455d0a034ca1eb9c8bd548c4b9e3d1fcc23f477b74ff243d75347ea	300	61	239	8	0.9197166867679037	0.7864324839123878	repeat_07.pt	b49aa7a550f1dc339003b86b2fbf866c0eeeeda78769a60befce9dde2300bc23	18.13040360622108	660115968	NVIDIA H200	2.7.1+cu126	1.0.28
8	2026081208	0	a3ee6112e8079965154f2e15f77f7e1e6181d1cfc599a44b375087be07e14879	300	53	247	8	0.9167386199587011	0.7862429754912984	repeat_08.pt	74323b71d64dd6f2ba27e169d0382f188367a9d9304d39776ccce98c4f91eaa5	17.26993612665683	659621376	NVIDIA H200	2.7.1+cu126	1.0.28
9	2026081209	1	80dd726aeb6094e383034d357a6f0b31705c475b6b1e81acacb849d16aad5033	300	63	237	8	0.9175352456919394	0.7778007031384727	repeat_09.pt	4c23546775c04ab87f59a20a7b27179cf46dbe1dea2fcb6b758daa35dff6e375	16.870266129262745	659621376	NVIDIA H200	2.7.1+cu126	1.0.28
