repeat	selected_training_ids_sha256	frozen_all_candidate_roc_auc	finetuned_all_candidate_roc_auc	paired_auc_difference_finetuned_minus_frozen	frozen_all_candidate_average_precision	finetuned_all_candidate_average_precision	paired_ap_difference_finetuned_minus_frozen	frozen_k20_queue_precision	finetuned_k20_queue_precision	paired_k20_precision_difference	frozen_k20_role_qualified_recall	finetuned_k20_role_qualified_recall	paired_k20_recall_difference
0	0bdcdfe649fb44045157ab67ed427bb98825ac7ed1e9d1332a4e829c002dcf21	0.9555945397730388	0.9047509730826161	-0.05084356669042267	0.8572578119179369	0.7731090870872114	-0.08414872483072555	0.5230769230769231	0.475	-0.04807692307692313	0.17406542056074767	0.1582943925233645	-0.015771028037383172
1	83aea3b86d7efb5ffd8d3def24bf14212233576986b8683922e9097581d6ffcb	0.9562432615170953	0.9195196718016191	-0.03672358971547618	0.8582447529639489	0.7906433942493076	-0.06760135871464124	0.5173076923076924	0.4826923076923077	-0.03461538461538466	0.169392523364486	0.14544392523364486	-0.02394859813084113
2	cef7feec5a36381d959808fa06420674f03d4bd82e44345ec08d7be2b67e0b67	0.9554997441660729	0.9143458874696198	-0.041153856696453106	0.8585666258951532	0.7752485984216435	-0.08331802747350969	0.5153846153846153	0.475	-0.04038461538461535	0.16647196261682243	0.1641355140186916	-0.0023364485981308414
3	1a1011c503492825a0d450ef417a0ada4c475709dc708cfa806998f6dfbc6e1a	0.9553261425725929	0.9023473904939421	-0.05297875207865077	0.8568901892028569	0.7639369899478717	-0.09295319925498513	0.5230769230769231	0.47692307692307695	-0.046153846153846156	0.17172897196261683	0.16296728971962618	-0.008761682242990648
4	4d20c18892b90ab773e44cd072d244e569e4849f1cdfd42cfbd9473b64201dd7	0.9537020539809585	0.9112844462109169	-0.042417607770041665	0.8538645502226071	0.7674008647111039	-0.08646368551150319	0.5192307692307693	0.49038461538461536	-0.02884615384615391	0.16705607476635514	0.16179906542056074	-0.0052570093457944
5	8d6247f17e7fedce743095969d1dc8b438ee9952aa44efbd36c3c242b366979d	0.9494922153390712	0.9039377866710524	-0.04555442866801884	0.8342282470383454	0.7556440420467971	-0.07858420499154828	0.5076923076923077	0.4634615384615385	-0.044230769230769185	0.1705607476635514	0.16121495327102803	-0.009345794392523366
6	90c10a0eef1815c788c4ad97bb9807b86f4d522d128f84eecbfcbe26757c5542	0.948502000986788	0.9368798311496079	-0.011622169837180119	0.8355754156556667	0.8180292854844592	-0.01754613017120754	0.5211538461538462	0.5076923076923077	-0.013461538461538525	0.17289719626168223	0.17348130841121495	0.0005841121495327173
7	6f0b4f9ef455d0a034ca1eb9c8bd548c4b9e3d1fcc23f477b74ff243d75347ea	0.9550406136359484	0.9197166867679037	-0.03532392686804464	0.8564814508051036	0.7864324839123878	-0.07004896689271578	0.5230769230769231	0.4807692307692308	-0.042307692307692324	0.1711448598130841	0.1594626168224299	-0.011682242990654207
8	a3ee6112e8079965154f2e15f77f7e1e6181d1cfc599a44b375087be07e14879	0.9567869086124664	0.9167386199587011	-0.04004828865376531	0.8622938213233416	0.7862429754912984	-0.07605084583204325	0.5346153846153846	0.4980769230769231	-0.03653846153846152	0.17757009345794392	0.16063084112149534	-0.01693925233644858
9	80dd726aeb6094e383034d357a6f0b31705c475b6b1e81acacb849d16aad5033	0.9567332291723771	0.9175352456919394	-0.03919798348043768	0.8609582479149526	0.7778007031384727	-0.08315754477647985	0.5326923076923077	0.49423076923076925	-0.038461538461538436	0.1764018691588785	0.15478971962616822	-0.02161214953271029
