variant	ranker_weights	k	aggregation	stratum	images	accepted_candidates	weed_candidates	all_candidate_queue_precision	weed_truth_instances	spatial_recalled_weed_instances	queued_spatial_weed_instance_recall	role_qualified_recalled_weed_instances	queued_role_qualified_weed_instance_recall	one_to_one_spatial_matches	one_to_one_spatial_recall	one_to_one_role_qualified_matches	one_to_one_role_qualified_recall	crop_overlap_scene_numerator_0.00	crop_overlap_scene_frequency_0.00	crop_overlap_scene_numerator_0.01	crop_overlap_scene_frequency_0.01	crop_overlap_scene_numerator_0.10	crop_overlap_scene_frequency_0.10	crop_overlap_scene_numerator_0.50	crop_overlap_scene_frequency_0.50
original_T095_A032	identical	1	pooled_test	ALL	26	26	13	0.5	1712	12	0.007009345794392523	10	0.005841121495327103	11	0.006425233644859813	10	0.005841121495327103	14	0.5384615384615384	13	0.5	13	0.5	12	0.46153846153846156
original_T095_A032	identical	1	acquisition_date	2023-05-25	8	8	0	0.0	392	0	0.0	0	0.0	0	0.0	0	0.0	8	1.0	8	1.0	8	1.0	8	1.0
original_T095_A032	identical	1	acquisition_date	2023-05-30	8	8	6	0.75	440	5	0.011363636363636364	5	0.011363636363636364	5	0.011363636363636364	5	0.011363636363636364	2	0.25	2	0.25	2	0.25	2	0.25
original_T095_A032	identical	1	acquisition_date	2023-06-06	8	8	6	0.75	726	6	0.008264462809917356	4	0.005509641873278237	5	0.006887052341597796	4	0.005509641873278237	3	0.375	2	0.25	2	0.25	1	0.125
original_T095_A032	identical	1	acquisition_date	2023-06-15	2	2	1	0.5	154	1	0.006493506493506494	1	0.006493506493506494	1	0.006493506493506494	1	0.006493506493506494	1	0.5	1	0.5	1	0.5	1	0.5
original_T095_A032	identical	5	pooled_test	ALL	26	129	75	0.5813953488372093	1712	116	0.06775700934579439	58	0.03387850467289719	50	0.029205607476635514	46	0.026869158878504672	19	0.7307692307692307	18	0.6923076923076923	18	0.6923076923076923	14	0.5384615384615384
original_T095_A032	identical	5	acquisition_date	2023-05-25	8	39	2	0.05128205128205128	392	1	0.002551020408163265	1	0.002551020408163265	1	0.002551020408163265	1	0.002551020408163265	8	1.0	8	1.0	8	1.0	8	1.0
original_T095_A032	identical	5	acquisition_date	2023-05-30	8	40	30	0.75	440	24	0.05454545454545454	22	0.05	24	0.05454545454545454	22	0.05	5	0.625	5	0.625	5	0.625	3	0.375
original_T095_A032	identical	5	acquisition_date	2023-06-06	8	40	36	0.9	726	35	0.048209366391184574	33	0.045454545454545456	22	0.030303030303030304	21	0.028925619834710745	4	0.5	3	0.375	3	0.375	2	0.25
original_T095_A032	identical	5	acquisition_date	2023-06-15	2	10	7	0.7	154	56	0.36363636363636365	2	0.012987012987012988	3	0.01948051948051948	2	0.012987012987012988	2	1.0	2	1.0	2	1.0	1	0.5
original_T095_A032	identical	10	pooled_test	ALL	26	254	146	0.5748031496062992	1712	204	0.1191588785046729	111	0.06483644859813084	94	0.054906542056074766	85	0.04964953271028037	22	0.8461538461538461	22	0.8461538461538461	22	0.8461538461538461	18	0.6923076923076923
original_T095_A032	identical	10	acquisition_date	2023-05-25	8	74	4	0.05405405405405406	392	1	0.002551020408163265	1	0.002551020408163265	1	0.002551020408163265	1	0.002551020408163265	8	1.0	8	1.0	8	1.0	8	1.0
original_T095_A032	identical	10	acquisition_date	2023-05-30	8	80	52	0.65	440	42	0.09545454545454546	35	0.07954545454545454	41	0.09318181818181819	35	0.07954545454545454	7	0.875	7	0.875	7	0.875	6	0.75
original_T095_A032	identical	10	acquisition_date	2023-06-06	8	80	73	0.9125	726	102	0.14049586776859505	70	0.09641873278236915	46	0.06336088154269973	44	0.06060606060606061	5	0.625	5	0.625	5	0.625	3	0.375
original_T095_A032	identical	10	acquisition_date	2023-06-15	2	20	17	0.85	154	59	0.38311688311688313	5	0.032467532467532464	6	0.03896103896103896	5	0.032467532467532464	2	1.0	2	1.0	2	1.0	1	0.5
original_T095_A032	identical	20	pooled_test	ALL	26	471	276	0.5859872611464968	1712	321	0.1875	205	0.11974299065420561	182	0.10630841121495327	166	0.0969626168224299	22	0.8461538461538461	22	0.8461538461538461	22	0.8461538461538461	19	0.7307692307692307
original_T095_A032	identical	20	acquisition_date	2023-05-25	8	111	6	0.05405405405405406	392	2	0.00510204081632653	2	0.00510204081632653	2	0.00510204081632653	2	0.00510204081632653	8	1.0	8	1.0	8	1.0	8	1.0
original_T095_A032	identical	20	acquisition_date	2023-05-30	8	160	91	0.56875	440	72	0.16363636363636364	61	0.13863636363636364	69	0.15681818181818183	59	0.1340909090909091	7	0.875	7	0.875	7	0.875	6	0.75
original_T095_A032	identical	20	acquisition_date	2023-06-06	8	160	148	0.925	726	174	0.2396694214876033	135	0.1859504132231405	102	0.14049586776859505	98	0.1349862258953168	5	0.625	5	0.625	5	0.625	4	0.5
original_T095_A032	identical	20	acquisition_date	2023-06-15	2	40	31	0.775	154	73	0.474025974025974	7	0.045454545454545456	9	0.05844155844155844	7	0.045454545454545456	2	1.0	2	1.0	2	1.0	1	0.5
original_T095_A032	identical	50	pooled_test	ALL	26	770	441	0.5727272727272728	1712	494	0.2885514018691589	324	0.18925233644859812	305	0.17815420560747663	259	0.15128504672897197	24	0.9230769230769231	24	0.9230769230769231	24	0.9230769230769231	22	0.8461538461538461
original_T095_A032	identical	50	acquisition_date	2023-05-25	8	111	6	0.05405405405405406	392	2	0.00510204081632653	2	0.00510204081632653	2	0.00510204081632653	2	0.00510204081632653	8	1.0	8	1.0	8	1.0	8	1.0
original_T095_A032	identical	50	acquisition_date	2023-05-30	8	271	130	0.4797047970479705	440	104	0.23636363636363636	83	0.18863636363636363	99	0.225	81	0.18409090909090908	7	0.875	7	0.875	7	0.875	6	0.75
original_T095_A032	identical	50	acquisition_date	2023-06-06	8	344	270	0.7848837209302325	726	315	0.43388429752066116	232	0.31955922865013775	195	0.26859504132231404	169	0.2327823691460055	7	0.875	7	0.875	7	0.875	7	0.875
original_T095_A032	identical	50	acquisition_date	2023-06-15	2	44	35	0.7954545454545454	154	73	0.474025974025974	7	0.045454545454545456	9	0.05844155844155844	7	0.045454545454545456	2	1.0	2	1.0	2	1.0	1	0.5
commissioned_T070_A032	identical	1	pooled_test	ALL	26	26	10	0.38461538461538464	1712	111	0.06483644859813084	8	0.004672897196261682	13	0.007593457943925234	8	0.004672897196261682	13	0.5	13	0.5	13	0.5	9	0.34615384615384615
commissioned_T070_A032	identical	1	acquisition_date	2023-05-25	8	8	0	0.0	392	0	0.0	0	0.0	0	0.0	0	0.0	8	1.0	8	1.0	8	1.0	7	0.875
commissioned_T070_A032	identical	1	acquisition_date	2023-05-30	8	8	3	0.375	440	6	0.013636363636363636	3	0.006818181818181818	6	0.013636363636363636	3	0.006818181818181818	2	0.25	2	0.25	2	0.25	1	0.125
commissioned_T070_A032	identical	1	acquisition_date	2023-06-06	8	8	6	0.75	726	39	0.05371900826446281	5	0.006887052341597796	6	0.008264462809917356	5	0.006887052341597796	2	0.25	2	0.25	2	0.25	1	0.125
commissioned_T070_A032	identical	1	acquisition_date	2023-06-15	2	2	1	0.5	154	66	0.42857142857142855	0	0.0	1	0.006493506493506494	0	0.0	1	0.5	1	0.5	1	0.5	0	0.0
commissioned_T070_A032	identical	5	pooled_test	ALL	26	130	68	0.5230769230769231	1712	193	0.11273364485981309	75	0.04380841121495327	73	0.04264018691588785	57	0.03329439252336448	17	0.6538461538461539	17	0.6538461538461539	17	0.6538461538461539	11	0.4230769230769231
commissioned_T070_A032	identical	5	acquisition_date	2023-05-25	8	40	3	0.075	392	4	0.01020408163265306	2	0.00510204081632653	4	0.01020408163265306	2	0.00510204081632653	8	1.0	8	1.0	8	1.0	8	1.0
commissioned_T070_A032	identical	5	acquisition_date	2023-05-30	8	40	21	0.525	440	33	0.075	22	0.05	29	0.0659090909090909	19	0.04318181818181818	4	0.5	4	0.5	4	0.5	1	0.125
