variant	setting	official_split	acquisition_date	images	candidates	candidates_per_image	eligible_weed_candidates	eligible_crop_candidates	ambiguous_or_background_candidates
original_T095_A032	T095_A032	test	2023-05-25	8	111	13.875	6	70	35
original_T095_A032	T095_A032	test	2023-05-30	8	286	35.75	134	44	108
original_T095_A032	T095_A032	test	2023-06-06	8	361	45.125	278	31	52
original_T095_A032	T095_A032	test	2023-06-15	2	44	22.0	35	3	6
original_T095_A032	T095_A032	test	ALL	26	802	30.846153846153847	453	148	201
original_T095_A032	T095_A032	train	2023-05-25	32	579	18.09375	15	344	220
original_T095_A032	T095_A032	train	2023-05-30	32	1326	41.4375	326	321	679
original_T095_A032	T095_A032	train	2023-06-06	32	1580	49.375	1135	266	179
original_T095_A032	T095_A032	train	2023-06-15	8	344	43.0	200	83	61
original_T095_A032	T095_A032	train	ALL	104	3829	36.81730769230769	1676	1014	1139
original_T095_A032	T095_A032	val	2023-05-25	8	155	19.375	0	91	64
original_T095_A032	T095_A032	val	2023-05-30	8	361	45.125	110	88	163
original_T095_A032	T095_A032	val	2023-06-06	8	424	53.0	298	76	50
original_T095_A032	T095_A032	val	2023-06-15	2	142	71.0	76	36	30
original_T095_A032	T095_A032	val	ALL	26	1082	41.61538461538461	484	291	307
training_selected_commissioned	T070_A032	test	2023-05-25	8	822	102.75	15	71	736
training_selected_commissioned	T070_A032	test	2023-05-30	8	955	119.375	132	15	808
training_selected_commissioned	T070_A032	test	2023-06-06	8	517	64.625	279	23	215
training_selected_commissioned	T070_A032	test	2023-06-15	2	57	28.5	38	2	17
training_selected_commissioned	T070_A032	test	ALL	26	2351	90.42307692307692	464	111	1776
training_selected_commissioned	T070_A032	train	2023-05-25	32	2897	90.53125	30	256	2611
training_selected_commissioned	T070_A032	train	2023-05-30	32	4172	130.375	345	132	3695
training_selected_commissioned	T070_A032	train	2023-06-06	32	2339	73.09375	1278	212	849
training_selected_commissioned	T070_A032	train	2023-06-15	8	479	59.875	306	43	130
training_selected_commissioned	T070_A032	train	ALL	104	9887	95.0673076923077	1959	643	7285
training_selected_commissioned	T070_A032	val	2023-05-25	8	752	94.0	8	57	687
training_selected_commissioned	T070_A032	val	2023-05-30	8	958	119.75	86	27	845
training_selected_commissioned	T070_A032	val	2023-06-06	8	602	75.25	375	57	170
training_selected_commissioned	T070_A032	val	2023-06-15	2	124	62.0	60	14	50
training_selected_commissioned	T070_A032	val	ALL	26	2436	93.6923076923077	529	155	1752
