variant	setting	official_split	truth_role	minimum_instance_coverage	minimum_candidate_labeled_coverage	minimum_same_role_purity	truth_instances	recalled_instances	role_qualified_proposal_recall
original_T095_A032	T095_A032	train	crop	0.25	0.25	0.5	1461	1039	0.7111567419575633
original_T095_A032	T095_A032	train	weed	0.25	0.25	0.5	6509	1864	0.2863727147027193
original_T095_A032	T095_A032	train	crop	0.25	0.25	0.75	1461	951	0.6509240246406571
original_T095_A032	T095_A032	train	weed	0.25	0.25	0.75	6509	1796	0.2759256414195729
original_T095_A032	T095_A032	train	crop	0.25	0.25	0.9	1461	882	0.6036960985626283
original_T095_A032	T095_A032	train	weed	0.25	0.25	0.9	6509	1689	0.2594868643416807
original_T095_A032	T095_A032	train	crop	0.25	0.5	0.5	1461	989	0.676933607118412
original_T095_A032	T095_A032	train	weed	0.25	0.5	0.5	6509	1729	0.26563220156706097
original_T095_A032	T095_A032	train	crop	0.25	0.5	0.75	1461	902	0.6173853524982889
original_T095_A032	T095_A032	train	weed	0.25	0.5	0.75	6509	1661	0.2551851282839146
original_T095_A032	T095_A032	train	crop	0.25	0.5	0.9	1461	833	0.5701574264202601
original_T095_A032	T095_A032	train	weed	0.25	0.5	0.9	6509	1554	0.23874635120602242
original_T095_A032	T095_A032	train	crop	0.25	0.75	0.5	1461	585	0.4004106776180698
original_T095_A032	T095_A032	train	weed	0.25	0.75	0.5	6509	1199	0.18420648333077277
original_T095_A032	T095_A032	train	crop	0.25	0.75	0.75	1461	516	0.3531827515400411
original_T095_A032	T095_A032	train	weed	0.25	0.75	0.75	6509	1160	0.17821477953602705
original_T095_A032	T095_A032	train	crop	0.25	0.75	0.9	1461	478	0.3271731690622861
original_T095_A032	T095_A032	train	weed	0.25	0.75	0.9	6509	1134	0.1742203103395299
original_T095_A032	T095_A032	train	crop	0.5	0.25	0.5	1461	770	0.5270362765229295
original_T095_A032	T095_A032	train	weed	0.5	0.25	0.5	6509	1303	0.2001843601167614
original_T095_A032	T095_A032	train	crop	0.5	0.25	0.75	1461	692	0.4736481861738535
original_T095_A032	T095_A032	train	weed	0.5	0.25	0.75	6509	1249	0.19188815486249808
original_T095_A032	T095_A032	train	crop	0.5	0.25	0.9	1461	631	0.431895961670089
original_T095_A032	T095_A032	train	weed	0.5	0.25	0.9	6509	1153	0.1771393455215855
original_T095_A032	T095_A032	train	crop	0.5	0.5	0.5	1461	733	0.5017111567419575
original_T095_A032	T095_A032	train	weed	0.5	0.5	0.5	6509	1195	0.18359194960823474
original_T095_A032	T095_A032	train	crop	0.5	0.5	0.75	1461	656	0.4490075290896646
original_T095_A032	T095_A032	train	weed	0.5	0.5	0.75	6509	1141	0.1752957443539714
original_T095_A032	T095_A032	train	crop	0.5	0.5	0.9	1461	595	0.4072553045859001
original_T095_A032	T095_A032	train	weed	0.5	0.5	0.9	6509	1045	0.16054693501305883
original_T095_A032	T095_A032	train	crop	0.5	0.75	0.5	1461	410	0.2806297056810404
original_T095_A032	T095_A032	train	weed	0.5	0.75	0.5	6509	794	0.12198494392379781
original_T095_A032	T095_A032	train	crop	0.5	0.75	0.75	1461	351	0.2402464065708419
original_T095_A032	T095_A032	train	weed	0.5	0.75	0.75	6509	765	0.11752957443539715
original_T095_A032	T095_A032	train	crop	0.5	0.75	0.9	1461	319	0.21834360027378508
original_T095_A032	T095_A032	train	weed	0.5	0.75	0.9	6509	743	0.11414963896143801
original_T095_A032	T095_A032	train	crop	0.75	0.25	0.5	1461	448	0.3066392881587953
original_T095_A032	T095_A032	train	weed	0.75	0.25	0.5	6509	573	0.08803195575357198
original_T095_A032	T095_A032	train	crop	0.75	0.25	0.75	1461	394	0.26967830253251196
original_T095_A032	T095_A032	train	weed	0.75	0.25	0.75	6509	532	0.08173298509755723
original_T095_A032	T095_A032	train	crop	0.75	0.25	0.9	1461	353	0.24161533196440793
original_T095_A032	T095_A032	train	weed	0.75	0.25	0.9	6509	457	0.07021047779996928
original_T095_A032	T095_A032	train	crop	0.75	0.5	0.5	1461	426	0.2915811088295688
original_T095_A032	T095_A032	train	weed	0.75	0.5	0.5	6509	506	0.07773851590106007
original_T095_A032	T095_A032	train	crop	0.75	0.5	0.75	1461	373	0.25530458590006844
original_T095_A032	T095_A032	train	weed	0.75	0.5	0.75	6509	465	0.07143954524504532
original_T095_A032	T095_A032	train	crop	0.75	0.5	0.9	1461	332	0.2272416153319644
original_T095_A032	T095_A032	train	weed	0.75	0.5	0.9	6509	390	0.05991703794745737
