variant	setting	official_split	acquisition_date	truth_role	truth_instances	spatial_recalled_instances	spatial_proposal_recall	role_qualified_recalled_instances	role_qualified_proposal_recall	proposal_ar_iou_0.25	proposal_ar_iou_0.50	proposal_ar_iou_0.75
original_T095_A032	T095_A032	train	2023-05-25	crop	556	182	0.3273381294964029	163	0.2931654676258993	0.5305755395683454	0.20863309352517986	0.0017985611510791368
original_T095_A032	T095_A032	train	2023-05-25	weed	1011	21	0.020771513353115726	13	0.012858555885262116	0.018793273986152326	0.006923837784371909	0.0
original_T095_A032	T095_A032	train	2023-05-30	crop	359	214	0.596100278551532	179	0.4986072423398329	0.7214484679665738	0.3064066852367688	0.002785515320334262
original_T095_A032	T095_A032	train	2023-05-30	weed	1565	351	0.2242811501597444	228	0.14568690095846645	0.22939297124600638	0.09073482428115016	0.0044728434504792336
original_T095_A032	T095_A032	train	2023-06-06	crop	427	356	0.8337236533957846	240	0.5620608899297423	0.765807962529274	0.41920374707259955	0.01873536299765808
original_T095_A032	T095_A032	train	2023-06-06	weed	3145	1002	0.31860095389507154	768	0.24419713831478537	0.31573926868044516	0.13736089030206677	0.011128775834658187
original_T095_A032	T095_A032	train	2023-06-15	crop	119	51	0.42857142857142855	13	0.1092436974789916	0.29411764705882354	0.05042016806722689	0.0
original_T095_A032	T095_A032	train	2023-06-15	weed	788	166	0.21065989847715735	36	0.04568527918781726	0.048223350253807105	0.01015228426395939	0.0012690355329949238
original_T095_A032	T095_A032	train	ALL	crop	1461	803	0.5496235455167693	595	0.4072553045859001	0.6269678302532512	0.2813141683778234	0.006844626967830253
original_T095_A032	T095_A032	train	ALL	weed	6509	1540	0.23659548317713935	1045	0.16054693501305883	0.21646950376401905	0.09049009064372407	0.006606237517283761
original_T095_A032	T095_A032	val	2023-05-25	crop	143	51	0.35664335664335667	41	0.2867132867132867	0.5454545454545454	0.16783216783216784	0.0
original_T095_A032	T095_A032	val	2023-05-25	weed	292	8	0.0273972602739726	0	0.0	0.0136986301369863	0.0	0.0
original_T095_A032	T095_A032	val	2023-05-30	crop	106	72	0.6792452830188679	54	0.5094339622641509	0.7264150943396226	0.2830188679245283	0.0
original_T095_A032	T095_A032	val	2023-05-30	weed	422	129	0.3056872037914692	86	0.2037914691943128	0.28672985781990523	0.11611374407582939	0.004739336492890996
original_T095_A032	T095_A032	val	2023-06-06	crop	138	105	0.7608695652173914	61	0.4420289855072464	0.644927536231884	0.2753623188405797	0.014492753623188406
original_T095_A032	T095_A032	val	2023-06-06	weed	855	266	0.3111111111111111	189	0.22105263157894736	0.3169590643274854	0.13333333333333333	0.0152046783625731
original_T095_A032	T095_A032	val	2023-06-15	crop	64	9	0.140625	3	0.046875	0.203125	0.0	0.0
original_T095_A032	T095_A032	val	2023-06-15	weed	239	10	0.04184100418410042	1	0.0041841004184100415	0.029288702928870293	0.0	0.0
original_T095_A032	T095_A032	val	ALL	crop	451	237	0.5254988913525499	159	0.352549889135255	0.5698447893569845	0.2039911308203991	0.004434589800443459
original_T095_A032	T095_A032	val	ALL	weed	1808	413	0.22842920353982302	276	0.15265486725663716	0.22289823008849557	0.09015486725663717	0.008296460176991151
original_T095_A032	T095_A032	test	2023-05-25	crop	122	36	0.29508196721311475	31	0.2540983606557377	0.5	0.1557377049180328	0.0
original_T095_A032	T095_A032	test	2023-05-25	weed	392	2	0.00510204081632653	2	0.00510204081632653	0.015306122448979591	0.002551020408163265	0.0
original_T095_A032	T095_A032	test	2023-05-30	crop	55	47	0.8545454545454545	39	0.7090909090909091	0.8363636363636363	0.509090909090909	0.0
original_T095_A032	T095_A032	test	2023-05-30	weed	440	106	0.2409090909090909	84	0.19090909090909092	0.2909090909090909	0.12272727272727273	0.00909090909090909
original_T095_A032	T095_A032	test	2023-06-06	crop	68	62	0.9117647058823529	25	0.36764705882352944	0.7058823529411765	0.5147058823529411	0.04411764705882353
original_T095_A032	T095_A032	test	2023-06-06	weed	726	328	0.45179063360881544	237	0.32644628099173556	0.349862258953168	0.15289256198347106	0.015151515151515152
original_T095_A032	T095_A032	test	2023-06-15	crop	11	10	0.9090909090909091	1	0.09090909090909091	0.18181818181818182	0.09090909090909091	0.0
original_T095_A032	T095_A032	test	2023-06-15	weed	154	73	0.474025974025974	7	0.045454545454545456	0.08441558441558442	0.045454545454545456	0.006493506493506494
original_T095_A032	T095_A032	test	ALL	crop	256	155	0.60546875	96	0.375	0.61328125	0.32421875	0.01171875
original_T095_A032	T095_A032	test	ALL	weed	1712	509	0.2973130841121495	330	0.1927570093457944	0.23422897196261683	0.10105140186915888	0.009345794392523364
training_selected_commissioned	T070_A032	train	2023-05-25	crop	556	411	0.7392086330935251	191	0.3435251798561151	0.710431654676259	0.2517985611510791	0.0035971223021582736
training_selected_commissioned	T070_A032	train	2023-05-25	weed	1011	137	0.13550939663699307	25	0.024727992087042534	0.0722057368941642	0.018793273986152326	0.0
training_selected_commissioned	T070_A032	train	2023-05-30	crop	359	318	0.8857938718662952	105	0.2924791086350975	0.6323119777158774	0.20612813370473537	0.011142061281337047
training_selected_commissioned	T070_A032	train	2023-05-30	weed	1565	885	0.5654952076677316	321	0.20511182108626197	0.34952076677316296	0.13099041533546327	0.0012779552715654952
training_selected_commissioned	T070_A032	train	2023-06-06	crop	427	409	0.9578454332552693	225	0.5269320843091335	0.6885245901639344	0.40046838407494145	0.02107728337236534
training_selected_commissioned	T070_A032	train	2023-06-06	weed	3145	2069	0.6578696343402226	1434	0.4559618441971383	0.4518282988871224	0.2394276629570747	0.03529411764705882
training_selected_commissioned	T070_A032	train	2023-06-15	crop	119	87	0.7310924369747899	13	0.1092436974789916	0.25210084033613445	0.06722689075630252	0.008403361344537815
training_selected_commissioned	T070_A032	train	2023-06-15	weed	788	340	0.43147208121827413	79	0.10025380710659898	0.09644670050761421	0.027918781725888325	0.005076142131979695
training_selected_commissioned	T070_A032	train	ALL	crop	1461	1225	0.838466803559206	534	0.3655030800821355	0.6475017111567419	0.26899383983572894	0.010951403148528405
training_selected_commissioned	T070_A032	train	ALL	weed	6509	3431	0.5271163005069903	1859	0.2856045475495468	0.32524197265324933	0.15347979720387156	0.01797511138423721
training_selected_commissioned	T070_A032	val	2023-05-25	crop	143	123	0.8601398601398601	47	0.32867132867132864	0.6783216783216783	0.1958041958041958	0.0
training_selected_commissioned	T070_A032	val	2023-05-25	weed	292	48	0.1643835616438356	7	0.023972602739726026	0.0547945205479452	0.0136986301369863	0.0
training_selected_commissioned	T070_A032	val	2023-05-30	crop	106	102	0.9622641509433962	24	0.22641509433962265	0.6037735849056604	0.16981132075471697	0.0
training_selected_commissioned	T070_A032	val	2023-05-30	weed	422	262	0.6208530805687204	84	0.1990521327014218	0.3341232227488152	0.13270142180094788	0.002369668246445498
training_selected_commissioned	T070_A032	val	2023-06-06	crop	138	119	0.8623188405797102	59	0.427536231884058	0.6086956521739131	0.2826086956521739	0.007246376811594203
training_selected_commissioned	T070_A032	val	2023-06-06	weed	855	582	0.6807017543859649	430	0.5029239766081871	0.48771929824561405	0.295906432748538	0.03859649122807018
training_selected_commissioned	T070_A032	val	2023-06-15	crop	64	37	0.578125	0	0.0	0.125	0.0	0.0
training_selected_commissioned	T070_A032	val	2023-06-15	weed	239	100	0.41841004184100417	5	0.02092050209205021	0.04184100418410042	0.0041841004184100415	0.0
training_selected_commissioned	T070_A032	val	ALL	crop	451	381	0.844789356984479	130	0.28824833702882485	0.5609756097560976	0.188470066518847	0.0022172949002217295
training_selected_commissioned	T070_A032	val	ALL	weed	1808	992	0.5486725663716814	526	0.290929203539823	0.3230088495575221	0.1736725663716814	0.018805309734513276
training_selected_commissioned	T070_A032	test	2023-05-25	crop	122	86	0.7049180327868853	47	0.38524590163934425	0.7295081967213115	0.2459016393442623	0.0
training_selected_commissioned	T070_A032	test	2023-05-25	weed	392	51	0.13010204081632654	13	0.03316326530612245	0.09183673469387756	0.02295918367346939	0.002551020408163265
training_selected_commissioned	T070_A032	test	2023-05-30	crop	55	54	0.9818181818181818	13	0.23636363636363636	0.7636363636363637	0.12727272727272726	0.0
training_selected_commissioned	T070_A032	test	2023-05-30	weed	440	263	0.5977272727272728	121	0.275	0.45227272727272727	0.14545454545454545	0.006818181818181818
training_selected_commissioned	T070_A032	test	2023-06-06	crop	68	65	0.9558823529411765	22	0.3235294117647059	0.6617647058823529	0.3235294117647059	0.058823529411764705
