variant	setting	official_split	instance_coverage_threshold	truth_instances	split_instances	candidates_with_two_or_more_instances	maximum_candidates_per_instance	maximum_instances_per_candidate
original_T095_A032	T095_A032	train	0.1	7970	142	466	3	86
original_T095_A032	T095_A032	train	0.25	7970	23	414	2	86
original_T095_A032	T095_A032	train	0.5	7970	0	300	1	79
original_T095_A032	T095_A032	val	0.1	2259	57	152	3	13
original_T095_A032	T095_A032	val	0.25	2259	11	123	2	13
original_T095_A032	T095_A032	val	0.5	2259	0	93	1	12
original_T095_A032	T095_A032	test	0.1	1968	25	117	2	68
original_T095_A032	T095_A032	test	0.25	1968	6	103	2	65
original_T095_A032	T095_A032	test	0.5	1968	0	80	1	61
training_selected_commissioned	T070_A032	train	0.1	7970	100	764	3	128
training_selected_commissioned	T070_A032	train	0.25	7970	18	719	2	128
training_selected_commissioned	T070_A032	train	0.5	7970	0	641	1	123
training_selected_commissioned	T070_A032	val	0.1	2259	24	222	3	134
training_selected_commissioned	T070_A032	val	0.25	2259	2	214	2	128
training_selected_commissioned	T070_A032	val	0.5	2259	0	191	1	108
training_selected_commissioned	T070_A032	test	0.1	1968	24	186	2	75
training_selected_commissioned	T070_A032	test	0.25	1968	8	183	2	75
training_selected_commissioned	T070_A032	test	0.5	1968	0	170	1	73
