setting	threshold	minimum_area_pixels	training_images	training_candidates	training_candidates_per_image	training_weed_instances	training_spatial_weed_proposal_recall	training_role_qualified_weed_proposal_recall	feasible_candidate_burden
T030_A008	0.3	8	104	29260	281.34615384615387	6509	0.7134736518666461	0.2405899523736365	0
T030_A032	0.3	32	104	14772	142.03846153846155	6509	0.6999539099708096	0.22968197879858657	0
T050_A008	0.5	8	104	26987	259.49038461538464	6509	0.6325088339222615	0.28222461207558763	0
T050_A032	0.5	32	104	12846	123.51923076923077	6509	0.6189890920264249	0.2707021047779997	0
T070_A008	0.7	8	104	21578	207.48076923076923	6509	0.5415578429866339	0.29789522200030727	0
T070_A032	0.7	32	104	9887	95.0673076923077	6509	0.5271163005069903	0.2856045475495468	1
T080_A008	0.8	8	104	17537	168.625	6509	0.48056537102473496	0.2958979874020587	0
T080_A032	0.8	32	104	8007	76.99038461538461	6509	0.467199262559533	0.2834536795206637	1
T090_A008	0.9	8	104	12012	115.5	6509	0.3702565678291596	0.24212628667998157	0
T090_A032	0.9	32	104	5447	52.375	6509	0.3587340605315717	0.23167921339683514	1
T095_A008	0.95	8	104	7874	75.71153846153847	6509	0.2451989552926717	0.16853587340605317	1
T095_A032	0.95	32	104	3830	36.82692307692308	6509	0.23659548317713935	0.16054693501305883	1
