official_split	location_id	acquisition_date	sample_id	anchor_sample_id	cosine_similarity	row_best_nonassigned_similarity	assignment_margin	link_method
train	train_embedding_linked_location_00	2023-05-25	weedsgalore_official_dataset:2023-05-25:2023-05-25_0119	weedsgalore_official_dataset:2023-05-25:2023-05-25_0119	1.0			anchor
train	train_embedding_linked_location_01	2023-05-25	weedsgalore_official_dataset:2023-05-25:2023-05-25_0147	weedsgalore_official_dataset:2023-05-25:2023-05-25_0147	1.0			anchor
train	train_embedding_linked_location_02	2023-05-25	weedsgalore_official_dataset:2023-05-25:2023-05-25_0150	weedsgalore_official_dataset:2023-05-25:2023-05-25_0150	1.0			anchor
train	train_embedding_linked_location_03	2023-05-25	weedsgalore_official_dataset:2023-05-25:2023-05-25_0158	weedsgalore_official_dataset:2023-05-25:2023-05-25_0158	1.0			anchor
train	train_embedding_linked_location_04	2023-05-25	weedsgalore_official_dataset:2023-05-25:2023-05-25_0189	weedsgalore_official_dataset:2023-05-25:2023-05-25_0189	1.0			anchor
train	train_embedding_linked_location_05	2023-05-25	weedsgalore_official_dataset:2023-05-25:2023-05-25_0219	weedsgalore_official_dataset:2023-05-25:2023-05-25_0219	1.0			anchor
train	train_embedding_linked_location_06	2023-05-25	weedsgalore_official_dataset:2023-05-25:2023-05-25_0222	weedsgalore_official_dataset:2023-05-25:2023-05-25_0222	1.0			anchor
train	train_embedding_linked_location_07	2023-05-25	weedsgalore_official_dataset:2023-05-25:2023-05-25_0228	weedsgalore_official_dataset:2023-05-25:2023-05-25_0228	1.0			anchor
train	train_embedding_linked_location_08	2023-05-25	weedsgalore_official_dataset:2023-05-25:2023-05-25_0363	weedsgalore_official_dataset:2023-05-25:2023-05-25_0363	1.0			anchor
train	train_embedding_linked_location_09	2023-05-25	weedsgalore_official_dataset:2023-05-25:2023-05-25_0379	weedsgalore_official_dataset:2023-05-25:2023-05-25_0379	1.0			anchor
train	train_embedding_linked_location_10	2023-05-25	weedsgalore_official_dataset:2023-05-25:2023-05-25_0383	weedsgalore_official_dataset:2023-05-25:2023-05-25_0383	1.0			anchor
train	train_embedding_linked_location_11	2023-05-25	weedsgalore_official_dataset:2023-05-25:2023-05-25_0416	weedsgalore_official_dataset:2023-05-25:2023-05-25_0416	1.0			anchor
