policy	date	accepted_candidates	share_of_policy_budget
bounded_global_min5_max50_N520	2023-05-25	51	0.09807692307692308
bounded_global_min5_max50_N520	2023-05-30	149	0.2865384615384615
bounded_global_min5_max50_N520	2023-06-06	285	0.5480769230769231
bounded_global_min5_max50_N520	2023-06-15	35	0.0673076923076923
fixed_K20_per_image	2023-05-25	160	0.3076923076923077
fixed_K20_per_image	2023-05-30	160	0.3076923076923077
fixed_K20_per_image	2023-06-06	160	0.3076923076923077
fixed_K20_per_image	2023-06-15	40	0.07692307692307693
global_top_N520	2023-05-25	38	0.07307692307692308
global_top_N520	2023-05-30	153	0.29423076923076924
global_top_N520	2023-06-06	293	0.5634615384615385
global_top_N520	2023-06-15	36	0.06923076923076923
validation_score_threshold_transferred	2023-05-25	23	0.0539906103286385
validation_score_threshold_transferred	2023-05-30	117	0.2746478873239437
validation_score_threshold_transferred	2023-06-06	255	0.5985915492957746
validation_score_threshold_transferred	2023-06-15	31	0.07276995305164319
