policy	file	date	aggregation	stratum	images	accepted_candidates	weed_candidates	all_candidate_queue_precision	weed_truth_instances	spatial_recalled_weed_instances	queued_spatial_weed_instance_recall	role_qualified_recalled_weed_instances	queued_role_qualified_weed_instance_recall	one_to_one_spatial_matches	one_to_one_spatial_recall	one_to_one_role_qualified_matches	one_to_one_role_qualified_recall	crop_overlap_scene_numerator_0.00	crop_overlap_scene_frequency_0.00	crop_overlap_scene_numerator_0.01	crop_overlap_scene_frequency_0.01	crop_overlap_scene_numerator_0.10	crop_overlap_scene_frequency_0.10	crop_overlap_scene_numerator_0.50	crop_overlap_scene_frequency_0.50
fixed_K20_per_image	weedsgalore_official_dataset:2023-05-25:2023-05-25_0109	2023-05-25	tile	weedsgalore_official_dataset:2023-05-25:2023-05-25_0109	1	20	0	0.0	17	1	0.0588235294117647	0	0.0	1	0.0588235294117647	0	0.0	1	1.0	1	1.0	1	1.0	1	1.0
fixed_K20_per_image	weedsgalore_official_dataset:2023-05-25:2023-05-25_0114	2023-05-25	tile	weedsgalore_official_dataset:2023-05-25:2023-05-25_0114	1	20	2	0.1	17	3	0.1764705882352941	2	0.1176470588235294	3	0.1764705882352941	2	0.1176470588235294	1	1.0	1	1.0	1	1.0	1	1.0
fixed_K20_per_image	weedsgalore_official_dataset:2023-05-25:2023-05-25_0170	2023-05-25	tile	weedsgalore_official_dataset:2023-05-25:2023-05-25_0170	1	20	1	0.05	16	2	0.125	1	0.0625	2	0.125	1	0.0625	1	1.0	1	1.0	1	1.0	1	1.0
fixed_K20_per_image	weedsgalore_official_dataset:2023-05-25:2023-05-25_0183	2023-05-25	tile	weedsgalore_official_dataset:2023-05-25:2023-05-25_0183	1	20	0	0.0	9	1	0.1111111111111111	0	0.0	1	0.1111111111111111	0	0.0	1	1.0	1	1.0	1	1.0	0	0.0
fixed_K20_per_image	weedsgalore_official_dataset:2023-05-25:2023-05-25_0681	2023-05-25	tile	weedsgalore_official_dataset:2023-05-25:2023-05-25_0681	1	20	3	0.15	69	2	0.0289855072463768	2	0.0289855072463768	2	0.0289855072463768	2	0.0289855072463768	1	1.0	1	1.0	1	1.0	1	1.0
fixed_K20_per_image	weedsgalore_official_dataset:2023-05-25:2023-05-25_0685	2023-05-25	tile	weedsgalore_official_dataset:2023-05-25:2023-05-25_0685	1	20	2	0.1	114	5	0.043859649122807	2	0.0175438596491228	5	0.043859649122807	2	0.0175438596491228	1	1.0	1	1.0	1	1.0	1	1.0
fixed_K20_per_image	weedsgalore_official_dataset:2023-05-25:2023-05-25_0750	2023-05-25	tile	weedsgalore_official_dataset:2023-05-25:2023-05-25_0750	1	20	1	0.05	74	3	0.0405405405405405	1	0.0135135135135135	3	0.0405405405405405	1	0.0135135135135135	1	1.0	1	1.0	1	1.0	1	1.0
fixed_K20_per_image	weedsgalore_official_dataset:2023-05-25:2023-05-25_0786	2023-05-25	tile	weedsgalore_official_dataset:2023-05-25:2023-05-25_0786	1	20	3	0.15	76	7	0.0921052631578947	2	0.0263157894736842	6	0.0789473684210526	2	0.0263157894736842	1	1.0	1	1.0	1	1.0	1	1.0
fixed_K20_per_image	weedsgalore_official_dataset:2023-05-30:2023-05-30_0039	2023-05-30	tile	weedsgalore_official_dataset:2023-05-30:2023-05-30_0039	1	20	0	0.0	43	6	0.1395348837209302	0	0.0	3	0.0697674418604651	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0
fixed_K20_per_image	weedsgalore_official_dataset:2023-05-30:2023-05-30_0044	2023-05-30	tile	weedsgalore_official_dataset:2023-05-30:2023-05-30_0044	1	20	11	0.55	46	15	0.3260869565217391	9	0.1956521739130435	15	0.3260869565217391	9	0.1956521739130435	0	0.0	0	0.0	0	0.0	0	0.0
fixed_K20_per_image	weedsgalore_official_dataset:2023-05-30:2023-05-30_0099	2023-05-30	tile	weedsgalore_official_dataset:2023-05-30:2023-05-30_0099	1	20	10	0.5	52	12	0.2307692307692307	6	0.1153846153846153	12	0.2307692307692307	6	0.1153846153846153	0	0.0	0	0.0	0	0.0	0	0.0
fixed_K20_per_image	weedsgalore_official_dataset:2023-05-30:2023-05-30_0114	2023-05-30	tile	weedsgalore_official_dataset:2023-05-30:2023-05-30_0114	1	20	6	0.3	35	9	0.2571428571428571	4	0.1142857142857142	8	0.2285714285714285	4	0.1142857142857142	1	1.0	1	1.0	1	1.0	0	0.0
fixed_K20_per_image	weedsgalore_official_dataset:2023-05-30:2023-05-30_0649	2023-05-30	tile	weedsgalore_official_dataset:2023-05-30:2023-05-30_0649	1	20	16	0.8	93	27	0.2903225806451613	21	0.2258064516129032	18	0.1935483870967742	14	0.1505376344086021	0	0.0	0	0.0	0	0.0	0	0.0
fixed_K20_per_image	weedsgalore_official_dataset:2023-05-30:2023-05-30_0652	2023-05-30	tile	weedsgalore_official_dataset:2023-05-30:2023-05-30_0652	1	20	18	0.9	55	17	0.3090909090909091	15	0.2727272727272727	15	0.2727272727272727	13	0.2363636363636363	0	0.0	0	0.0	0	0.0	0	0.0
fixed_K20_per_image	weedsgalore_official_dataset:2023-05-30:2023-05-30_0720	2023-05-30	tile	weedsgalore_official_dataset:2023-05-30:2023-05-30_0720	1	20	15	0.75	49	18	0.3673469387755102	13	0.2653061224489796	15	0.3061224489795918	10	0.2040816326530612	0	0.0	0	0.0	0	0.0	0	0.0
fixed_K20_per_image	weedsgalore_official_dataset:2023-05-30:2023-05-30_0750	2023-05-30	tile	weedsgalore_official_dataset:2023-05-30:2023-05-30_0750	1	20	15	0.75	67	20	0.2985074626865671	18	0.2686567164179104	17	0.2537313432835821	15	0.2238805970149253	1	1.0	1	1.0	1	1.0	1	1.0
fixed_K20_per_image	weedsgalore_official_dataset:2023-06-06:2023-06-06_0161	2023-06-06	tile	weedsgalore_official_dataset:2023-06-06:2023-06-06_0161	1	20	18	0.9	101	25	0.2475247524752475	23	0.2277227722772277	16	0.1584158415841584	15	0.1485148514851485	1	1.0	1	1.0	1	1.0	0	0.0
fixed_K20_per_image	weedsgalore_official_dataset:2023-06-06:2023-06-06_0166	2023-06-06	tile	weedsgalore_official_dataset:2023-06-06:2023-06-06_0166	1	20	15	0.75	76	32	0.4210526315789473	28	0.3684210526315789	19	0.25	15	0.1973684210526315	0	0.0	0	0.0	0	0.0	0	0.0
fixed_K20_per_image	weedsgalore_official_dataset:2023-06-06:2023-06-06_0176	2023-06-06	tile	weedsgalore_official_dataset:2023-06-06:2023-06-06_0176	1	20	18	0.9	150	27	0.18	23	0.1533333333333333	17	0.1133333333333333	15	0.1	0	0.0	0	0.0	0	0.0	0	0.0
fixed_K20_per_image	weedsgalore_official_dataset:2023-06-06:2023-06-06_0231	2023-06-06	tile	weedsgalore_official_dataset:2023-06-06:2023-06-06_0231	1	20	16	0.8	65	24	0.3692307692307692	21	0.3230769230769231	19	0.2923076923076923	16	0.2461538461538461	0	0.0	0	0.0	0	0.0	0	0.0
fixed_K20_per_image	weedsgalore_official_dataset:2023-06-06:2023-06-06_0667	2023-06-06	tile	weedsgalore_official_dataset:2023-06-06:2023-06-06_0667	1	20	20	1.0	95	25	0.2631578947368421	25	0.2631578947368421	20	0.2105263157894736	20	0.2105263157894736	0	0.0	0	0.0	0	0.0	0	0.0
fixed_K20_per_image	weedsgalore_official_dataset:2023-06-06:2023-06-06_0670	2023-06-06	tile	weedsgalore_official_dataset:2023-06-06:2023-06-06_0670	1	20	20	1.0	96	39	0.40625	39	0.40625	20	0.2083333333333333	20	0.2083333333333333	1	1.0	1	1.0	0	0.0	0	0.0
fixed_K20_per_image	weedsgalore_official_dataset:2023-06-06:2023-06-06_0736	2023-06-06	tile	weedsgalore_official_dataset:2023-06-06:2023-06-06_0736	1	20	19	0.95	69	35	0.5072463768115942	34	0.4927536231884058	17	0.2463768115942029	16	0.2318840579710145	1	1.0	1	1.0	1	1.0	0	0.0
fixed_K20_per_image	weedsgalore_official_dataset:2023-06-06:2023-06-06_0770	2023-06-06	tile	weedsgalore_official_dataset:2023-06-06:2023-06-06_0770	1	20	20	1.0	74	22	0.2972972972972973	22	0.2972972972972973	18	0.2432432432432432	18	0.2432432432432432	0	0.0	0	0.0	0	0.0	0	0.0
fixed_K20_per_image	weedsgalore_official_dataset:2023-06-15:2023-06-15_0169	2023-06-15	tile	weedsgalore_official_dataset:2023-06-15:2023-06-15_0169	1	20	20	1.0	80	9	0.1125	9	0.1125	7	0.0875	7	0.0875	0	0.0	0	0.0	0	0.0	0	0.0
fixed_K20_per_image	weedsgalore_official_dataset:2023-06-15:2023-06-15_0735	2023-06-15	tile	weedsgalore_official_dataset:2023-06-15:2023-06-15_0735	1	20	6	0.3	74	4	0.054054054054054	4	0.054054054054054	4	0.054054054054054	4	0.054054054054054	0	0.0	0	0.0	0	0.0	0	0.0
global_top_N520	weedsgalore_official_dataset:2023-05-25:2023-05-25_0109	2023-05-25	tile	weedsgalore_official_dataset:2023-05-25:2023-05-25_0109	1	2	0	0.0	17	1	0.0588235294117647	0	0.0	1	0.0588235294117647	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0
global_top_N520	weedsgalore_official_dataset:2023-05-25:2023-05-25_0114	2023-05-25	tile	weedsgalore_official_dataset:2023-05-25:2023-05-25_0114	1	0	0	0.0	17	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0
global_top_N520	weedsgalore_official_dataset:2023-05-25:2023-05-25_0170	2023-05-25	tile	weedsgalore_official_dataset:2023-05-25:2023-05-25_0170	1	2	0	0.0	16	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0
global_top_N520	weedsgalore_official_dataset:2023-05-25:2023-05-25_0183	2023-05-25	tile	weedsgalore_official_dataset:2023-05-25:2023-05-25_0183	1	1	0	0.0	9	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0
global_top_N520	weedsgalore_official_dataset:2023-05-25:2023-05-25_0681	2023-05-25	tile	weedsgalore_official_dataset:2023-05-25:2023-05-25_0681	1	7	3	0.4285714285714285	69	2	0.0289855072463768	2	0.0289855072463768	2	0.0289855072463768	2	0.0289855072463768	1	1.0	1	1.0	1	1.0	1	1.0
global_top_N520	weedsgalore_official_dataset:2023-05-25:2023-05-25_0685	2023-05-25	tile	weedsgalore_official_dataset:2023-05-25:2023-05-25_0685	1	16	1	0.0625	114	3	0.0263157894736842	1	0.0087719298245614	3	0.0263157894736842	1	0.0087719298245614	1	1.0	1	1.0	1	1.0	1	1.0
global_top_N520	weedsgalore_official_dataset:2023-05-25:2023-05-25_0750	2023-05-25	tile	weedsgalore_official_dataset:2023-05-25:2023-05-25_0750	1	5	1	0.2	74	2	0.027027027027027	1	0.0135135135135135	2	0.027027027027027	1	0.0135135135135135	1	1.0	1	1.0	1	1.0	0	0.0
global_top_N520	weedsgalore_official_dataset:2023-05-25:2023-05-25_0786	2023-05-25	tile	weedsgalore_official_dataset:2023-05-25:2023-05-25_0786	1	5	2	0.4	76	5	0.0657894736842105	2	0.0263157894736842	5	0.0657894736842105	2	0.0263157894736842	1	1.0	1	1.0	1	1.0	0	0.0
global_top_N520	weedsgalore_official_dataset:2023-05-30:2023-05-30_0039	2023-05-30	tile	weedsgalore_official_dataset:2023-05-30:2023-05-30_0039	1	1	0	0.0	43	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0
global_top_N520	weedsgalore_official_dataset:2023-05-30:2023-05-30_0044	2023-05-30	tile	weedsgalore_official_dataset:2023-05-30:2023-05-30_0044	1	14	8	0.5714285714285714	46	10	0.217391304347826	6	0.1304347826086956	10	0.217391304347826	6	0.1304347826086956	0	0.0	0	0.0	0	0.0	0	0.0
global_top_N520	weedsgalore_official_dataset:2023-05-30:2023-05-30_0099	2023-05-30	tile	weedsgalore_official_dataset:2023-05-30:2023-05-30_0099	1	20	10	0.5	52	12	0.2307692307692307	6	0.1153846153846153	12	0.2307692307692307	6	0.1153846153846153	0	0.0	0	0.0	0	0.0	0	0.0
global_top_N520	weedsgalore_official_dataset:2023-05-30:2023-05-30_0114	2023-05-30	tile	weedsgalore_official_dataset:2023-05-30:2023-05-30_0114	1	12	4	0.3333333333333333	35	8	0.2285714285714285	3	0.0857142857142857	7	0.2	3	0.0857142857142857	1	1.0	1	1.0	1	1.0	0	0.0
global_top_N520	weedsgalore_official_dataset:2023-05-30:2023-05-30_0649	2023-05-30	tile	weedsgalore_official_dataset:2023-05-30:2023-05-30_0649	1	40	29	0.725	93	49	0.5268817204301075	37	0.3978494623655914	34	0.3655913978494624	25	0.2688172043010752	1	1.0	1	1.0	1	1.0	1	1.0
global_top_N520	weedsgalore_official_dataset:2023-05-30:2023-05-30_0652	2023-05-30	tile	weedsgalore_official_dataset:2023-05-30:2023-05-30_0652	1	25	22	0.88	55	18	0.3272727272727272	15	0.2727272727272727	16	0.2909090909090909	13	0.2363636363636363	0	0.0	0	0.0	0	0.0	0	0.0
global_top_N520	weedsgalore_official_dataset:2023-05-30:2023-05-30_0720	2023-05-30	tile	weedsgalore_official_dataset:2023-05-30:2023-05-30_0720	1	23	15	0.6521739130434783	49	19	0.3877551020408163	13	0.2653061224489796	16	0.3265306122448979	10	0.2040816326530612	0	0.0	0	0.0	0	0.0	0	0.0
global_top_N520	weedsgalore_official_dataset:2023-05-30:2023-05-30_0750	2023-05-30	tile	weedsgalore_official_dataset:2023-05-30:2023-05-30_0750	1	18	15	0.8333333333333334	67	20	0.2985074626865671	18	0.2686567164179104	17	0.2537313432835821	15	0.2238805970149253	1	1.0	1	1.0	1	1.0	1	1.0
global_top_N520	weedsgalore_official_dataset:2023-06-06:2023-06-06_0161	2023-06-06	tile	weedsgalore_official_dataset:2023-06-06:2023-06-06_0161	1	43	37	0.8604651162790697	101	48	0.4752475247524752	43	0.4257425742574257	36	0.3564356435643564	32	0.3168316831683168	1	1.0	1	1.0	1	1.0	0	0.0
global_top_N520	weedsgalore_official_dataset:2023-06-06:2023-06-06_0166	2023-06-06	tile	weedsgalore_official_dataset:2023-06-06:2023-06-06_0166	1	30	21	0.7	76	40	0.5263157894736842	32	0.4210526315789473	27	0.3552631578947368	19	0.25	0	0.0	0	0.0	0	0.0	0	0.0
global_top_N520	weedsgalore_official_dataset:2023-06-06:2023-06-06_0176	2023-06-06	tile	weedsgalore_official_dataset:2023-06-06:2023-06-06_0176	1	55	46	0.8363636363636363	150	71	0.4733333333333333	59	0.3933333333333333	47	0.3133333333333333	39	0.26	1	1.0	1	1.0	1	1.0	1	1.0
global_top_N520	weedsgalore_official_dataset:2023-06-06:2023-06-06_0231	2023-06-06	tile	weedsgalore_official_dataset:2023-06-06:2023-06-06_0231	1	30	19	0.6333333333333333	65	33	0.5076923076923077	24	0.3692307692307692	27	0.4153846153846154	18	0.2769230769230769	0	0.0	0	0.0	0	0.0	0	0.0
global_top_N520	weedsgalore_official_dataset:2023-06-06:2023-06-06_0667	2023-06-06	tile	weedsgalore_official_dataset:2023-06-06:2023-06-06_0667	1	33	29	0.8787878787878788	95	39	0.4105263157894737	36	0.3789473684210526	31	0.3263157894736842	28	0.2947368421052631	0	0.0	0	0.0	0	0.0	0	0.0
global_top_N520	weedsgalore_official_dataset:2023-06-06:2023-06-06_0670	2023-06-06	tile	weedsgalore_official_dataset:2023-06-06:2023-06-06_0670	1	36	35	0.9722222222222222	96	58	0.6041666666666666	58	0.6041666666666666	34	0.3541666666666667	34	0.3541666666666667	1	1.0	1	1.0	0	0.0	0	0.0
global_top_N520	weedsgalore_official_dataset:2023-06-06:2023-06-06_0736	2023-06-06	tile	weedsgalore_official_dataset:2023-06-06:2023-06-06_0736	1	28	26	0.9285714285714286	69	45	0.6521739130434783	44	0.6376811594202898	23	0.3333333333333333	22	0.3188405797101449	1	1.0	1	1.0	1	1.0	0	0.0
global_top_N520	weedsgalore_official_dataset:2023-06-06:2023-06-06_0770	2023-06-06	tile	weedsgalore_official_dataset:2023-06-06:2023-06-06_0770	1	38	38	1.0	74	51	0.6891891891891891	51	0.6891891891891891	33	0.4459459459459459	33	0.4459459459459459	0	0.0	0	0.0	0	0.0	0	0.0
global_top_N520	weedsgalore_official_dataset:2023-06-15:2023-06-15_0169	2023-06-15	tile	weedsgalore_official_dataset:2023-06-15:2023-06-15_0169	1	22	21	0.9545454545454546	80	9	0.1125	9	0.1125	7	0.0875	7	0.0875	1	1.0	1	1.0	1	1.0	1	1.0
global_top_N520	weedsgalore_official_dataset:2023-06-15:2023-06-15_0735	2023-06-15	tile	weedsgalore_official_dataset:2023-06-15:2023-06-15_0735	1	14	6	0.4285714285714285	74	4	0.054054054054054	4	0.054054054054054	4	0.054054054054054	4	0.054054054054054	0	0.0	0	0.0	0	0.0	0	0.0
bounded_global_min5_max50_N520	weedsgalore_official_dataset:2023-05-25:2023-05-25_0109	2023-05-25	tile	weedsgalore_official_dataset:2023-05-25:2023-05-25_0109	1	5	0	0.0	17	1	0.0588235294117647	0	0.0	1	0.0588235294117647	0	0.0	1	1.0	1	1.0	1	1.0	1	1.0
bounded_global_min5_max50_N520	weedsgalore_official_dataset:2023-05-25:2023-05-25_0114	2023-05-25	tile	weedsgalore_official_dataset:2023-05-25:2023-05-25_0114	1	5	0	0.0	17	1	0.0588235294117647	0	0.0	1	0.0588235294117647	0	0.0	1	1.0	1	1.0	1	1.0	1	1.0
bounded_global_min5_max50_N520	weedsgalore_official_dataset:2023-05-25:2023-05-25_0170	2023-05-25	tile	weedsgalore_official_dataset:2023-05-25:2023-05-25_0170	1	5	0	0.0	16	1	0.0625	0	0.0	1	0.0625	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0
bounded_global_min5_max50_N520	weedsgalore_official_dataset:2023-05-25:2023-05-25_0183	2023-05-25	tile	weedsgalore_official_dataset:2023-05-25:2023-05-25_0183	1	5	0	0.0	9	1	0.1111111111111111	0	0.0	1	0.1111111111111111	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0
bounded_global_min5_max50_N520	weedsgalore_official_dataset:2023-05-25:2023-05-25_0681	2023-05-25	tile	weedsgalore_official_dataset:2023-05-25:2023-05-25_0681	1	7	3	0.4285714285714285	69	2	0.0289855072463768	2	0.0289855072463768	2	0.0289855072463768	2	0.0289855072463768	1	1.0	1	1.0	1	1.0	1	1.0
bounded_global_min5_max50_N520	weedsgalore_official_dataset:2023-05-25:2023-05-25_0685	2023-05-25	tile	weedsgalore_official_dataset:2023-05-25:2023-05-25_0685	1	14	1	0.0714285714285714	114	3	0.0263157894736842	1	0.0087719298245614	3	0.0263157894736842	1	0.0087719298245614	1	1.0	1	1.0	1	1.0	1	1.0
