seed	policy	accepted_candidates	role_qualified_candidates	candidate_precision	many_to_one_qualified_recall	one_to_one_qualified_recall	crop_overlap_scenes	crop_overlap_scene_frequency	date_macro_precision	date_macro_many_to_one_recall	date_macro_one_to_one_recall	worst_date_precision	worst_date_many_to_one_recall	worst_date_one_to_one_recall	validation_score_cutoff
20260810	bounded_global_min5_max50	509	450	0.8840864440078585	0.334696261682243	0.25934579439252337	0	0.0	0.7720238095238094	0.2790601984595491	0.21234609546297856	0.475	0.05102040816326531	0.04846938775510204	
20260810	fixed_K20_per_tile	509	362	0.7111984282907662	0.24941588785046728	0.20619158878504673	7	0.2692307692307692	0.6704068791946308	0.23595217012424807	0.18908788722100411	0.3691275167785235	0.14030612244897958	0.11688311688311688	
20260810	global_top_equal_fixed_budget	509	462	0.9076620825147348	0.348714953271028	0.26635514018691586	0	0.0	0.853501751871317	0.2873756114015854	0.21652927700005625	0.7333333333333333	0.030612244897959183	0.02806122448979592	
20260810	validation_global_top520_score_threshold	327	313	0.9571865443425076	0.23539719626168223	0.1822429906542056	0	0.0	0.9381857104629382	0.19476513745994267	0.14308694552201046	0.8333333333333334	0.015306122448979591	0.012755102040816327	0.9985351545460536
20260811	bounded_global_min5_max50	505	464	0.9188118811881189	0.3411214953271028	0.2605140186915888	2	0.07692307692307693	0.8116911291635338	0.2774498229043683	0.2121451059762748	0.55	0.05357142857142857	0.05102040816326531	
20260811	fixed_K20_per_tile	505	366	0.7247524752475247	0.24766355140186916	0.1991822429906542	8	0.3076923076923077	0.6874461206896552	0.22644206442907744	0.18083291167706753	0.3310344827586207	0.1096938775510204	0.10204081632653061	
20260811	global_top_equal_fixed_budget	505	477	0.9445544554455445	0.3533878504672897	0.26810747663551404	0	0.0	0.8403497600904255	0.2837279333220892	0.21596179794231743	0.625	0.012755102040816327	0.012755102040816327	
20260811	validation_global_top520_score_threshold	370	359	0.9702702702702702	0.2774532710280374	0.205607476635514	0	0.0	0.922921052631579	0.22325082925732276	0.16490765727778714	0.75	0.007653061224489796	0.007653061224489796	0.9989579634998677
20260812	bounded_global_min5_max50	519	456	0.8786127167630058	0.3019859813084112	0.2605140186915888	2	0.07692307692307693	0.7432148980580716	0.23766620284477427	0.2059794372294372	0.55	0.03896103896103896	0.032467532467532464	
20260812	fixed_K20_per_tile	519	357	0.6878612716763006	0.2266355140186916	0.20327102803738317	6	0.23076923076923078	0.6334709119496855	0.21370628830044414	0.18622413841569685	0.4	0.14285714285714285	0.09740259740259741	
20260812	global_top_equal_fixed_budget	519	463	0.8921001926782274	0.3177570093457944	0.2651869158878505	0	0.0	0.7835807050092765	0.2418834682633384	0.20365400292348343	0.6	0.01948051948051948	0.012987012987012988	
20260812	validation_global_top520_score_threshold	342	316	0.9239766081871345	0.20852803738317757	0.1810747663551402	0	0.0	0.8597788517014868	0.15797527688761454	0.1367968881767583	0.5714285714285714	0.0	0.0	0.996972076698252
20260813	bounded_global_min5_max50	510	470	0.9215686274509803	0.35689252336448596	0.26635514018691586	3	0.11538461538461539	0.8672257510639194	0.28017161410018554	0.21089946309102153	0.575	0.058673469387755105	0.05612244897959184	
20260813	fixed_K20_per_tile	510	386	0.7568627450980392	0.28329439252336447	0.20969626168224298	6	0.23076923076923078	0.7463541666666667	0.26392590093888796	0.1941783324900208	0.4666666666666667	0.15816326530612246	0.12337662337662338	
20260813	global_top_equal_fixed_budget	510	480	0.9411764705882353	0.3662383177570093	0.2716121495327103	1	0.038461538461538464	0.8955513784461153	0.28277744982290437	0.21138823297914205	0.7	0.017857142857142856	0.017857142857142856	
20260813	validation_global_top520_score_threshold	343	329	0.9591836734693877	0.2616822429906542	0.18925233644859812	0	0.0	0.8164332850474811	0.20307036037555518	0.14566185978523638	0.3333333333333333	0.002551020408163265	0.002551020408163265	0.998930378239133
20260814	bounded_global_min5_max50	516	447	0.8662790697674418	0.29906542056074764	0.24240654205607476	1	0.038461538461538464	0.7613946481695101	0.25424959239894307	0.20546150278293135	0.475	0.05102040816326531	0.04846938775510204	
20260814	fixed_K20_per_tile	516	363	0.7034883720930233	0.2272196261682243	0.19509345794392524	5	0.19230769230769232	0.6823717948717949	0.2124276156743689	0.17863467701130037	0.42948717948717946	0.14795918367346939	0.11038961038961038	
20260814	global_top_equal_fixed_budget	516	461	0.8934108527131783	0.3072429906542056	0.25	0	0.0	0.8169569583034413	0.2610512593467139	0.21191881711362232	0.6842105263157895	0.03571428571428571	0.03316326530612245	
20260814	validation_global_top520_score_threshold	328	306	0.9329268292682927	0.21436915887850466	0.16822429906542055	0	0.0	0.8628159399790911	0.17910693202900996	0.1377059088098049	0.75	0.015306122448979591	0.015306122448979591	0.9974999438940294
