seed	policy	file	date	weed_instances	accepted_candidates	role_qualified_candidates	candidate_precision	many_to_one_qualified_recalled	one_to_one_qualified_recalled	many_to_one_qualified_recall	one_to_one_qualified_recall	crop_overlap_scene
20260810	bounded_global_min5_max50	2023-05-25_0109	2023-05-25	17	5	0	0.0	0	0	0.0	0.0	0
20260810	bounded_global_min5_max50	2023-05-25_0114	2023-05-25	17	5	2	0.4	2	2	0.11764705882352941	0.11764705882352941	0
20260810	bounded_global_min5_max50	2023-05-25_0170	2023-05-25	16	5	0	0.0	0	0	0.0	0.0	0
20260810	bounded_global_min5_max50	2023-05-25_0183	2023-05-25	9	5	2	0.4	2	2	0.2222222222222222	0.2222222222222222	0
20260810	bounded_global_min5_max50	2023-05-25_0681	2023-05-25	69	5	5	1.0	5	5	0.07246376811594203	0.07246376811594203	0
20260810	bounded_global_min5_max50	2023-05-25_0685	2023-05-25	114	5	4	0.8	5	4	0.043859649122807015	0.03508771929824561	0
20260810	bounded_global_min5_max50	2023-05-25_0750	2023-05-25	74	5	4	0.8	4	4	0.05405405405405406	0.05405405405405406	0
20260810	bounded_global_min5_max50	2023-05-25_0786	2023-05-25	76	5	2	0.4	2	2	0.02631578947368421	0.02631578947368421	0
20260810	bounded_global_min5_max50	2023-05-30_0039	2023-05-30	43	6	1	0.16666666666666666	1	1	0.023255813953488372	0.023255813953488372	0
20260810	bounded_global_min5_max50	2023-05-30_0044	2023-05-30	46	13	13	1.0	13	13	0.2826086956521739	0.2826086956521739	0
20260810	bounded_global_min5_max50	2023-05-30_0099	2023-05-30	52	20	17	0.85	17	17	0.3269230769230769	0.3269230769230769	0
20260810	bounded_global_min5_max50	2023-05-30_0114	2023-05-30	35	5	4	0.8	5	4	0.14285714285714285	0.11428571428571428	0
20260810	bounded_global_min5_max50	2023-05-30_0649	2023-05-30	93	45	43	0.9555555555555556	54	43	0.5806451612903226	0.46236559139784944	0
20260810	bounded_global_min5_max50	2023-05-30_0652	2023-05-30	55	19	18	0.9473684210526315	20	18	0.36363636363636365	0.32727272727272727	0
20260810	bounded_global_min5_max50	2023-05-30_0720	2023-05-30	49	27	27	1.0	32	27	0.6530612244897959	0.5510204081632653	0
20260810	bounded_global_min5_max50	2023-05-30_0750	2023-05-30	67	33	32	0.9696969696969697	37	32	0.5522388059701493	0.47761194029850745	0
20260810	bounded_global_min5_max50	2023-06-06_0161	2023-06-06	101	40	39	0.975	46	37	0.45544554455445546	0.36633663366336633	0
20260810	bounded_global_min5_max50	2023-06-06_0166	2023-06-06	76	22	18	0.8181818181818182	23	18	0.3026315789473684	0.23684210526315788	0
20260810	bounded_global_min5_max50	2023-06-06_0176	2023-06-06	150	50	47	0.94	69	47	0.46	0.31333333333333335	0
20260810	bounded_global_min5_max50	2023-06-06_0231	2023-06-06	65	26	21	0.8076923076923077	26	21	0.4	0.3230769230769231	0
20260810	bounded_global_min5_max50	2023-06-06_0667	2023-06-06	95	38	33	0.868421052631579	41	33	0.43157894736842106	0.3473684210526316	0
20260810	bounded_global_min5_max50	2023-06-06_0670	2023-06-06	96	42	40	0.9523809523809523	54	38	0.5625	0.3958333333333333	0
20260810	bounded_global_min5_max50	2023-06-06_0736	2023-06-06	69	25	25	1.0	38	24	0.5507246376811594	0.34782608695652173	0
20260810	bounded_global_min5_max50	2023-06-06_0770	2023-06-06	74	37	37	1.0	49	37	0.6621621621621622	0.5	0
20260810	bounded_global_min5_max50	2023-06-15_0169	2023-06-15	80	16	13	0.8125	25	12	0.3125	0.15	0
20260810	bounded_global_min5_max50	2023-06-15_0735	2023-06-15	74	5	3	0.6	3	3	0.04054054054054054	0.04054054054054054	0
20260810	fixed_K20_per_tile	2023-05-25_0109	2023-05-25	17	12	1	0.08333333333333333	1	1	0.058823529411764705	0.058823529411764705	1
20260810	fixed_K20_per_tile	2023-05-25_0114	2023-05-25	17	20	7	0.35	5	5	0.29411764705882354	0.29411764705882354	1
20260810	fixed_K20_per_tile	2023-05-25_0170	2023-05-25	16	20	1	0.05	1	1	0.0625	0.0625	1
20260810	fixed_K20_per_tile	2023-05-25_0183	2023-05-25	9	17	2	0.11764705882352941	2	2	0.2222222222222222	0.2222222222222222	1
20260810	fixed_K20_per_tile	2023-05-25_0681	2023-05-25	69	20	8	0.4	7	7	0.10144927536231885	0.10144927536231885	1
20260810	fixed_K20_per_tile	2023-05-25_0685	2023-05-25	114	20	17	0.85	20	17	0.17543859649122806	0.14912280701754385	0
20260810	fixed_K20_per_tile	2023-05-25_0750	2023-05-25	74	20	7	0.35	8	7	0.10810810810810811	0.0945945945945946	1
20260810	fixed_K20_per_tile	2023-05-25_0786	2023-05-25	76	20	12	0.6	11	11	0.14473684210526316	0.14473684210526316	1
20260810	fixed_K20_per_tile	2023-05-30_0039	2023-05-30	43	20	6	0.3	6	6	0.13953488372093023	0.13953488372093023	0
20260810	fixed_K20_per_tile	2023-05-30_0044	2023-05-30	46	20	18	0.9	18	18	0.391304347826087	0.391304347826087	0
20260810	fixed_K20_per_tile	2023-05-30_0099	2023-05-30	52	20	17	0.85	17	17	0.3269230769230769	0.3269230769230769	0
20260810	fixed_K20_per_tile	2023-05-30_0114	2023-05-30	35	20	13	0.65	13	12	0.37142857142857144	0.34285714285714286	0
20260810	fixed_K20_per_tile	2023-05-30_0649	2023-05-30	93	20	20	1.0	26	20	0.27956989247311825	0.21505376344086022	0
20260810	fixed_K20_per_tile	2023-05-30_0652	2023-05-30	55	20	19	0.95	21	19	0.38181818181818183	0.34545454545454546	0
20260810	fixed_K20_per_tile	2023-05-30_0720	2023-05-30	49	20	20	1.0	25	20	0.5102040816326531	0.40816326530612246	0
20260810	fixed_K20_per_tile	2023-05-30_0750	2023-05-30	67	20	20	1.0	22	20	0.3283582089552239	0.29850746268656714	0
20260810	fixed_K20_per_tile	2023-06-06_0161	2023-06-06	101	20	20	1.0	24	20	0.2376237623762376	0.19801980198019803	0
20260810	fixed_K20_per_tile	2023-06-06_0166	2023-06-06	76	20	18	0.9	23	18	0.3026315789473684	0.23684210526315788	0
20260810	fixed_K20_per_tile	2023-06-06_0176	2023-06-06	150	20	19	0.95	23	19	0.15333333333333332	0.12666666666666668	0
20260810	fixed_K20_per_tile	2023-06-06_0231	2023-06-06	65	20	18	0.9	23	18	0.35384615384615387	0.27692307692307694	0
20260810	fixed_K20_per_tile	2023-06-06_0667	2023-06-06	95	20	19	0.95	23	19	0.24210526315789474	0.2	0
20260810	fixed_K20_per_tile	2023-06-06_0670	2023-06-06	96	20	19	0.95	30	19	0.3125	0.19791666666666666	0
20260810	fixed_K20_per_tile	2023-06-06_0736	2023-06-06	69	20	20	1.0	24	19	0.34782608695652173	0.2753623188405797	0
20260810	fixed_K20_per_tile	2023-06-06_0770	2023-06-06	74	20	20	1.0	23	20	0.3108108108108108	0.2702702702702703	0
20260810	fixed_K20_per_tile	2023-06-15_0169	2023-06-15	80	20	16	0.8	27	14	0.3375	0.175	0
20260810	fixed_K20_per_tile	2023-06-15_0735	2023-06-15	74	20	5	0.25	4	4	0.05405405405405406	0.05405405405405406	0
20260810	global_top_equal_fixed_budget	2023-05-25_0109	2023-05-25	17	0	0	0.0	0	0	0.0	0.0	0
20260810	global_top_equal_fixed_budget	2023-05-25_0114	2023-05-25	17	2	2	1.0	2	2	0.11764705882352941	0.11764705882352941	0
20260810	global_top_equal_fixed_budget	2023-05-25_0170	2023-05-25	16	3	0	0.0	0	0	0.0	0.0	0
20260810	global_top_equal_fixed_budget	2023-05-25_0183	2023-05-25	9	0	0	0.0	0	0	0.0	0.0	0
20260810	global_top_equal_fixed_budget	2023-05-25_0681	2023-05-25	69	3	3	1.0	3	3	0.043478260869565216	0.043478260869565216	0
20260810	global_top_equal_fixed_budget	2023-05-25_0685	2023-05-25	114	3	2	0.6666666666666666	3	2	0.02631578947368421	0.017543859649122806	0
20260810	global_top_equal_fixed_budget	2023-05-25_0750	2023-05-25	74	2	2	1.0	2	2	0.02702702702702703	0.02702702702702703	0
20260810	global_top_equal_fixed_budget	2023-05-25_0786	2023-05-25	76	2	2	1.0	2	2	0.02631578947368421	0.02631578947368421	0
20260810	global_top_equal_fixed_budget	2023-05-30_0039	2023-05-30	43	6	1	0.16666666666666666	1	1	0.023255813953488372	0.023255813953488372	0
20260810	global_top_equal_fixed_budget	2023-05-30_0044	2023-05-30	46	15	14	0.9333333333333333	14	14	0.30434782608695654	0.30434782608695654	0
20260810	global_top_equal_fixed_budget	2023-05-30_0099	2023-05-30	52	20	17	0.85	17	17	0.3269230769230769	0.3269230769230769	0
20260810	global_top_equal_fixed_budget	2023-05-30_0114	2023-05-30	35	6	4	0.6666666666666666	5	4	0.14285714285714285	0.11428571428571428	0
20260810	global_top_equal_fixed_budget	2023-05-30_0649	2023-05-30	93	46	44	0.9565217391304348	55	44	0.5913978494623656	0.4731182795698925	0
20260810	global_top_equal_fixed_budget	2023-05-30_0652	2023-05-30	55	21	20	0.9523809523809523	22	20	0.4	0.36363636363636365	0
