comparison	metric	mean	sample_sd	minimum	maximum	positive_seeds	unchanged_seeds	negative_seeds
bounded_minus_fixed	accepted	0.0	0.0	0.0	0.0	0	5	0
bounded_minus_fixed	precision	0.17703908935435025	0.014578030981350892	0.16279069767441856	0.19405940594059412	5	0	0
bounded_minus_fixed	one_to_one_recall	0.055140186915887845	0.005250515199589785	0.04731308411214952	0.06133177570093459	5	0	0
bounded_minus_fixed	crop_scene_frequency	-0.18461538461538463	0.06319875663521148	-0.2692307692307692	-0.11538461538461539	0	0	5
bounded_minus_fixed	worst_date_one_to_one_recall	-0.062708719851577	0.006989335774668701	-0.06841372912801484	-0.05102040816326531	0	0	5
global_minus_fixed	accepted	0.0	0.0	0.0	0.0	0	5	0
global_minus_fixed	precision	0.19894815230685325	0.01382639052203414	0.1843137254901961	0.21980198019801978	5	0	0
global_minus_fixed	one_to_one_recall	0.061565420560747666	0.005017927942737053	0.05490654205607476	0.06892523364485983	5	0	0
global_minus_fixed	crop_scene_frequency	-0.23846153846153845	0.05014771080925114	-0.3076923076923077	-0.19230769230769232	0	0	5
global_minus_fixed	worst_date_one_to_one_recall	-0.08905380333951762	0.010399854974387134	-0.10551948051948051	-0.07722634508348794	0	0	5
validation_threshold_minus_fixed	accepted	-169.8	20.921281031523858	-188.0	-135.0	0	0	5
validation_threshold_minus_fixed	precision	0.23187612662638774	0.017907165038535934	0.20232092837134852	0.24598811605174142	5	0	0
validation_threshold_minus_fixed	one_to_one_recall	-0.01740654205607477	0.01353200150142121	-0.02686915887850469	0.006425233644859807	1	0	4
validation_threshold_minus_fixed	crop_scene_frequency	-0.24615384615384617	0.04385290096535146	-0.3076923076923077	-0.19230769230769232	0	0	5
validation_threshold_minus_fixed	worst_date_one_to_one_recall	-0.10236549165120594	0.011013450590711212	-0.12082560296846011	-0.09438775510204082	0	0	5
