seed	patch_proxy	policy	precision_difference_vs_fixed	one_to_one_recall_difference_vs_fixed	crop_scene_frequency_difference_vs_fixed
20260810	test_capture_index_patch_proxy_0	date_balanced_global	0.02590039301591396	-0.048090523338048086	0.0
20260810	test_capture_index_patch_proxy_0	min5_max50	0.1854205814082016	0.032531824611032545	-0.3076923076923077
20260810	test_capture_index_patch_proxy_1	date_balanced_global	0.02135690396559964	0.056716417910447764	0.07692307692307693
20260810	test_capture_index_patch_proxy_1	min5_max50	0.14583663758921495	0.06766169154228854	-0.23076923076923078
20260811	test_capture_index_patch_proxy_0	date_balanced_global	0.03998090464255877	-0.053748231966053744	0.0
20260811	test_capture_index_patch_proxy_0	min5_max50	0.2059948979591837	0.04809052333804811	-0.15384615384615385
20260811	test_capture_index_patch_proxy_1	date_balanced_global	0.008360202671579886	0.06069651741293533	0.0
20260811	test_capture_index_patch_proxy_1	min5_max50	0.17710101286613744	0.07064676616915425	-0.3076923076923077
20260812	test_capture_index_patch_proxy_0	date_balanced_global	0.11002890902388385	-0.014144271570014133	-0.15384615384615385
20260812	test_capture_index_patch_proxy_0	min5_max50	0.2356357568221975	0.06082036775106084	-0.23076923076923078
20260812	test_capture_index_patch_proxy_1	date_balanced_global	-0.0019230769230769162	0.04676616915422885	-0.07692307692307693
20260812	test_capture_index_patch_proxy_1	min5_max50	0.13067409622179949	0.05472636815920398	-0.07692307692307693
20260813	test_capture_index_patch_proxy_0	date_balanced_global	0.051074829931972765	-0.08203677510608204	-0.07692307692307693
20260813	test_capture_index_patch_proxy_0	min5_max50	0.22807766990291256	0.0297029702970297	-0.07692307692307693
20260813	test_capture_index_patch_proxy_1	date_balanced_global	-0.013572790845518101	0.08557213930348262	0.15384615384615385
20260813	test_capture_index_patch_proxy_1	min5_max50	0.08744939271255059	0.0756218905472637	-0.15384615384615385
20260814	test_capture_index_patch_proxy_0	date_balanced_global	0.05795923223350252	-0.031117397454031137	0.0
20260814	test_capture_index_patch_proxy_0	min5_max50	0.2073494061085973	0.03111739745403111	-0.23076923076923078
20260814	test_capture_index_patch_proxy_1	date_balanced_global	0.023607427055702845	0.051741293532338306	0.23076923076923078
20260814	test_capture_index_patch_proxy_1	min5_max50	0.09713168187744459	0.05870646766169155	-0.07692307692307693
