seed	policy	patch_proxy	scenes	accepted_candidates	candidate_level_role_qualified_precision	one_to_one_role_qualified_recall	crop_overlap_scene_frequency
20260810	date_balanced_global	test_capture_index_patch_proxy_0	13	187	0.6524064171122995	0.16548797736916548	0.3076923076923077
20260810	date_balanced_global	test_capture_index_patch_proxy_1	13	322	0.8136645962732919	0.25771144278606967	0.3076923076923077
20260810	min0_max20	test_capture_index_patch_proxy_0	13	249	0.6265060240963856	0.21357850070721357	0.3076923076923077
20260810	min0_max20	test_capture_index_patch_proxy_1	13	260	0.7923076923076923	0.2009950248756219	0.23076923076923078
20260810	min5_max50	test_capture_index_patch_proxy_0	13	218	0.8119266055045872	0.24611032531824611	0.0
20260810	min5_max50	test_capture_index_patch_proxy_1	13	291	0.9381443298969072	0.26865671641791045	0.0
20260811	date_balanced_global	test_capture_index_patch_proxy_0	13	171	0.7134502923976608	0.16548797736916548	0.3076923076923077
20260811	date_balanced_global	test_capture_index_patch_proxy_1	13	334	0.781437125748503	0.24577114427860697	0.3076923076923077
20260811	min0_max20	test_capture_index_patch_proxy_0	13	245	0.673469387755102	0.21923620933521923	0.3076923076923077
20260811	min0_max20	test_capture_index_patch_proxy_1	13	260	0.7730769230769231	0.18507462686567164	0.3076923076923077
20260811	min5_max50	test_capture_index_patch_proxy_0	13	224	0.8794642857142857	0.26732673267326734	0.15384615384615385
20260811	min5_max50	test_capture_index_patch_proxy_1	13	281	0.9501779359430605	0.2557213930348259	0.0
20260812	date_balanced_global	test_capture_index_patch_proxy_0	13	199	0.6582914572864321	0.18246110325318246	0.15384615384615385
20260812	date_balanced_global	test_capture_index_patch_proxy_1	13	320	0.825	0.25472636815920396	0.07692307692307693
20260812	min0_max20	test_capture_index_patch_proxy_0	13	259	0.5482625482625483	0.1966053748231966	0.3076923076923077
20260812	min0_max20	test_capture_index_patch_proxy_1	13	260	0.8269230769230769	0.20796019900497512	0.15384615384615385
20260812	min5_max50	test_capture_index_patch_proxy_0	13	236	0.7838983050847458	0.25742574257425743	0.07692307692307693
20260812	min5_max50	test_capture_index_patch_proxy_1	13	283	0.9575971731448764	0.2626865671641791	0.07692307692307693
20260813	date_balanced_global	test_capture_index_patch_proxy_0	13	147	0.6870748299319728	0.12871287128712872	0.23076923076923078
20260813	date_balanced_global	test_capture_index_patch_proxy_1	13	363	0.859504132231405	0.2945273631840796	0.3076923076923077
20260813	min0_max20	test_capture_index_patch_proxy_0	13	250	0.636	0.21074964639321075	0.3076923076923077
20260813	min0_max20	test_capture_index_patch_proxy_1	13	260	0.8730769230769231	0.208955223880597	0.15384615384615385
20260813	min5_max50	test_capture_index_patch_proxy_0	13	206	0.8640776699029126	0.24045261669024046	0.23076923076923078
20260813	min5_max50	test_capture_index_patch_proxy_1	13	304	0.9605263157894737	0.2845771144278607	0.0
20260814	date_balanced_global	test_capture_index_patch_proxy_0	13	197	0.6243654822335025	0.16124469589816123	0.3076923076923077
20260814	date_balanced_global	test_capture_index_patch_proxy_1	13	319	0.8620689655172413	0.24875621890547264	0.3076923076923077
20260814	min0_max20	test_capture_index_patch_proxy_0	13	256	0.56640625	0.19236209335219237	0.3076923076923077
20260814	min0_max20	test_capture_index_patch_proxy_1	13	260	0.8384615384615385	0.19701492537313434	0.07692307692307693
20260814	min5_max50	test_capture_index_patch_proxy_0	13	221	0.7737556561085973	0.22347949080622348	0.07692307692307693
20260814	min5_max50	test_capture_index_patch_proxy_1	13	295	0.9355932203389831	0.2557213930348259	0.0
