image_id	source_width	source_height	resized_width	resized_height	pad_left	pad_right	pad_top	pad_bottom	unique_annotation_rgb_values	crop_weed_channel_overlap_pixels	crop_pixels_on_canvas	weed_pixels_on_canvas
001	1296	966	600	447	0	0	76	77	[[0,0,0],[0,255,0],[255,0,0]]	0	6579	37203
002	1296	966	600	447	0	0	76	77	[[0,0,0],[0,255,0],[255,0,0]]	0	2760	23882
003	1296	966	600	447	0	0	76	77	[[0,0,0],[0,255,0],[255,0,0]]	0	5355	15667
004	1296	966	600	447	0	0	76	77	[[0,0,0],[0,255,0],[255,0,0]]	0	2542	26791
005	1296	966	600	447	0	0	76	77	[[0,0,0],[0,255,0],[255,0,0]]	0	2215	8353
006	1296	966	600	447	0	0	76	77	[[0,0,0],[0,255,0],[255,0,0]]	0	7968	11532
007	1296	966	600	447	0	0	76	77	[[0,0,0],[0,255,0],[255,0,0]]	0	8765	31356
008	1296	966	600	447	0	0	76	77	[[0,0,0],[0,255,0],[255,0,0]]	0	2673	17226
009	1296	966	600	447	0	0	76	77	[[0,0,0],[0,255,0],[255,0,0]]	0	5033	14311
010	1296	966	600	447	0	0	76	77	[[0,0,0],[0,255,0],[255,0,0]]	0	3419	14497
011	1296	966	600	447	0	0	76	77	[[0,0,0],[0,255,0],[255,0,0]]	0	5529	12727
012	1296	966	600	447	0	0	76	77	[[0,0,0],[0,255,0],[255,0,0]]	0	1190	5331
013	1296	966	600	447	0	0	76	77	[[0,0,0],[0,255,0],[255,0,0]]	0	5959	14441
014	1296	966	600	447	0	0	76	77	[[0,0,0],[0,255,0],[255,0,0]]	0	1141	10573
015	1296	966	600	447	0	0	76	77	[[0,0,0],[0,255,0],[255,0,0]]	0	3330	9339
016	1296	966	600	447	0	0	76	77	[[0,0,0],[0,255,0],[255,0,0]]	0	2906	19863
017	1296	966	600	447	0	0	76	77	[[0,0,0],[0,255,0],[255,0,0]]	0	4416	8976
018	1296	966	600	447	0	0	76	77	[[0,0,0],[0,255,0],[255,0,0]]	0	4272	17144
019	1296	966	600	447	0	0	76	77	[[0,0,0],[0,255,0],[255,0,0]]	0	3186	6456
020	1296	966	600	447	0	0	76	77	[[0,0,0],[0,255,0],[255,0,0]]	0	3490	1127
021	1296	966	600	447	0	0	76	77	[[0,0,0],[0,255,0],[255,0,0]]	0	4190	1722
022	1296	966	600	447	0	0	76	77	[[0,0,0],[0,255,0],[255,0,0]]	0	6241	9340
023	1296	966	600	447	0	0	76	77	[[0,0,0],[0,255,0],[255,0,0]]	0	1480	15914
024	1296	966	600	447	0	0	76	77	[[0,0,0],[0,255,0],[255,0,0]]	0	569	14909
025	1296	966	600	447	0	0	76	77	[[0,0,0],[0,255,0],[255,0,0]]	0	7229	9813
026	1296	966	600	447	0	0	76	77	[[0,0,0],[0,255,0],[255,0,0]]	0	575	12212
027	1296	966	600	447	0	0	76	77	[[0,0,0],[0,255,0],[255,0,0]]	0	7195	12248
028	1296	966	600	447	0	0	76	77	[[0,0,0],[0,255,0],[255,0,0]]	0	4243	24037
029	1296	966	600	447	0	0	76	77	[[0,0,0],[0,255,0],[255,0,0]]	0	891	48554
030	1296	966	600	447	0	0	76	77	[[0,0,0],[0,255,0],[255,0,0]]	0	3206	2827
031	1296	966	600	447	0	0	76	77	[[0,0,0],[0,255,0],[255,0,0]]	0	4811	24882
032	1296	966	600	447	0	0	76	77	[[0,0,0],[0,255,0],[255,0,0]]	0	5631	18771
033	1296	966	600	447	0	0	76	77	[[0,0,0],[0,255,0],[255,0,0]]	0	3615	14546
034	1296	966	600	447	0	0	76	77	[[0,0,0],[0,255,0],[255,0,0]]	0	1674	26428
035	1296	966	600	447	0	0	76	77	[[0,0,0],[0,255,0],[255,0,0]]	0	12242	7861
036	1296	966	600	447	0	0	76	77	[[0,0,0],[0,255,0],[255,0,0]]	0	2417	27082
037	1296	966	600	447	0	0	76	77	[[0,0,0],[0,255,0],[255,0,0]]	0	6335	3344
038	1296	966	600	447	0	0	76	77	[[0,0,0],[0,255,0],[255,0,0]]	0	3286	24955
