image_id	source_width	source_height	rgb_relative_path	annotation_relative_path	vegetation_mask_relative_path	rgb_sha256	annotation_sha256	vegetation_mask_sha256
001	1296	966	images/001_image.png	annotations/001_annotation.png	masks/001_mask.png	75b13f084cee31f2554c1f488491f359b55a7af5d2b8250ac7f008639b21297f	b5af8997c49b5039aca75d4a039e3491f97e9cb2400ea1a472ae329001298a9c	d0f7770a6778dc865ed3f1086bbf2d79afda0d7d1606ca101280ecb5ab285d36
002	1296	966	images/002_image.png	annotations/002_annotation.png	masks/002_mask.png	165ecc79c9bd9533016b16e5d141680b031f7e01063e762282dd0f059a0835ba	a6106c2e5c142355b3879fd605497b349c6d15535da8884751e8713f3d083561	afd2af8ec299fc0fd40682760055b8a818ec9c92991e7f103cf7b2b243acf4db
003	1296	966	images/003_image.png	annotations/003_annotation.png	masks/003_mask.png	74a8a704ed817109f1ddec06d64215656595ada63e894bbad574c1a589a889eb	c1893fc214ea0da546e6e8fde1827dad3a104ef9911623353b1ca67bbcf7eb8e	7f4c0fbef0c8b6147a1984bddf72024231ab7a7b7d35de1360d5225ded04cd3b
004	1296	966	images/004_image.png	annotations/004_annotation.png	masks/004_mask.png	d708ac97e271fbcc42fdc3473391b64b446297022ea0dff1412bdc7f1090559b	e5374ff566ce7171ad277fcf2bc42295e4b6976cece7fd823abdb4617af90479	d39fec9fd01e6ea9622955e8123f4f561429888bad1ccea4751e96eaecd316eb
005	1296	966	images/005_image.png	annotations/005_annotation.png	masks/005_mask.png	8e6ceda9e4e1af217cd1baa232c91b2ee0e3b1017e8e6e29c4e4572d617e2f4c	8721c622fd3f77cf1e9523222aa037016812a512cdb129a815eb1ff3a387b0c6	a509ab0c3316c62bc3b22c3154c67d86dbb0716b2bff9708266c1f6e8e124303
006	1296	966	images/006_image.png	annotations/006_annotation.png	masks/006_mask.png	78a445bff869cd775775a8c2730284eb539d09943fb769125ec36fb36e77446b	09c2daf434190b91cb8f3ea2dac4fb67b23749da3d1330fa9284e0c28fce851c	4420ec18772634598f4fa824460367358ba17f83af831a0a28d201e1d59e8f6d
007	1296	966	images/007_image.png	annotations/007_annotation.png	masks/007_mask.png	48d27074e1959c1fdf08ffd96389141f112e694926edbf25cc0a8e1ea0420569	bf7caf8982cd99f2e3eb578e87b8395d4cac1dec94a1aaa8b1c51d86b4035e6d	346824f097180d43ae5941e3fc1fc11bf0ecf137dae6c7b726d5795c81556663
008	1296	966	images/008_image.png	annotations/008_annotation.png	masks/008_mask.png	874c139ea966afac89cf82cf467c87be2646f704c34e02450437d9a044901e11	9b61b153336d7537eea0c57ddf409bb47943554f3a6f6362463d263cfd603c4b	c590ebcc9ce79b1f8751d9e0275ae5c3640910e59a96d72c0108bfe552ac2701
009	1296	966	images/009_image.png	annotations/009_annotation.png	masks/009_mask.png	8a89e93d754c6a08c1d0ccd55e139deb1198f4a6213399b97abcc0f7c2c2f6d4	7811fbf95fd45200ae6bc5165a0a191d3c8d453e64b3cfef44c820d59bff5ef5	03ac56c280d3e6301207712e7b1430f04155b1b446e807320205b27eef9a9cd7
010	1296	966	images/010_image.png	annotations/010_annotation.png	masks/010_mask.png	05126439aeff5a20680b2c827c5afb7bce71e1f1313fe13f7a02a5a7c4af1915	2b6885c7082ca221138417e65ffc6d9f2cf4933dbe671a49bc09f8abadc92a42	2e4e0573f94b4e2013ad1755df8c44d5ea7b95451a4af40a0a4609c35e07bfd7
