seed	image_id	weed_components	candidates	accepted_candidates	eligible_weed_candidates	many_to_one_spatial_recalled	many_to_one_role_qualified_recalled	one_to_one_spatial_recalled	one_to_one_role_qualified_recalled	crop_overlap_image	confusion_00	confusion_01	confusion_02	confusion_10	confusion_11	confusion_12	confusion_20	confusion_21	confusion_22
20260810	001	8	0	0	0	0	0	0	0	0	316218	0	0	6579	0	0	37203	0	0
20260810	002	11	0	0	0	0	0	0	0	0	333358	0	0	2760	0	0	23882	0	0
20260810	003	7	0	0	0	0	0	0	0	0	338978	0	0	5355	0	0	15667	0	0
20260810	004	9	0	0	0	0	0	0	0	0	330667	0	0	2542	0	0	26791	0	0
20260810	005	5	0	0	0	0	0	0	0	0	349432	0	0	2215	0	0	8353	0	0
20260810	006	6	0	0	0	0	0	0	0	0	340500	0	0	7968	0	0	11532	0	0
20260810	007	5	0	0	0	0	0	0	0	0	319879	0	0	8765	0	0	31356	0	0
20260810	008	6	0	0	0	0	0	0	0	0	340101	0	0	2673	0	0	17226	0	0
20260810	009	3	0	0	0	0	0	0	0	0	340656	0	0	5033	0	0	14311	0	0
20260810	010	5	0	0	0	0	0	0	0	0	342084	0	0	3419	0	0	14497	0	0
20260810	011	5	0	0	0	0	0	0	0	0	341744	0	0	5529	0	0	12727	0	0
20260810	012	1	0	0	0	0	0	0	0	0	353479	0	0	1190	0	0	5331	0	0
20260810	013	7	0	0	0	0	0	0	0	0	339600	0	0	5959	0	0	14441	0	0
20260810	014	3	0	0	0	0	0	0	0	0	348286	0	0	1141	0	0	10573	0	0
20260810	015	3	0	0	0	0	0	0	0	0	347331	0	0	3330	0	0	9339	0	0
20260810	016	4	0	0	0	0	0	0	0	0	337231	0	0	2906	0	0	19863	0	0
20260810	017	5	0	0	0	0	0	0	0	0	346608	0	0	4416	0	0	8976	0	0
20260810	018	5	0	0	0	0	0	0	0	0	338584	0	0	4272	0	0	17144	0	0
20260810	019	3	0	0	0	0	0	0	0	0	350358	0	0	3186	0	0	6456	0	0
20260810	020	2	0	0	0	0	0	0	0	0	355383	0	0	3490	0	0	1127	0	0
20260810	021	2	0	0	0	0	0	0	0	0	354088	0	0	4190	0	0	1722	0	0
20260810	022	6	0	0	0	0	0	0	0	0	344419	0	0	6241	0	0	9340	0	0
20260810	023	6	0	0	0	0	0	0	0	0	342606	0	0	1480	0	0	15914	0	0
20260810	024	8	0	0	0	0	0	0	0	0	344522	0	0	569	0	0	14909	0	0
20260810	025	2	0	0	0	0	0	0	0	0	342958	0	0	7229	0	0	9813	0	0
20260810	026	4	0	0	0	0	0	0	0	0	347213	0	0	575	0	0	12212	0	0
20260810	027	5	0	0	0	0	0	0	0	0	340557	0	0	7195	0	0	12248	0	0
20260810	028	7	0	0	0	0	0	0	0	0	331720	0	0	4243	0	0	24037	0	0
20260810	029	9	0	0	0	0	0	0	0	0	310555	0	0	891	0	0	48554	0	0
20260810	030	3	0	0	0	0	0	0	0	0	353967	0	0	3206	0	0	2827	0	0
20260810	031	7	0	0	0	0	0	0	0	0	330307	0	0	4811	0	0	24882	0	0
20260810	032	5	0	0	0	0	0	0	0	0	335598	0	0	5631	0	0	18771	0	0
20260810	033	7	0	0	0	0	0	0	0	0	341839	0	0	3615	0	0	14546	0	0
20260810	034	7	0	0	0	0	0	0	0	0	331898	0	0	1674	0	0	26428	0	0
