variant	global_N	images	weed_instances	accepted_candidates	mean_candidates_per_image	all_candidate_precision	many_to_one_spatial_recall	many_to_one_role_qualified_recall	one_to_one_role_qualified_recall	crop_overlap_scene_frequency
original_T095_A032	0	26	1712	0	0.0	0.0	0.0	0.0	0.0	0.0
commissioned_T070_A032	0	26	1712	0	0.0	0.0	0.0	0.0	0.0	0.0
original_T095_A032	1	26	1712	1	0.038461538461538464	1.0	0.0005841121495327102	0.0005841121495327102	0.0005841121495327102	0.0
commissioned_T070_A032	1	26	1712	1	0.038461538461538464	1.0	0.0	0.0	0.0	0.0
original_T095_A032	2	26	1712	2	0.07692307692307693	0.5	0.0017523364485981308	0.0005841121495327102	0.0005841121495327102	0.038461538461538464
commissioned_T070_A032	2	26	1712	2	0.07692307692307693	1.0	0.0005841121495327102	0.0005841121495327102	0.0005841121495327102	0.0
original_T095_A032	3	26	1712	3	0.11538461538461539	0.6666666666666666	0.0017523364485981308	0.0005841121495327102	0.0005841121495327102	0.038461538461538464
commissioned_T070_A032	3	26	1712	3	0.11538461538461539	1.0	0.0005841121495327102	0.0005841121495327102	0.0005841121495327102	0.0
original_T095_A032	4	26	1712	4	0.15384615384615385	0.5	0.0017523364485981308	0.0005841121495327102	0.0005841121495327102	0.07692307692307693
commissioned_T070_A032	4	26	1712	4	0.15384615384615385	1.0	0.0005841121495327102	0.0005841121495327102	0.0005841121495327102	0.0
original_T095_A032	5	26	1712	5	0.19230769230769232	0.6	0.002336448598130841	0.0011682242990654205	0.0011682242990654205	0.07692307692307693
commissioned_T070_A032	5	26	1712	5	0.19230769230769232	1.0	0.0005841121495327102	0.0005841121495327102	0.0005841121495327102	0.0
original_T095_A032	6	26	1712	6	0.23076923076923078	0.6666666666666666	0.002336448598130841	0.0011682242990654205	0.0011682242990654205	0.07692307692307693
commissioned_T070_A032	6	26	1712	6	0.23076923076923078	0.8333333333333334	0.02044392523364486	0.0005841121495327102	0.0005841121495327102	0.038461538461538464
original_T095_A032	7	26	1712	7	0.2692307692307692	0.7142857142857143	0.0029205607476635513	0.0017523364485981308	0.0017523364485981308	0.07692307692307693
commissioned_T070_A032	7	26	1712	7	0.2692307692307692	0.8571428571428571	0.02570093457943925	0.005841121495327103	0.0011682242990654205	0.038461538461538464
original_T095_A032	8	26	1712	8	0.3076923076923077	0.625	0.0029205607476635513	0.0017523364485981308	0.0017523364485981308	0.11538461538461539
commissioned_T070_A032	8	26	1712	8	0.3076923076923077	0.875	0.026285046728971962	0.006425233644859813	0.0017523364485981308	0.038461538461538464
original_T095_A032	9	26	1712	9	0.34615384615384615	0.5555555555555556	0.0029205607476635513	0.0017523364485981308	0.0017523364485981308	0.15384615384615385
commissioned_T070_A032	9	26	1712	9	0.34615384615384615	0.7777777777777778	0.06483644859813084	0.006425233644859813	0.0017523364485981308	0.07692307692307693
original_T095_A032	10	26	1712	10	0.38461538461538464	0.6	0.0029205607476635513	0.0017523364485981308	0.0017523364485981308	0.15384615384615385
commissioned_T070_A032	10	26	1712	10	0.38461538461538464	0.7	0.06542056074766354	0.006425233644859813	0.0017523364485981308	0.07692307692307693
original_T095_A032	11	26	1712	11	0.4230769230769231	0.6363636363636364	0.0029205607476635513	0.0017523364485981308	0.0017523364485981308	0.15384615384615385
