variant	common_k	file	date	weed_instances	accepted_candidates	eligible_weed_candidates	spatial_recalled	qualified_recalled	one_to_one_recalled	crop_overlap_scene
original_T095_A032	14	weedsgalore_official_dataset:2023-05-25:2023-05-25_0109	2023-05-25	17	14	0	0	0	0	1
original_T095_A032	16	weedsgalore_official_dataset:2023-05-25:2023-05-25_0114	2023-05-25	17	16	4	1	1	1	1
original_T095_A032	11	weedsgalore_official_dataset:2023-05-25:2023-05-25_0170	2023-05-25	16	11	0	0	0	0	1
original_T095_A032	13	weedsgalore_official_dataset:2023-05-25:2023-05-25_0183	2023-05-25	9	13	0	0	0	0	1
original_T095_A032	20	weedsgalore_official_dataset:2023-05-25:2023-05-25_0681	2023-05-25	69	20	0	0	0	0	1
original_T095_A032	4	weedsgalore_official_dataset:2023-05-25:2023-05-25_0685	2023-05-25	114	4	0	0	0	0	1
original_T095_A032	14	weedsgalore_official_dataset:2023-05-25:2023-05-25_0750	2023-05-25	74	14	1	1	1	1	1
original_T095_A032	19	weedsgalore_official_dataset:2023-05-25:2023-05-25_0786	2023-05-25	76	19	1	0	0	0	1
original_T095_A032	20	weedsgalore_official_dataset:2023-05-30:2023-05-30_0039	2023-05-30	43	20	3	7	3	3	0
original_T095_A032	20	weedsgalore_official_dataset:2023-05-30:2023-05-30_0044	2023-05-30	46	20	10	10	9	9	1
original_T095_A032	20	weedsgalore_official_dataset:2023-05-30:2023-05-30_0099	2023-05-30	52	20	17	11	9	9	1
original_T095_A032	20	weedsgalore_official_dataset:2023-05-30:2023-05-30_0114	2023-05-30	35	20	7	7	5	5	1
original_T095_A032	20	weedsgalore_official_dataset:2023-05-30:2023-05-30_0649	2023-05-30	93	20	18	10	10	10	1
original_T095_A032	20	weedsgalore_official_dataset:2023-05-30:2023-05-30_0652	2023-05-30	55	20	8	3	2	2	1
original_T095_A032	20	weedsgalore_official_dataset:2023-05-30:2023-05-30_0720	2023-05-30	49	20	13	8	8	8	1
original_T095_A032	20	weedsgalore_official_dataset:2023-05-30:2023-05-30_0750	2023-05-30	67	20	15	16	15	13	1
original_T095_A032	20	weedsgalore_official_dataset:2023-06-06:2023-06-06_0161	2023-06-06	101	20	20	16	16	12	0
original_T095_A032	20	weedsgalore_official_dataset:2023-06-06:2023-06-06_0166	2023-06-06	76	20	20	18	18	14	0
original_T095_A032	20	weedsgalore_official_dataset:2023-06-06:2023-06-06_0176	2023-06-06	150	20	18	14	14	13	1
original_T095_A032	20	weedsgalore_official_dataset:2023-06-06:2023-06-06_0231	2023-06-06	65	20	16	12	12	12	1
original_T095_A032	20	weedsgalore_official_dataset:2023-06-06:2023-06-06_0667	2023-06-06	95	20	19	49	19	14	1
original_T095_A032	20	weedsgalore_official_dataset:2023-06-06:2023-06-06_0670	2023-06-06	96	20	18	24	18	11	1
original_T095_A032	20	weedsgalore_official_dataset:2023-06-06:2023-06-06_0736	2023-06-06	69	20	17	27	24	10	1
original_T095_A032	20	weedsgalore_official_dataset:2023-06-06:2023-06-06_0770	2023-06-06	74	20	20	14	14	12	0
original_T095_A032	20	weedsgalore_official_dataset:2023-06-15:2023-06-15_0169	2023-06-15	80	20	16	14	2	2	1
original_T095_A032	20	weedsgalore_official_dataset:2023-06-15:2023-06-15_0735	2023-06-15	74	20	15	59	5	5	1
commissioned_T070_A032	14	weedsgalore_official_dataset:2023-05-25:2023-05-25_0109	2023-05-25	17	14	0	2	0	0	1
commissioned_T070_A032	16	weedsgalore_official_dataset:2023-05-25:2023-05-25_0114	2023-05-25	17	16	2	3	2	2	1
commissioned_T070_A032	11	weedsgalore_official_dataset:2023-05-25:2023-05-25_0170	2023-05-25	16	11	1	1	1	1	1
