variant	metric	estimate	ci95_low	ci95_high	cluster_unit	clusters	bootstrap_replicates
original_T095_A032	all_candidate_precision	0.5859872611464968	0.44303729413366	0.7152091120141781	image	26	10000
commissioned_T070_A032	all_candidate_precision	0.5180467091295117	0.38311464911235554	0.6463654223968566	image	26	10000
original_T095_A032	many_to_one_spatial_recall	0.1875	0.11663459911076143	0.27468526757739065	image	26	10000
commissioned_T070_A032	many_to_one_spatial_recall	0.2692757009345794	0.18161550403283178	0.37523246117237125	image	26	10000
original_T095_A032	many_to_one_role_qualified_recall	0.11974299065420561	0.08258193279831096	0.15829512351353997	image	26	10000
commissioned_T070_A032	many_to_one_role_qualified_recall	0.15712616822429906	0.10766005174368466	0.20851326341764342	image	26	10000
original_T095_A032	one_to_one_role_qualified_recall	0.0969626168224299	0.06984579409212176	0.12361747026387776	image	26	10000
commissioned_T070_A032	one_to_one_role_qualified_recall	0.11565420560747663	0.08482403050054106	0.14528178590039725	image	26	10000
original_T095_A032	crop_overlap_scene_frequency	0.8461538461538461	0.6923076923076923	0.9615384615384616	image	26	10000
commissioned_T070_A032	crop_overlap_scene_frequency	0.8846153846153846	0.7307692307692307	1.0	image	26	10000
