model	run_id	seed	summary_sha256	tile_metrics_sha256	checkpoint_sha256
ResNet18-UNet	P2_WEEDSGALORE_TARGET_SEMANTIC_H200_SEED_20260810_20260812_v1	20260810	b9ae325f40970be2d37d73ac337cadcc8713cbbe5bef55121717ef40e3b4119d	fdab355abcd2305006d5048aafaedc4b6b069e376ed36355810c6d6bb534ba9f	f21d828d6bb49fbfd8f91e55dfce95e3d704bbd6860c0ec718119eba37c061fb
ResNet18-UNet	P2_WEEDSGALORE_TARGET_SEMANTIC_H200_SEED_20260811_20260812_v1	20260811	d98d48a472f325e99ae1b1483e257dd9ddc39bdedb5bdcbe8fe5967c6151af8c	1c4c383e4b96930fb3902bb8110a3fd78e77374ebfe34cbc099004621a868d1e	4c40277a53bffdac818d4347a0d6afa76c00dfe350f2dcdbbdd014905110628f
ResNet18-UNet	P2_WEEDSGALORE_TARGET_SEMANTIC_H200_SEED_20260812_20260812_v1	20260812	a883f216142b9dc2ca9feebef7b98b35f2fe965242baa1af3d95ff755b0a2eeb	cfc7de3a96e1ae10c346310be1a8dffdd23bcc9c8fc2560fd650b21de7a8df67	a8f73b22c27f5e1b2429c2d03fd0891e2d6cc572c70716029140745b0392053b
ResNet18-UNet	P2_WEEDSGALORE_TARGET_SEMANTIC_H200_SEED_20260813_20260812_v1	20260813	e7ec93a1254304a4d77f8df181caeca5eec4295ba7f37c96ef5113b61446c8c1	e43fac937594f6f8e31d59907825e27efcef876a53ef898f8755e4e757d0ecc0	3e5e949b27c2e69a8262a11e4fc0c5a0a2892b1a4c8c894a410c5fd498c24943
ResNet18-UNet	P2_WEEDSGALORE_TARGET_SEMANTIC_H200_SEED_20260814_20260812_v1	20260814	248c066517d36dc2e8a6568e0d157d68a98f858b0185f51dce0ee50478a0f4bf	709fae3a73890c188d0a252ec3414e3aef989fb8029006cb1b6f804400215a57	40008b291a61424edc26e0aa165de20f49dbfbaf8e1f85d2de646b97e6244b10
DeepLabV3Plus-ResNet50	P2_WEEDSGALORE_DEEPLABV3PLUS_H200_SEED_20260820_20260812_v2	20260820	374f153ad09664eb8e62f11b854ed3f01097cbb213081fdf49e8784767092a38	8d67f60f1a632d4352e1a1e5143d3372a0f28ae897d081856af5454c9337c680	fb77ac52173d8eb5b9f901135c03a8bf846af3a8d12c15adb5cb3e5d0c056dc6
DeepLabV3Plus-ResNet50	P2_WEEDSGALORE_DEEPLABV3PLUS_H200_SEED_20260821_20260812_v1	20260821	affdadef52f6914cfda35e619820c0a6ab285be00d4b5334a4a506768268d25c	c7d5020d994a537126c0aa670fae21575c23426271594940351c0d3a0d63f9a7	580c19c6b429b935190b52955cbb2b723eed08f87cade418b4c68c2357090434
DeepLabV3Plus-ResNet50	P2_WEEDSGALORE_DEEPLABV3PLUS_H200_SEED_20260822_20260812_v1	20260822	e8ddba254a4f93d55228559ca043bd5214a39378a6ab59a4765017e93a55a170	524bd54c31882c08fa53991b4dbb993bcc84415655729242605ab9c1d6ab10da	a5de54bee9842462562ae16059056261339b5abeb81aad8b601c918c434d43b4
Mask-RCNN-ResNet50-FPN-v2	P2_WEEDSGALORE_MASKRCNN_H200_SEED_20260820_20260812_v1	20260820	d70a15e40048a8c56e0cbab25074e0c3d20541f35829db6d6e7438feabd561fd	1b21c7592e47940327fbcbda7d3865e8b92d681a34b1b18b2d6bb1e3a1787efe	75481f5e21585bb32e1cef8aaf05184add9b029c0054eea7428597889c62c5b4
Mask-RCNN-ResNet50-FPN-v2	P2_WEEDSGALORE_MASKRCNN_H200_SEED_20260821_20260812_v1	20260821	c7c3661178f64a3fa82f1d0758f2d8f57e4d8f20674ff3eec272aea852abec7f	f0d7d8409d2270b94ccd857d213b806517e9142390db39da373206f09769c237	3651d7438d7ecd5b8b2733116403bf3795d3294da48988642735afd0c739c771
Mask-RCNN-ResNet50-FPN-v2	P2_WEEDSGALORE_MASKRCNN_H200_SEED_20260822_20260812_v1	20260822	91264ed22188acb839bfb0ccbb9e9308b38371621d6d538e894b9d57552d3a72	1cb7a06ab3c381d71879aca15bbe580c21a708b4867833b1dc7c71823b5c5bb6	5905794f45fc51d4192f6ebfa26814707061d1734b932061d0cc193cde0c8b9a
