model	metric	estimate	ci95_low	ci95_high	cluster_unit	clusters	bootstrap_replicates
ResNet18-UNet	all_candidate_precision	0.7168326584811308	0.6003370649712121	0.8219374896710017	image	26	10000
ResNet18-UNet	many_to_one_spatial_recall	0.2668224299065421	0.2276951902738409	0.31071105594045034	image	26	10000
ResNet18-UNet	many_to_one_role_qualified_recall	0.24684579439252335	0.20846057745818877	0.28754614629356895	image	26	10000
ResNet18-UNet	one_to_one_role_qualified_recall	0.20268691588785046	0.17297161755536883	0.23647802753176744	image	26	10000
ResNet18-UNet	crop_overlap_scene_frequency	0.24615384615384617	0.1	0.4076923076923077	image	26	10000
ResNet18-UNet	mean_candidates_per_image	19.684615384615388	19.230769230769234	20.0	image	26	10000
DeepLabV3Plus-ResNet50	all_candidate_precision	0.6831539952090241	0.5674404131651689	0.7897435897435897	image	26	10000
DeepLabV3Plus-ResNet50	many_to_one_spatial_recall	0.2710280373831776	0.2314933161225248	0.3159168222955639	image	26	10000
DeepLabV3Plus-ResNet50	many_to_one_role_qualified_recall	0.24201713395638627	0.20103063346539207	0.28592133594835295	image	26	10000
DeepLabV3Plus-ResNet50	one_to_one_role_qualified_recall	0.19236760124610588	0.16386936371929367	0.22397976881991027	image	26	10000
DeepLabV3Plus-ResNet50	crop_overlap_scene_frequency	0.2435897435897436	0.08974358974358976	0.4102564102564103	image	26	10000
DeepLabV3Plus-ResNet50	mean_candidates_per_image	19.705128205128204	19.25641025641026	20.0	image	26	10000
Mask-RCNN-ResNet50-FPN-v2	all_candidate_precision	0.7891025641025641	0.673076923076923	0.8897435897435898	image	26	10000
Mask-RCNN-ResNet50-FPN-v2	many_to_one_spatial_recall	0.24143302180685358	0.21045715438073964	0.27767476209253034	image	26	10000
Mask-RCNN-ResNet50-FPN-v2	many_to_one_role_qualified_recall	0.22585669781931464	0.19642534266387743	0.259122931760879	image	26	10000
Mask-RCNN-ResNet50-FPN-v2	one_to_one_role_qualified_recall	0.21592679127725858	0.18819933002719708	0.24733779215810353	image	26	10000
Mask-RCNN-ResNet50-FPN-v2	crop_overlap_scene_frequency	0.23076923076923075	0.11538461538461538	0.35897435897435903	image	26	10000
Mask-RCNN-ResNet50-FPN-v2	mean_candidates_per_image	20.0	20.0	20.0	image	26	10000
