panel	variant	metric	estimate	ci95_low	ci95_high	cluster_unit	clusters	bootstrap_replicates	contrast	requested_k	images	weed_instances	accepted_candidates	mean_candidates_per_image	all_candidate_precision	many_to_one_spatial_recall	many_to_one_role_qualified_recall	one_to_one_role_qualified_recall	crop_overlap_scene_frequency
b	original_T095_A032	all_candidate_precision	0.5859872611464968	0.44303729413366	0.7152091120141781	image	26	10000											
b	commissioned_T070_A032	all_candidate_precision	0.5180467091295117	0.38311464911235554	0.6463654223968566	image	26	10000											
b	original_T095_A032	many_to_one_spatial_recall	0.1875	0.11663459911076143	0.27468526757739065	image	26	10000											
b	commissioned_T070_A032	many_to_one_spatial_recall	0.2692757009345794	0.18161550403283178	0.37523246117237125	image	26	10000											
b	original_T095_A032	many_to_one_role_qualified_recall	0.11974299065420561	0.08258193279831096	0.15829512351353997	image	26	10000											
b	commissioned_T070_A032	many_to_one_role_qualified_recall	0.15712616822429906	0.10766005174368466	0.20851326341764342	image	26	10000											
b	original_T095_A032	one_to_one_role_qualified_recall	0.0969626168224299	0.06984579409212176	0.12361747026387776	image	26	10000											
b	commissioned_T070_A032	one_to_one_role_qualified_recall	0.11565420560747663	0.08482403050054106	0.14528178590039725	image	26	10000											
b	original_T095_A032	crop_overlap_scene_frequency	0.8461538461538461	0.6923076923076923	0.9615384615384616	image	26	10000											
b	commissioned_T070_A032	crop_overlap_scene_frequency	0.8846153846153846	0.7307692307692307	1.0	image	26	10000											
c		all_candidate_precision	-0.06794055201698512	-0.13839377951593856	0.006425370338681285	image	26	10000	commissioned_minus_original										
c		many_to_one_spatial_recall	0.08177570093457942	0.05601306759188835	0.10981318130219103	image	26	10000	commissioned_minus_original										
c		many_to_one_role_qualified_recall	0.03738317757009345	0.01656020839921097	0.0580363434127879	image	26	10000	commissioned_minus_original										
c		one_to_one_role_qualified_recall	0.01869158878504673	0.003162531917690525	0.03465950401667682	image	26	10000	commissioned_minus_original										
c		crop_overlap_scene_frequency	0.038461538461538436	0.0	0.11538461538461542	image	26	10000	commissioned_minus_original										
d	original_T095_A032									0	26	1712	0	0.0	0.0	0.0	0.0	0.0	0.0
d	commissioned_T070_A032									0	26	1712	0	0.0	0.0	0.0	0.0	0.0	0.0
d	original_T095_A032									1	26	1712	26	1.0	0.5	0.007009345794392523	0.005841121495327103	0.005841121495327103	0.5384615384615384
d	commissioned_T070_A032									1	26	1712	26	1.0	0.38461538461538464	0.06483644859813084	0.004672897196261682	0.004672897196261682	0.5
d	original_T095_A032									2	26	1712	52	2.0	0.5384615384615384	0.013434579439252336	0.012266355140186916	0.011682242990654205	0.6153846153846154
d	commissioned_T070_A032									2	26	1712	52	2.0	0.4807692307692308	0.0794392523364486	0.017523364485981307	0.011098130841121495	0.5769230769230769
d	original_T095_A032									3	26	1712	78	3.0	0.5384615384615384	0.018691588785046728	0.016939252336448597	0.016355140186915886	0.6538461538461539
d	commissioned_T070_A032									3	26	1712	78	3.0	0.5256410256410257	0.09287383177570094	0.028037383177570093	0.01985981308411215	0.6153846153846154
d	original_T095_A032									4	26	1712	104	4.0	0.5576923076923077	0.05841121495327103	0.02453271028037383	0.02219626168224299	0.7307692307692307
d	commissioned_T070_A032									4	26	1712	104	4.0	0.5096153846153846	0.10163551401869159	0.0344626168224299	0.02570093457943925	0.6538461538461539
d	original_T095_A032									5	26	1712	129	4.961538461538462	0.5813953488372093	0.06775700934579439	0.03387850467289719	0.026869158878504672	0.7307692307692307
d	commissioned_T070_A032									5	26	1712	129	4.961538461538462	0.5271317829457365	0.11273364485981309	0.04380841121495327	0.03329439252336448	0.6538461538461539
d	original_T095_A032									6	26	1712	154	5.923076923076923	0.5909090909090909	0.07301401869158879	0.037967289719626166	0.030373831775700934	0.7307692307692307
d	commissioned_T070_A032									6	26	1712	154	5.923076923076923	0.525974025974026	0.12558411214953272	0.054906542056074766	0.0397196261682243	0.6923076923076923
d	original_T095_A032									7	26	1712	179	6.884615384615385	0.5810055865921788	0.0969626168224299	0.04322429906542056	0.0344626168224299	0.8076923076923077
d	commissioned_T070_A032									7	26	1712	179	6.884615384615385	0.5363128491620112	0.13960280373831777	0.06366822429906542	0.0455607476635514	0.7692307692307693
d	original_T095_A032									8	26	1712	204	7.846153846153846	0.5833333333333334	0.10514018691588785	0.0514018691588785	0.0397196261682243	0.8076923076923077
d	commissioned_T070_A032									8	26	1712	204	7.846153846153846	0.5196078431372549	0.14953271028037382	0.07067757009345794	0.05081775700934579	0.7692307692307693
d	original_T095_A032									9	26	1712	229	8.807692307692308	0.5676855895196506	0.11273364485981309	0.05841121495327103	0.04322429906542056	0.8461538461538461
d	commissioned_T070_A032									9	26	1712	229	8.807692307692308	0.5152838427947598	0.1582943925233645	0.07710280373831775	0.0566588785046729	0.8461538461538461
d	original_T095_A032									10	26	1712	254	9.76923076923077	0.5748031496062992	0.1191588785046729	0.06483644859813084	0.04964953271028037	0.8461538461538461
d	commissioned_T070_A032									10	26	1712	254	9.76923076923077	0.515748031496063	0.16822429906542055	0.08411214953271028	0.06366822429906542	0.8461538461538461
d	original_T095_A032									11	26	1712	279	10.73076923076923	0.5734767025089605	0.12558411214953272	0.07067757009345794	0.055490654205607476	0.8461538461538461
d	commissioned_T070_A032									11	26	1712	279	10.73076923076923	0.5089605734767025	0.17815420560747663	0.09170560747663552	0.0683411214953271	0.8461538461538461
d	original_T095_A032									12	26	1712	303	11.653846153846153	0.5775577557755776	0.1314252336448598	0.07651869158878505	0.06074766355140187	0.8461538461538461
d	commissioned_T070_A032									12	26	1712	303	11.653846153846153	0.5016501650165016	0.18516355140186916	0.0969626168224299	0.07301401869158879	0.8461538461538461
d	original_T095_A032									13	26	1712	327	12.576923076923077	0.581039755351682	0.1366822429906542	0.08119158878504673	0.06483644859813084	0.8461538461538461
d	commissioned_T070_A032									13	26	1712	327	12.576923076923077	0.5045871559633027	0.19450934579439252	0.10630841121495327	0.08002336448598131	0.8461538461538461
d	original_T095_A032									14	26	1712	350	13.461538461538462	0.58	0.1419392523364486	0.08644859813084112	0.06950934579439252	0.8461538461538461
d	commissioned_T070_A032									14	26	1712	350	13.461538461538462	0.5085714285714286	0.20677570093457945	0.11682242990654206	0.0852803738317757	0.8461538461538461
d	original_T095_A032									15	26	1712	371	14.26923076923077	0.5822102425876011	0.14544392523364486	0.08995327102803738	0.07301401869158879	0.8461538461538461
