ranker_scheme	variant	instance_coverage	candidate_labeled_coverage	same_role_purity	accepted_candidates	candidate_precision	spatial_recall	set_coverage_recall	one_to_one_recall	crop_exposure_scene_frequency_at_0.00	crop_exposure_scene_frequency_at_0.01	crop_exposure_scene_frequency_at_0.10	proposal_set_coverage_ceiling	per_tile_K20_oracle_one_to_one_recall
commissioned_only_shared	original	0.25	0.25	0.5	471.0	0.6220806794055201	0.24766355140186916	0.24007009345794392	0.14485981308411214	0.8461538461538461	0.8461538461538461	0.8461538461538461	0.3621495327102804	0.1699766355140187
commissioned_only_shared	commissioned	0.25	0.25	0.5	471.0	0.643312101910828	0.29380841121495327	0.28329439252336447	0.1647196261682243	0.8846153846153846	0.8846153846153846	0.8846153846153846	0.5309579439252337	0.20794392523364486
commissioned_only_shared	original	0.25	0.25	0.75	471.0	0.6178343949044586	0.24766355140186916	0.21261682242990654	0.14369158878504673	0.8461538461538461	0.8461538461538461	0.8461538461538461	0.33119158878504673	0.169392523364486
commissioned_only_shared	commissioned	0.25	0.25	0.75	471.0	0.6305732484076433	0.29380841121495327	0.2488317757009346	0.16121495327102803	0.8846153846153846	0.8846153846153846	0.8846153846153846	0.49065420560747663	0.20735981308411214
commissioned_only_shared	original	0.25	0.25	0.9	471.0	0.613588110403397	0.24766355140186916	0.17815420560747663	0.1425233644859813	0.8461538461538461	0.8461538461538461	0.8461538461538461	0.2932242990654206	0.16880841121495327
commissioned_only_shared	commissioned	0.25	0.25	0.9	471.0	0.6263269639065817	0.29380841121495327	0.20852803738317757	0.16004672897196262	0.8846153846153846	0.8846153846153846	0.8846153846153846	0.4503504672897196	0.20619158878504673
commissioned_only_shared	original	0.25	0.5	0.5	471.0	0.5944798301486199	0.24766355140186916	0.2336448598130841	0.13901869158878505	0.8461538461538461	0.8461538461538461	0.8461538461538461	0.3492990654205608	0.16355140186915887
commissioned_only_shared	commissioned	0.25	0.5	0.5	471.0	0.535031847133758	0.29380841121495327	0.2517523364485981	0.13551401869158877	0.8846153846153846	0.8846153846153846	0.8846153846153846	0.42289719626168226	0.17757009345794392
commissioned_only_shared	original	0.25	0.5	0.75	471.0	0.5902335456475584	0.24766355140186916	0.20619158878504673	0.1378504672897196	0.8461538461538461	0.8461538461538461	0.8461538461538461	0.3183411214953271	0.16296728971962618
commissioned_only_shared	commissioned	0.25	0.5	0.75	471.0	0.5222929936305732	0.29380841121495327	0.21728971962616822	0.13200934579439252	0.8846153846153846	0.8846153846153846	0.8846153846153846	0.38259345794392524	0.17698598130841123
commissioned_only_shared	original	0.25	0.5	0.9	471.0	0.5859872611464968	0.24766355140186916	0.17172897196261683	0.1366822429906542	0.8461538461538461	0.8461538461538461	0.8461538461538461	0.2803738317757009	0.16238317757009346
commissioned_only_shared	commissioned	0.25	0.5	0.9	471.0	0.5180467091295117	0.29380841121495327	0.17698598130841123	0.1308411214953271	0.8846153846153846	0.8846153846153846	0.8846153846153846	0.3422897196261682	0.1758177570093458
commissioned_only_shared	original	0.25	0.75	0.5	471.0	0.4416135881104034	0.24766355140186916	0.1886682242990654	0.10105140186915888	0.8461538461538461	0.8461538461538461	0.8461538461538461	0.2564252336448598	0.12908878504672897
commissioned_only_shared	commissioned	0.25	0.75	0.5	471.0	0.267515923566879	0.29380841121495327	0.13376168224299065	0.06425233644859812	0.8846153846153846	0.8846153846153846	0.8846153846153846	0.19158878504672897	0.09754672897196262
commissioned_only_shared	original	0.25	0.75	0.75	471.0	0.43736730360934184	0.24766355140186916	0.16121495327102803	0.09988317757009346	0.8461538461538461	0.8461538461538461	0.8461538461538461	0.22546728971962618	0.12850467289719625
commissioned_only_shared	commissioned	0.25	0.75	0.75	471.0	0.2632696390658174	0.29380841121495327	0.12324766355140188	0.0630841121495327	0.8846153846153846	0.8846153846153846	0.8846153846153846	0.1758177570093458	0.0969626168224299
commissioned_only_shared	original	0.25	0.75	0.9	471.0	0.43312101910828027	0.24766355140186916	0.12675233644859812	0.09871495327102804	0.8461538461538461	0.8461538461538461	0.8461538461538461	0.1875	0.12792056074766356
commissioned_only_shared	commissioned	0.25	0.75	0.9	471.0	0.25902335456475584	0.29380841121495327	0.08294392523364486	0.06191588785046729	0.8846153846153846	0.8846153846153846	0.8846153846153846	0.13551401869158877	0.09579439252336448
commissioned_only_shared	original	0.5	0.25	0.5	471.0	0.6220806794055201	0.1875	0.1822429906542056	0.10455607476635514	0.8461538461538461	0.8461538461538461	0.8461538461538461	0.2651869158878505	0.1483644859813084
commissioned_only_shared	commissioned	0.5	0.25	0.5	471.0	0.643312101910828	0.2692757009345794	0.25934579439252337	0.14719626168224298	0.8846153846153846	0.8846153846153846	0.8846153846153846	0.48189252336448596	0.1985981308411215
commissioned_only_shared	original	0.5	0.25	0.75	471.0	0.6178343949044586	0.1875	0.15771028037383178	0.10338785046728972	0.8461538461538461	0.8461538461538461	0.8461538461538461	0.23773364485981308	0.14719626168224298
commissioned_only_shared	commissioned	0.5	0.25	0.75	471.0	0.6305732484076433	0.2692757009345794	0.22546728971962618	0.14369158878504673	0.8846153846153846	0.8846153846153846	0.8846153846153846	0.4427570093457944	0.19801401869158877
commissioned_only_shared	original	0.5	0.25	0.9	471.0	0.613588110403397	0.1875	0.12558411214953272	0.1022196261682243	0.8461538461538461	0.8461538461538461	0.8461538461538461	0.20210280373831777	0.14602803738317757
commissioned_only_shared	commissioned	0.5	0.25	0.9	471.0	0.6263269639065817	0.2692757009345794	0.1863317757009346	0.1425233644859813	0.8846153846153846	0.8846153846153846	0.8846153846153846	0.4036214953271028	0.19684579439252337
commissioned_only_shared	original	0.5	0.5	0.5	471.0	0.5944798301486199	0.1875	0.1764018691588785	0.09929906542056074	0.8461538461538461	0.8461538461538461	0.8461538461538461	0.2558411214953271	0.1419392523364486
commissioned_only_shared	commissioned	0.5	0.5	0.5	471.0	0.535031847133758	0.2692757009345794	0.23014018691588786	0.12032710280373832	0.8846153846153846	0.8846153846153846	0.8846153846153846	0.3808411214953271	0.16355140186915887
commissioned_only_shared	original	0.5	0.5	0.75	471.0	0.5902335456475584	0.1875	0.15186915887850466	0.09813084112149532	0.8461538461538461	0.8461538461538461	0.8461538461538461	0.2283878504672897	0.14077102803738317
commissioned_only_shared	commissioned	0.5	0.5	0.75	471.0	0.5222929936305732	0.2692757009345794	0.19626168224299065	0.11682242990654206	0.8846153846153846	0.8846153846153846	0.8846153846153846	0.34170560747663553	0.16296728971962618
commissioned_only_shared	original	0.5	0.5	0.9	471.0	0.5859872611464968	0.1875	0.11974299065420561	0.0969626168224299	0.8461538461538461	0.8461538461538461	0.8461538461538461	0.1927570093457944	0.13960280373831777
commissioned_only_shared	commissioned	0.5	0.5	0.9	471.0	0.5180467091295117	0.2692757009345794	0.15712616822429906	0.11565420560747663	0.8846153846153846	0.8846153846153846	0.8846153846153846	0.30257009345794394	0.16179906542056074
commissioned_only_shared	original	0.5	0.75	0.5	471.0	0.4416135881104034	0.1875	0.1419392523364486	0.06775700934579439	0.8461538461538461	0.8461538461538461	0.8461538461538461	0.1863317757009346	0.09404205607476636
commissioned_only_shared	commissioned	0.5	0.75	0.5	471.0	0.267515923566879	0.2692757009345794	0.12032710280373832	0.054322429906542055	0.8846153846153846	0.8846153846153846	0.8846153846153846	0.16764018691588786	0.08294392523364486
commissioned_only_shared	original	0.5	0.75	0.75	471.0	0.43736730360934184	0.1875	0.11740654205607477	0.06658878504672897	0.8461538461538461	0.8461538461538461	0.8461538461538461	0.1588785046728972	0.09228971962616822
commissioned_only_shared	commissioned	0.5	0.75	0.75	471.0	0.2632696390658174	0.2692757009345794	0.11039719626168225	0.053154205607476634	0.8846153846153846	0.8846153846153846	0.8846153846153846	0.1530373831775701	0.08177570093457943
commissioned_only_shared	original	0.5	0.75	0.9	471.0	0.43312101910828027	0.1875	0.0852803738317757	0.06542056074766354	0.8461538461538461	0.8461538461538461	0.8461538461538461	0.12324766355140188	0.0911214953271028
commissioned_only_shared	commissioned	0.5	0.75	0.9	471.0	0.25902335456475584	0.2692757009345794	0.07126168224299065	0.051985981308411214	0.8846153846153846	0.8846153846153846	0.8846153846153846	0.11390186915887851	0.08060747663551401
commissioned_only_shared	original	0.75	0.25	0.5	471.0	0.6220806794055201	0.12266355140186916	0.1191588785046729	0.05841121495327103	0.8461538461538461	0.8461538461538461	0.8461538461538461	0.15654205607476634	0.0852803738317757
