ranker_scheme	variant	instance_coverage	candidate_labeled_coverage	same_role_purity	proposal_set_coverage_ceiling	per_tile_K20_oracle_one_to_one_recall
commissioned_only_shared	original	0.25	0.25	0.5	0.3621495327102804	0.1699766355140187
commissioned_only_shared	commissioned	0.25	0.25	0.5	0.5309579439252337	0.20794392523364486
commissioned_only_shared	original	0.25	0.25	0.75	0.33119158878504673	0.169392523364486
commissioned_only_shared	commissioned	0.25	0.25	0.75	0.49065420560747663	0.20735981308411214
commissioned_only_shared	original	0.25	0.25	0.9	0.2932242990654206	0.16880841121495327
commissioned_only_shared	commissioned	0.25	0.25	0.9	0.4503504672897196	0.20619158878504673
commissioned_only_shared	original	0.25	0.5	0.5	0.3492990654205608	0.16355140186915887
commissioned_only_shared	commissioned	0.25	0.5	0.5	0.42289719626168226	0.17757009345794392
commissioned_only_shared	original	0.25	0.5	0.75	0.3183411214953271	0.16296728971962618
commissioned_only_shared	commissioned	0.25	0.5	0.75	0.38259345794392524	0.17698598130841123
commissioned_only_shared	original	0.25	0.5	0.9	0.2803738317757009	0.16238317757009346
commissioned_only_shared	commissioned	0.25	0.5	0.9	0.3422897196261682	0.1758177570093458
commissioned_only_shared	original	0.25	0.75	0.5	0.2564252336448598	0.12908878504672897
commissioned_only_shared	commissioned	0.25	0.75	0.5	0.19158878504672897	0.09754672897196262
commissioned_only_shared	original	0.25	0.75	0.75	0.22546728971962618	0.12850467289719625
commissioned_only_shared	commissioned	0.25	0.75	0.75	0.1758177570093458	0.0969626168224299
commissioned_only_shared	original	0.25	0.75	0.9	0.1875	0.12792056074766356
commissioned_only_shared	commissioned	0.25	0.75	0.9	0.13551401869158877	0.09579439252336448
commissioned_only_shared	original	0.5	0.25	0.5	0.2651869158878505	0.1483644859813084
commissioned_only_shared	commissioned	0.5	0.25	0.5	0.48189252336448596	0.1985981308411215
commissioned_only_shared	original	0.5	0.25	0.75	0.23773364485981308	0.14719626168224298
commissioned_only_shared	commissioned	0.5	0.25	0.75	0.4427570093457944	0.19801401869158877
commissioned_only_shared	original	0.5	0.25	0.9	0.20210280373831777	0.14602803738317757
commissioned_only_shared	commissioned	0.5	0.25	0.9	0.4036214953271028	0.19684579439252337
commissioned_only_shared	original	0.5	0.5	0.5	0.2558411214953271	0.1419392523364486
commissioned_only_shared	commissioned	0.5	0.5	0.5	0.3808411214953271	0.16355140186915887
commissioned_only_shared	original	0.5	0.5	0.75	0.2283878504672897	0.14077102803738317
commissioned_only_shared	commissioned	0.5	0.5	0.75	0.34170560747663553	0.16296728971962618
commissioned_only_shared	original	0.5	0.5	0.9	0.1927570093457944	0.13960280373831777
commissioned_only_shared	commissioned	0.5	0.5	0.9	0.30257009345794394	0.16179906542056074
commissioned_only_shared	original	0.5	0.75	0.5	0.1863317757009346	0.09404205607476636
commissioned_only_shared	commissioned	0.5	0.75	0.5	0.16764018691588786	0.08294392523364486
commissioned_only_shared	original	0.5	0.75	0.75	0.1588785046728972	0.09228971962616822
commissioned_only_shared	commissioned	0.5	0.75	0.75	0.1530373831775701	0.08177570093457943
commissioned_only_shared	original	0.5	0.75	0.9	0.12324766355140188	0.0911214953271028
commissioned_only_shared	commissioned	0.5	0.75	0.9	0.11390186915887851	0.08060747663551401
commissioned_only_shared	original	0.75	0.25	0.5	0.15654205607476634	0.0852803738317757
commissioned_only_shared	commissioned	0.75	0.25	0.5	0.370911214953271	0.1822429906542056
commissioned_only_shared	original	0.75	0.25	0.75	0.13551401869158877	0.08235981308411215
commissioned_only_shared	commissioned	0.75	0.25	0.75	0.33703271028037385	0.1810747663551402
commissioned_only_shared	original	0.75	0.25	0.9	0.102803738317757	0.08060747663551401
commissioned_only_shared	commissioned	0.75	0.25	0.9	0.3014018691588785	0.18049065420560748
commissioned_only_shared	original	0.75	0.5	0.5	0.15070093457943926	0.08002336448598131
commissioned_only_shared	commissioned	0.75	0.5	0.5	0.29205607476635514	0.1413551401869159
commissioned_only_shared	original	0.75	0.5	0.75	0.12967289719626168	0.07710280373831775
commissioned_only_shared	commissioned	0.75	0.5	0.75	0.25817757009345793	0.13960280373831777
commissioned_only_shared	original	0.75	0.5	0.9	0.0969626168224299	0.07535046728971963
commissioned_only_shared	commissioned	0.75	0.5	0.9	0.22254672897196262	0.13901869158878505
commissioned_only_shared	original	0.75	0.75	0.5	0.11098130841121495	0.04672897196261682
commissioned_only_shared	commissioned	0.75	0.75	0.5	0.11740654205607477	0.04906542056074766
commissioned_only_shared	original	0.75	0.75	0.75	0.08995327102803738	0.04380841121495327
commissioned_only_shared	commissioned	0.75	0.75	0.75	0.10514018691588785	0.04731308411214953
commissioned_only_shared	original	0.75	0.75	0.9	0.05724299065420561	0.04205607476635514
commissioned_only_shared	commissioned	0.75	0.75	0.9	0.06950934579439252	0.04672897196261682
original_only_shared	original	0.25	0.25	0.5	0.3621495327102804	0.1699766355140187
original_only_shared	commissioned	0.25	0.25	0.5	0.5309579439252337	0.20794392523364486
