model	seed	file	date	weed_instances	crop_instances	candidates	accepted_candidates	eligible_weed_candidates	all_candidate_precision	many_to_one_spatial_recalled	many_to_one_role_qualified_recalled	one_to_one_role_qualified_recalled	crop_overlap_scene	maximum_crop_fraction
deeplabv3plus	20260820	2023-05-25_0109	2023-05-25	17	5	17	17	1	0.058823529411764705	5	1	1	1	0.669683257918552
deeplabv3plus	20260820	2023-05-25_0114	2023-05-25	17	11	20	20	6	0.3	6	5	5	1	0.9230769230769231
deeplabv3plus	20260820	2023-05-25_0170	2023-05-25	16	10	20	20	2	0.1	2	1	1	1	0.795774647887324
deeplabv3plus	20260820	2023-05-25_0183	2023-05-25	9	10	17	17	2	0.11764705882352941	3	2	2	1	0.7236180904522613
deeplabv3plus	20260820	2023-05-25_0681	2023-05-25	69	25	40	20	10	0.5	16	11	10	1	0.6883116883116883
deeplabv3plus	20260820	2023-05-25_0685	2023-05-25	114	23	57	20	19	0.95	23	22	19	0	0.0
deeplabv3plus	20260820	2023-05-25_0750	2023-05-25	74	13	30	20	11	0.55	13	11	10	1	0.7545126353790613
deeplabv3plus	20260820	2023-05-25_0786	2023-05-25	76	25	47	20	15	0.75	18	13	13	1	0.029850746268656716
deeplabv3plus	20260820	2023-05-30_0039	2023-05-30	43	0	27	20	9	0.45	17	7	7	0	0.0
deeplabv3plus	20260820	2023-05-30_0044	2023-05-30	46	11	50	20	15	0.75	17	14	14	0	0.0
deeplabv3plus	20260820	2023-05-30_0099	2023-05-30	52	1	45	20	14	0.7	12	10	10	0	0.0
deeplabv3plus	20260820	2023-05-30_0114	2023-05-30	35	5	35	20	9	0.45	18	10	9	0	0.0
deeplabv3plus	20260820	2023-05-30_0649	2023-05-30	93	6	77	20	20	1.0	24	24	20	0	0.0
deeplabv3plus	20260820	2023-05-30_0652	2023-05-30	55	5	46	20	16	0.8	21	20	16	0	0.0
deeplabv3plus	20260820	2023-05-30_0720	2023-05-30	49	13	55	20	20	1.0	24	24	20	0	0.0
deeplabv3plus	20260820	2023-05-30_0750	2023-05-30	67	14	64	20	20	1.0	23	23	20	0	0.0
deeplabv3plus	20260820	2023-06-06_0161	2023-06-06	101	10	89	20	20	1.0	20	20	17	0	0.0
deeplabv3plus	20260820	2023-06-06_0166	2023-06-06	76	0	77	20	11	0.55	23	14	11	0	0.0
deeplabv3plus	20260820	2023-06-06_0176	2023-06-06	150	7	96	20	17	0.85	21	20	17	0	0.0
deeplabv3plus	20260820	2023-06-06_0231	2023-06-06	65	8	59	20	17	0.85	20	18	16	0	0.0
deeplabv3plus	20260820	2023-06-06_0667	2023-06-06	95	11	49	20	17	0.85	24	24	17	0	0.0
deeplabv3plus	20260820	2023-06-06_0670	2023-06-06	96	11	57	20	19	0.95	32	32	19	0	0.0
deeplabv3plus	20260820	2023-06-06_0736	2023-06-06	69	11	41	20	20	1.0	34	34	19	0	0.0
deeplabv3plus	20260820	2023-06-06_0770	2023-06-06	74	10	53	20	20	1.0	26	26	20	0	0.0
deeplabv3plus	20260820	2023-06-15_0169	2023-06-15	80	4	32	20	16	0.8	27	27	16	0	0.0
deeplabv3plus	20260820	2023-06-15_0735	2023-06-15	74	7	28	20	6	0.3	4	4	4	0	0.0
deeplabv3plus	20260821	2023-05-25_0109	2023-05-25	17	5	13	13	1	0.07692307692307693	4	0	0	1	0.7628865979381443
deeplabv3plus	20260821	2023-05-25_0114	2023-05-25	17	11	20	20	8	0.4	6	6	6	1	0.8490566037735849
deeplabv3plus	20260821	2023-05-25_0170	2023-05-25	16	10	21	20	2	0.1	1	1	1	1	0.7393617021276596
deeplabv3plus	20260821	2023-05-25_0183	2023-05-25	9	10	17	17	3	0.17647058823529413	3	3	3	1	0.7285714285714285
deeplabv3plus	20260821	2023-05-25_0681	2023-05-25	69	25	39	20	11	0.55	13	9	8	1	0.6891891891891891
deeplabv3plus	20260821	2023-05-25_0685	2023-05-25	114	23	57	20	17	0.85	20	19	17	0	0.0
deeplabv3plus	20260821	2023-05-25_0750	2023-05-25	74	13	30	20	12	0.6	11	10	9	1	0.8376623376623377
deeplabv3plus	20260821	2023-05-25_0786	2023-05-25	76	25	47	20	17	0.85	17	15	15	0	0.0
deeplabv3plus	20260821	2023-05-30_0039	2023-05-30	43	0	35	20	5	0.25	16	5	5	0	0.0
deeplabv3plus	20260821	2023-05-30_0044	2023-05-30	46	11	51	20	15	0.75	17	14	14	0	0.0
deeplabv3plus	20260821	2023-05-30_0099	2023-05-30	52	1	45	20	16	0.8	16	14	14	0	0.0
deeplabv3plus	20260821	2023-05-30_0114	2023-05-30	35	5	35	20	13	0.65	16	12	11	0	0.0
deeplabv3plus	20260821	2023-05-30_0649	2023-05-30	93	6	78	20	20	1.0	23	23	19	0	0.0
deeplabv3plus	20260821	2023-05-30_0652	2023-05-30	55	5	45	20	18	0.9	19	19	17	0	0.0
deeplabv3plus	20260821	2023-05-30_0720	2023-05-30	49	13	53	20	19	0.95	24	24	19	0	0.0
deeplabv3plus	20260821	2023-05-30_0750	2023-05-30	67	14	66	20	20	1.0	22	22	20	0	0.0
deeplabv3plus	20260821	2023-06-06_0161	2023-06-06	101	10	82	20	19	0.95	24	23	17	0	0.0
deeplabv3plus	20260821	2023-06-06_0166	2023-06-06	76	0	81	20	11	0.55	15	10	10	0	0.0
deeplabv3plus	20260821	2023-06-06_0176	2023-06-06	150	7	95	20	17	0.85	24	21	17	0	0.0
deeplabv3plus	20260821	2023-06-06_0231	2023-06-06	65	8	59	20	15	0.75	24	20	14	0	0.0
