seed	endpoint	bin_index	bin_lower	bin_upper	pixels	mean_predicted_probability	observed_positive_fraction
20260810	plant	0	0.0	0.05	21600000	0.007184004118798507	0.054958842592592594
20260810	weed	0	0.0	0.05	21600000	0.004060211304203364	0.04292097222222222
20260811	plant	0	0.0	0.05	21434862	0.011124419127248607	0.05535757589668643
20260811	plant	1	0.05	0.1	98066	0.06471537120534368	0.0027940366691819795
20260811	plant	2	0.1	0.15000000000000002	35635	0.12802789329194547	0.0038445348674056405
20260811	plant	3	0.15000000000000002	0.2	27854	0.1690960082395289	0.004164572413297911
20260811	plant	4	0.2	0.25	3583	0.20568894616325842	0.0005581914596706671
20260811	weed	0	0.0	0.05	21475371	0.007392841992417419	0.04315161772991023
20260811	weed	1	0.05	0.1	61359	0.06249181065224455	0.0022979514007725028
20260811	weed	2	0.1	0.15000000000000002	55489	0.12289210333962339	0.004469354286435149
20260811	weed	3	0.15000000000000002	0.2	7735	0.17060316985433305	0.0009049773755656109
20260811	weed	4	0.2	0.25	46	0.20287996077019235	0.0
20260812	plant	0	0.0	0.05	21599818	0.009521957348916829	0.054959305675631155
20260812	plant	1	0.05	0.1	182	0.05687948995894128	0.0
20260812	weed	0	0.0	0.05	21599998	0.007411526842317121	0.042920976196386684
20260812	weed	1	0.05	0.1	2	0.05133580602705479	0.0
20260813	plant	0	0.0	0.05	21388685	0.023874823217912237	0.0555018225758152
20260813	plant	1	0.05	0.1	206510	0.05457257272735253	0.0
20260813	plant	2	0.1	0.15000000000000002	3471	0.11228200373406438	0.0
20260813	plant	3	0.15000000000000002	0.2	1231	0.172538479298329	0.0
20260813	plant	4	0.2	0.25	103	0.20800535134898807	0.0
20260813	weed	0	0.0	0.05	21575459	0.014350772704830914	0.04296979267045953
20260813	weed	1	0.05	0.1	22029	0.0624357334015681	0.0
20260813	weed	2	0.1	0.15000000000000002	1641	0.12232970392318995	0.0
20260813	weed	3	0.15000000000000002	0.2	871	0.16589226324782716	0.0
20260814	plant	0	0.0	0.05	21600000	0.00961169918315554	0.054958842592592594
20260814	weed	0	0.0	0.05	21600000	0.004033225185854594	0.04292097222222222
