model	seed	checkpoint	checkpoint_sha256	validation_selected_threshold	validation_selected_minimum_area	test_inference_seconds	test_peak_gpu_memory_bytes
ResNet18--U-Net	20260810	results/p2_development/P2_WEEDSGALORE_TARGET_SEMANTIC_H200_SEED_20260810_20260812_v1/best_validation_queue.pt	f21d828d6bb49fbfd8f91e55dfce95e3d704bbd6860c0ec718119eba37c061fb	0.5	16	1.326369903050363	329473024
ResNet18--U-Net	20260811	results/p2_development/P2_WEEDSGALORE_TARGET_SEMANTIC_H200_SEED_20260811_20260812_v1/best_validation_queue.pt	4c40277a53bffdac818d4347a0d6afa76c00dfe350f2dcdbbdd014905110628f	0.7	16	0.9663379387930036	329473024
ResNet18--U-Net	20260812	results/p2_development/P2_WEEDSGALORE_TARGET_SEMANTIC_H200_SEED_20260812_20260812_v1/best_validation_queue.pt	a8f73b22c27f5e1b2429c2d03fd0891e2d6cc572c70716029140745b0392053b	0.3	16	0.957078623585403	329473024
ResNet18--U-Net	20260813	results/p2_development/P2_WEEDSGALORE_TARGET_SEMANTIC_H200_SEED_20260813_20260812_v1/best_validation_queue.pt	3e5e949b27c2e69a8262a11e4fc0c5a0a2892b1a4c8c894a410c5fd498c24943	0.5	16	0.9641398442909122	329473024
ResNet18--U-Net	20260814	results/p2_development/P2_WEEDSGALORE_TARGET_SEMANTIC_H200_SEED_20260814_20260812_v1/best_validation_queue.pt	40008b291a61424edc26e0aa165de20f49dbfbaf8e1f85d2de646b97e6244b10	0.5	16	0.9787002382799983	329473024
DeepLabV3+--ResNet50	20260820	results/p2_development/P2_WEEDSGALORE_DEEPLABV3PLUS_H200_SEED_20260820_20260812_v2/best_validation_queue.pt	fb77ac52173d8eb5b9f901135c03a8bf846af3a8d12c15adb5cb3e5d0c056dc6	0.3	16	1.0932618854567409	409217536
DeepLabV3+--ResNet50	20260821	results/p2_development/P2_WEEDSGALORE_DEEPLABV3PLUS_H200_SEED_20260821_20260812_v1/best_validation_queue.pt	580c19c6b429b935190b52955cbb2b723eed08f87cade418b4c68c2357090434	0.5	16	0.9952135914936662	409217536
DeepLabV3+--ResNet50	20260822	results/p2_development/P2_WEEDSGALORE_DEEPLABV3PLUS_H200_SEED_20260822_20260812_v1/best_validation_queue.pt	a5de54bee9842462562ae16059056261339b5abeb81aad8b601c918c434d43b4	0.5	16	0.9956617830321193	409217536
Mask R-CNN--ResNet50-FPN-v2	20260820	results/p2_development/P2_WEEDSGALORE_MASKRCNN_H200_SEED_20260820_20260812_v1/best_validation_queue.pt	75481f5e21585bb32e1cef8aaf05184add9b029c0054eea7428597889c62c5b4	0.0	0	2.6044429410248995	966280192
Mask R-CNN--ResNet50-FPN-v2	20260821	results/p2_development/P2_WEEDSGALORE_MASKRCNN_H200_SEED_20260821_20260812_v1/best_validation_queue.pt	3651d7438d7ecd5b8b2733116403bf3795d3294da48988642735afd0c739c771	0.0	0	2.18651220574975	971920896
Mask R-CNN--ResNet50-FPN-v2	20260822	results/p2_development/P2_WEEDSGALORE_MASKRCNN_H200_SEED_20260822_20260812_v1/best_validation_queue.pt	5905794f45fc51d4192f6ebfa26814707061d1734b932061d0cc193cde0c8b9a	0.0	0	2.017868566326797	971539456
