model	seed	instance_coverage	candidate_labeled_coverage	same_role_purity	weed_instances	accepted_candidates	candidate_precision	spatial_recall	set_coverage_recall	one_to_one_recall	crop_exposure_scene_frequency_at_0.00	crop_exposure_scene_frequency_at_0.01	crop_exposure_scene_frequency_at_0.10
DeepLabV3+--ResNet50	20260820	0.25	0.25	0.5	1712	514	0.7859922178988327	0.2885514018691589	0.286214953271028	0.231892523364486	0.2692307692307692	0.2692307692307692	0.23076923076923078
DeepLabV3+--ResNet50	20260820	0.25	0.25	0.75	1712	514	0.7859922178988327	0.2885514018691589	0.286214953271028	0.231892523364486	0.2692307692307692	0.2692307692307692	0.23076923076923078
DeepLabV3+--ResNet50	20260820	0.25	0.25	0.9	1712	514	0.7859922178988327	0.2885514018691589	0.286214953271028	0.231892523364486	0.2692307692307692	0.2692307692307692	0.23076923076923078
DeepLabV3+--ResNet50	20260820	0.25	0.5	0.5	1712	514	0.6848249027237354	0.2885514018691589	0.25292056074766356	0.20151869158878505	0.2692307692307692	0.2692307692307692	0.23076923076923078
DeepLabV3+--ResNet50	20260820	0.25	0.5	0.75	1712	514	0.6848249027237354	0.2885514018691589	0.25292056074766356	0.20151869158878505	0.2692307692307692	0.2692307692307692	0.23076923076923078
DeepLabV3+--ResNet50	20260820	0.25	0.5	0.9	1712	514	0.6848249027237354	0.2885514018691589	0.25292056074766356	0.20151869158878505	0.2692307692307692	0.2692307692307692	0.23076923076923078
DeepLabV3+--ResNet50	20260820	0.25	0.75	0.5	1712	514	0.2529182879377432	0.2885514018691589	0.102803738317757	0.0741822429906542	0.2692307692307692	0.2692307692307692	0.23076923076923078
DeepLabV3+--ResNet50	20260820	0.25	0.75	0.75	1712	514	0.2529182879377432	0.2885514018691589	0.102803738317757	0.0741822429906542	0.2692307692307692	0.2692307692307692	0.23076923076923078
DeepLabV3+--ResNet50	20260820	0.25	0.75	0.9	1712	514	0.2529182879377432	0.2885514018691589	0.102803738317757	0.0741822429906542	0.2692307692307692	0.2692307692307692	0.23076923076923078
DeepLabV3+--ResNet50	20260820	0.5	0.25	0.5	1712	514	0.7859922178988327	0.276285046728972	0.27453271028037385	0.22371495327102803	0.2692307692307692	0.2692307692307692	0.23076923076923078
DeepLabV3+--ResNet50	20260820	0.5	0.25	0.75	1712	514	0.7859922178988327	0.276285046728972	0.27453271028037385	0.22371495327102803	0.2692307692307692	0.2692307692307692	0.23076923076923078
DeepLabV3+--ResNet50	20260820	0.5	0.25	0.9	1712	514	0.7859922178988327	0.276285046728972	0.27453271028037385	0.22371495327102803	0.2692307692307692	0.2692307692307692	0.23076923076923078
