model	seed	weed_instances	weed_predictions_max100_per_image	mAP_IoU_0.50_0.95	AP_IoU_0.50	AP_IoU_0.75	AR100_IoU_0.50_0.95	AR100_IoU_0.50	AR100_IoU_0.75	queue_AR20_IoU_0.50_0.95	queue_AR20_IoU_0.50	queue_AR20_IoU_0.75	queue_PQ_style	queue_SQ_style	queue_RQ_style	queue_PQ_TP	queue_PQ_FP	queue_PQ_FN
ResNet18--U-Net	20260810	1712	1008	0.08220572549396216	0.25814720815816183	0.034099217331092085	0.1185747663551402	0.32009345794392524	0.0689252336448598	0.07009345794392523	0.1711448598130841	0.04731308411214953	0.18287578367258342	0.6804607498639106	0.26875287620800736	292	169	1420
ResNet18--U-Net	20260811	1712	973	0.08205974156533706	0.24346504737348523	0.037020749901564606	0.12225467289719627	0.3189252336448598	0.07359813084112149	0.06705607476635514	0.1582943925233645	0.04614485981308411	0.17049560369267663	0.6893258583754474	0.24733672996757758	267	180	1445
ResNet18--U-Net	20260812	1712	1191	0.08721399772553641	0.2823934990481501	0.027148968147001816	0.13627336448598132	0.3644859813084112	0.07768691588785047	0.07137850467289719	0.1758177570093458	0.0455607476635514	0.18092852742803464	0.68063588889594	0.26582278481012656	294	206	1418
ResNet18--U-Net	20260813	1712	1063	0.09075012739106944	0.27254678131793425	0.04476248182675076	0.13393691588785045	0.35514018691588783	0.08119158878504673	0.07213785046728972	0.16822429906542055	0.051985981308411214	0.1798274569982866	0.6920824313349551	0.2598353156450137	284	190	1428
ResNet18--U-Net	20260814	1712	1110	0.08425322563412643	0.25166696840584873	0.04430616303883788	0.13528037383177569	0.3475467289719626	0.09345794392523364	0.06898364485981309	0.16238317757009346	0.04964953271028037	0.1722258591455457	0.689216574507902	0.24988641526578828	275	214	1437
DeepLabV3+--ResNet50	20260820	1712	1026	0.0495881615195918	0.19433084791789676	0.007403336253576351	0.1020443925233645	0.29906542056074764	0.05081775700934579	0.05262850467289719	0.14953271028037382	0.027453271028037383	0.1487687869318434	0.6533925122046562	0.22768670309653916	250	234	1462
DeepLabV3+--ResNet50	20260821	1712	1023	0.052622077288649274	0.19938542797107212	0.01318994498355324	0.10572429906542055	0.3002336448598131	0.053738317757009345	0.0522196261682243	0.14077102803738317	0.029789719626168224	0.14427568690091291	0.6616676985392708	0.2180485570316079	238	233	1474
DeepLabV3+--ResNet50	20260822	1712	1036	0.047463590541891906	0.18743025263476523	0.00724181870029951	0.0951518691588785	0.28563084112149534	0.04088785046728972	0.05017523364485982	0.1466121495327103	0.02336448598130841	0.14604014150337546	0.648311802260936	0.22526219790241678	247	234	1465
Mask R-CNN--ResNet50-FPN-v2	20260820	1712	1901	0.11282174804028369	0.3339871364680668	0.0542499335450667	0.1542056074766355	0.4036214953271028	0.09871495327102804	0.0808411214953271	0.19042056074766356	0.06366822429906542	0.1983310221762676	0.6895246752296406	0.28763440860215056	321	199	1391
Mask R-CNN--ResNet50-FPN-v2	20260821	1712	1878	0.09712800844763476	0.290351735783602	0.051584279023775	0.13656542056074766	0.3598130841121495	0.08878504672897196	0.07248831775700935	0.17698598130841123	0.05841121495327103	0.1838169413990712	0.6792705516601439	0.27060931899641577	302	218	1410
Mask R-CNN--ResNet50-FPN-v2	20260822	1712	1819	0.10936968553053332	0.3324126616029699	0.04890442085216527	0.1540303738317757	0.4077102803738318	0.10046728971962617	0.08113317757009346	0.19100467289719625	0.06191588785046729	0.198721969676317	0.6908838571924292	0.28763440860215056	321	199	1391
