panel	seed	images	image_macro_plant_pixel_auc	image_sample_sd_plant_pixel_auc	image_macro_plant_pixel_ap	image_sample_sd_plant_pixel_ap	image_macro_plant_pixel_brier	image_sample_sd_plant_pixel_brier	image_macro_weed_pixel_auc	image_sample_sd_weed_pixel_auc	image_macro_weed_pixel_ap	image_sample_sd_weed_pixel_ap	image_macro_weed_pixel_brier	image_sample_sd_weed_pixel_brier	image_macro_conditional_crop_vs_weed_auc_on_labeled_plant_pixels	image_sample_sd_conditional_crop_vs_weed_auc_on_labeled_plant_pixels	image_macro_conditional_crop_vs_weed_ap_on_labeled_plant_pixels	image_sample_sd_conditional_crop_vs_weed_ap_on_labeled_plant_pixels	image_macro_maximum_class_probability_q50	image_sample_sd_maximum_class_probability_q50	image_macro_foreground_probability_q99	image_sample_sd_foreground_probability_q99	image_macro_foreground_probability_max	image_sample_sd_foreground_probability_max	image_macro_weed_probability_q99	image_sample_sd_weed_probability_q99	image_macro_weed_probability_max	image_sample_sd_weed_probability_max	locked_validation_threshold	locked_images_with_any_candidate	one_sided_95_binomial_upper_for_image_candidate_probability	diagnostic_threshold	weed_components	candidates	accepted_candidates	images_with_any_candidate	candidate_precision	spatial_recall	qualified_set_coverage_recall	one_to_one_recall	crop_exposure_image_frequency
a-c	20260810	60	0.3870544183343666	0.05940191342950333	0.04382978087302923	0.022799212836890678	0.05426489900176724	0.02831540913596447	0.32511942318165865	0.09614811430518005	0.03233192476346225	0.020267127815216085	0.042618031869490855	0.02761580683687157	0.426308977791588	0.19740272011614474	0.7410398031035097	0.16888541713453908	0.9933338761329651	0.0	0.013106988867123921	1.6581077113738537e-05	0.01844102640946706	0.00015702457351788893	0.007521984058742722	2.2851621082897997e-05	0.01310033096621434	0.00010334059929501559	0.5	0	0.04870291331009746										
a-c	20260811	60	0.4930758138693185	0.04776510849291828	0.050908561338150124	0.025127638144730142	0.05407769465819001	0.02812773873084924	0.5339133901681895	0.06502725260766816	0.04373648644703687	0.025650772197218452	0.04250353341412847	0.027469806247208513	0.5089284424627558	0.1881033977598092	0.7625440527739551	0.17202682597265226	0.990481972694397	0.0	0.04070952236652374	0.00026752597361941817	0.22049356897672018	0.00296436400821532	0.034888373066981636	0.00016104965073079398	0.20176126211881637	0.004002343458566998	0.7	0	0.04870291331009746										
a-c	20260812	60	0.6373820943896865	0.03460407175893253	0.0715270494505146	0.035387302072729485	0.05397725749450425	0.028142666292810026	0.6826771586945679	0.04584652502879019	0.06398388764209238	0.03713647242411104	0.042322769287481306	0.027397781501625643	0.6363408516582904	0.16562755185313346	0.8204319449286239	0.16525281870276606	0.9902967929840087	2.0947768621511115e-05	0.01977846920490265	0.0001300762836949171	0.06125442783037822	0.0007240008527717327	0.014643335233752925	0.0001232197178303658	0.04836298401157061	0.0006105089311373347	0.3	0	0.04870291331009746										
a-c	20260813	60	0.5513714973449547	0.06318996283194664	0.05774358890244539	0.030609778794364835	0.05284643767712017	0.027271299323220227	0.6130738080857117	0.11395112698731301	0.056102169234203546	0.0339675264551147	0.04189926565644176	0.027006678935720653	0.43373603378862463	0.20895184777239234	0.7392773483226621	0.19330425180001973	0.9749983688195546	2.548842138162127e-05	0.04980971415837606	0.00013962350401357747	0.21215620934963225	0.0021947657456315795	0.03890102983762821	0.00012484909141726897	0.188832376152277	0.002076065988336581	0.5	0	0.04870291331009746										
a-c	20260814	60	0.5978614479964055	0.06130161014982612	0.06766427704966804	0.035753400834566115	0.05386944304530819	0.028094991669600222	0.5169401991292898	0.06942700560454938	0.04481861824049219	0.02676408609770891	0.04256863320794461	0.02758803255012684	0.5943820584327584	0.1258171874257199	0.8079674015512742	0.13629524960212241	0.9892465313275655	6.0323054827122536e-05	0.011754379669825236	2.7902502901613106e-05	0.03836422065893809	0.000338731660171434	0.006406999945951005	3.247457835316725e-05	0.028911744492749372	0.0002608167317074099	0.5	0	0.04870291331009746										
d	20260810	60																														0.01	331	143	143	60	0.0	0.03625377643504532	0.0	0.0	0.25
d	20260811	60																														0.01	331	1182	1067	60	0.2736644798500469	0.2719033232628399	0.04229607250755287	0.04229607250755287	0.8833333333333333
d	20260812	60																														0.01	331	566	554	60	0.351985559566787	0.1027190332326284	0.0	0.0	0.5
d	20260813	60																														0.01	331	60	60	60	0.0	1.0	0.0	0.0	1.0
d	20260814	60																														0.01	331	383	383	60	0.0	0.8610271903323263	0.0	0.0	1.0
