ranker_scheme	metric	contracts	positive_contracts	zero_contracts	negative_contracts	minimum_effect	median_effect	maximum_effect
commissioned_only_shared	one_to_one_recall	27	15	0	12	-0.03679906542056076	0.017523364485981324	0.05724299065420561
commissioned_only_shared	set_coverage_recall	27	19	0	8	-0.05490654205607476	0.036214953271028055	0.09170560747663552
commissioned_only_shared	spatial_recall	27	27	0	0	0.04614485981308411	0.08177570093457942	0.09637850467289719
commissioned_only_shared	candidate_precision	27	9	0	18	-0.17409766454352443	-0.06794055201698512	0.02123142250530785
original_only_shared	one_to_one_recall	27	0	0	27	-0.08469626168224301	-0.05140186915887851	-0.02102803738317757
original_only_shared	set_coverage_recall	27	0	0	27	-0.16939252336448596	-0.09228971962616823	-0.03095794392523364
original_only_shared	spatial_recall	27	0	0	27	-0.16880841121495327	-0.12675233644859812	-0.09287383177570094
original_only_shared	candidate_precision	27	0	0	27	-0.35881104033970274	-0.346072186836518	-0.28025477707006374
union_shared	one_to_one_recall	27	16	1	10	-0.03679906542056076	0.01635514018691589	0.06016355140186916
union_shared	set_coverage_recall	27	20	0	7	-0.055490654205607476	0.033878504672897214	0.09404205607476636
union_shared	spatial_recall	27	27	0	0	0.04614485981308411	0.08469626168224298	0.10280373831775699
union_shared	candidate_precision	27	9	0	18	-0.17409766454352443	-0.07006369426751591	0.010615711252653925
reciprocal_cross_pool	one_to_one_recall	27	0	0	27	-0.09112149532710281	-0.0625	-0.02628504672897196
reciprocal_cross_pool	set_coverage_recall	27	0	0	27	-0.18399532710280375	-0.10689252336448599	-0.039135514018691586
reciprocal_cross_pool	spatial_recall	27	0	0	27	-0.18866822429906543	-0.14602803738317757	-0.11039719626168225
reciprocal_cross_pool	candidate_precision	27	0	0	27	-0.35668789808917195	-0.346072186836518	-0.2738853503184714
