model	metric	point	crossed_seed_image_lower_95	crossed_seed_image_upper_95	date_block_seed_lower_95	date_block_seed_upper_95	training_seeds	seed_sample_sd
deeplabv3plus	one_to_one_recall	0.1923676012461059	0.16368324867613318	0.22449402129796459	0.13736263736263737	0.2443535825545171	3	0.0032170388710783373
deeplabv3plus	spatial_recall	0.27102803738317754	0.2294808442613754	0.3165636826912094	0.18498168498168502	0.3292603453893777	3	0.010659046490008553
deeplabv3plus	qualified_recall	0.24201713395638627	0.20008340181253834	0.2877683636808658	0.16237314597970334	0.2901596611274031	3	0.009442644589549942
deeplabv3plus	candidate_precision	0.683148991541965	0.5656467743371697	0.7923195657539488	0.4550173010380623	0.8390625	3	0.004212319378450321
deeplabv3plus	crop_exposure	0.24358974358974358	0.07692307692307693	0.4230769230769231	0.0	0.65625	3	0.02220577958421636
maskrcnn	one_to_one_recall	0.21592679127725856	0.1883226982130685	0.24832685619092112	0.1586466165413534	0.26474421635711964	3	0.0037553157168975716
maskrcnn	spatial_recall	0.2414330218068536	0.2103504938011101	0.2780183762741902	0.18112244897959184	0.30490654205607476	3	0.004102668906874113
maskrcnn	qualified_recall	0.22585669781931464	0.1961002047852571	0.26025746532595945	0.16003122560499608	0.2813620071684588	3	0.00526781513180244
maskrcnn	candidate_precision	0.7891025641025641	0.6724358974358975	0.8923076923076924	0.565	0.994047619047619	3	0.014175220761215364
maskrcnn	crop_exposure	0.23076923076923078	0.08974358974358974	0.3974358974358974	0.01282051282051282	0.4375	3	0.07692307692307693
unet	one_to_one_recall	0.2026869158878505	0.17280391018195895	0.23717260708289273	0.1269320843091335	0.2606060606060606	5	0.005737991444038692
unet	spatial_recall	0.2668224299065421	0.22504064084274072	0.3147332702405666	0.17804511278195487	0.3345073313782991	5	0.021094456371635043
unet	qualified_recall	0.24684579439252338	0.20569983638670614	0.29407607879914033	0.1553103044496487	0.3061794297202084	5	0.023072799594814182
unet	candidate_precision	0.7166862055490425	0.59451758561921	0.8301169180395764	0.4288702928870293	0.914375	5	0.026049410332152332
unet	crop_exposure	0.24615384615384617	0.09230769230769231	0.4153846153846154	0.0	0.675	5	0.04385290096535146
