seed	diagnostic_threshold	images	weed_components	candidates	accepted_candidates	images_with_any_candidate	candidate_precision	spatial_recall	qualified_set_coverage_recall	one_to_one_recall	crop_exposure_image_frequency
20260810	0.01	60	331	143	143	60	0.0	0.03625377643504532	0.0	0.0	0.25
20260810	0.02	60	331	0	0	0	0.0	0.0	0.0	0.0	0.0
20260810	0.05	60	331	0	0	0	0.0	0.0	0.0	0.0	0.0
20260810	0.1	60	331	0	0	0	0.0	0.0	0.0	0.0	0.0
20260810	0.2	60	331	0	0	0	0.0	0.0	0.0	0.0	0.0
20260810	0.3	60	331	0	0	0	0.0	0.0	0.0	0.0	0.0
20260810	0.4	60	331	0	0	0	0.0	0.0	0.0	0.0	0.0
20260810	0.5	60	331	0	0	0	0.0	0.0	0.0	0.0	0.0
20260810	0.6	60	331	0	0	0	0.0	0.0	0.0	0.0	0.0
20260810	0.7	60	331	0	0	0	0.0	0.0	0.0	0.0	0.0
20260810	0.8	60	331	0	0	0	0.0	0.0	0.0	0.0	0.0
20260810	0.9	60	331	0	0	0	0.0	0.0	0.0	0.0	0.0
20260810	0.95	60	331	0	0	0	0.0	0.0	0.0	0.0	0.0
20260811	0.01	60	331	1182	1067	60	0.2736644798500469	0.2719033232628399	0.04229607250755287	0.04229607250755287	0.8833333333333333
20260811	0.02	60	331	495	495	60	0.020202020202020204	0.030211480362537766	0.00906344410876133	0.00906344410876133	0.4
20260811	0.05	60	331	120	120	60	0.0	0.0	0.0	0.0	0.0
20260811	0.1	60	331	179	179	60	0.0	0.0	0.0	0.0	0.0
20260811	0.2	60	331	119	119	60	0.0	0.0	0.0	0.0	0.0
20260811	0.3	60	331	0	0	0	0.0	0.0	0.0	0.0	0.0
20260811	0.4	60	331	0	0	0	0.0	0.0	0.0	0.0	0.0
20260811	0.5	60	331	0	0	0	0.0	0.0	0.0	0.0	0.0
20260811	0.6	60	331	0	0	0	0.0	0.0	0.0	0.0	0.0
20260811	0.7	60	331	0	0	0	0.0	0.0	0.0	0.0	0.0
20260811	0.8	60	331	0	0	0	0.0	0.0	0.0	0.0	0.0
20260811	0.9	60	331	0	0	0	0.0	0.0	0.0	0.0	0.0
20260811	0.95	60	331	0	0	0	0.0	0.0	0.0	0.0	0.0
20260812	0.01	60	331	566	554	60	0.351985559566787	0.1027190332326284	0.0	0.0	0.5
20260812	0.02	60	331	120	120	60	0.0	0.0	0.0	0.0	0.0
20260812	0.05	60	331	0	0	0	0.0	0.0	0.0	0.0	0.0
20260812	0.1	60	331	0	0	0	0.0	0.0	0.0	0.0	0.0
20260812	0.2	60	331	0	0	0	0.0	0.0	0.0	0.0	0.0
20260812	0.3	60	331	0	0	0	0.0	0.0	0.0	0.0	0.0
20260812	0.4	60	331	0	0	0	0.0	0.0	0.0	0.0	0.0
20260812	0.5	60	331	0	0	0	0.0	0.0	0.0	0.0	0.0
20260812	0.6	60	331	0	0	0	0.0	0.0	0.0	0.0	0.0
20260812	0.7	60	331	0	0	0	0.0	0.0	0.0	0.0	0.0
20260812	0.8	60	331	0	0	0	0.0	0.0	0.0	0.0	0.0
20260812	0.9	60	331	0	0	0	0.0	0.0	0.0	0.0	0.0
20260812	0.95	60	331	0	0	0	0.0	0.0	0.0	0.0	0.0
20260813	0.01	60	331	60	60	60	0.0	1.0	0.0	0.0	1.0
20260813	0.02	60	331	166	166	60	0.0	0.9365558912386707	0.0	0.0	1.0
20260813	0.05	60	331	122	122	60	0.0	0.0	0.0	0.0	0.0
20260813	0.1	60	331	125	125	60	0.0	0.0	0.0	0.0	0.0
20260813	0.2	60	331	0	0	0	0.0	0.0	0.0	0.0	0.0
20260813	0.3	60	331	0	0	0	0.0	0.0	0.0	0.0	0.0
20260813	0.4	60	331	0	0	0	0.0	0.0	0.0	0.0	0.0
20260813	0.5	60	331	0	0	0	0.0	0.0	0.0	0.0	0.0
20260813	0.6	60	331	0	0	0	0.0	0.0	0.0	0.0	0.0
20260813	0.7	60	331	0	0	0	0.0	0.0	0.0	0.0	0.0
20260813	0.8	60	331	0	0	0	0.0	0.0	0.0	0.0	0.0
20260813	0.9	60	331	0	0	0	0.0	0.0	0.0	0.0	0.0
20260813	0.95	60	331	0	0	0	0.0	0.0	0.0	0.0	0.0
20260814	0.01	60	331	383	383	60	0.0	0.8610271903323263	0.0	0.0	1.0
20260814	0.02	60	331	0	0	0	0.0	0.0	0.0	0.0	0.0
20260814	0.05	60	331	0	0	0	0.0	0.0	0.0	0.0	0.0
20260814	0.1	60	331	0	0	0	0.0	0.0	0.0	0.0	0.0
20260814	0.2	60	331	0	0	0	0.0	0.0	0.0	0.0	0.0
20260814	0.3	60	331	0	0	0	0.0	0.0	0.0	0.0	0.0
20260814	0.4	60	331	0	0	0	0.0	0.0	0.0	0.0	0.0
20260814	0.5	60	331	0	0	0	0.0	0.0	0.0	0.0	0.0
20260814	0.6	60	331	0	0	0	0.0	0.0	0.0	0.0	0.0
20260814	0.7	60	331	0	0	0	0.0	0.0	0.0	0.0	0.0
20260814	0.8	60	331	0	0	0	0.0	0.0	0.0	0.0	0.0
20260814	0.9	60	331	0	0	0	0.0	0.0	0.0	0.0	0.0
20260814	0.95	60	331	0	0	0	0.0	0.0	0.0	0.0	0.0
