model	seed	file	date	weed_instances	accepted_candidates	eligible_candidates	spatial_recalled	set_coverage_recalled	one_to_one_recalled	candidate_precision	spatial_recall	set_coverage_recall	one_to_one_recall	crop_exposure_at_0.00	crop_exposure_at_0.01	crop_exposure_at_0.10	AR100_IoU_0.50	AR20_IoU_0.50	AR100_IoU_0.55	AR20_IoU_0.55	AR100_IoU_0.60	AR20_IoU_0.60	AR100_IoU_0.65	AR20_IoU_0.65	AR100_IoU_0.70	AR20_IoU_0.70	AR100_IoU_0.75	AR20_IoU_0.75	AR100_IoU_0.80	AR20_IoU_0.80	AR100_IoU_0.85	AR20_IoU_0.85	AR100_IoU_0.90	AR20_IoU_0.90	AR100_IoU_0.95	AR20_IoU_0.95
ResNet18--U-Net	20260810	2023-06-15_0735	2023-06-15	74	20	5	4	4	4	0.25	0.05405405405405406	0.05405405405405406	0.05405405405405406	0	0	0	0.06756756756756757	0.05405405405405406	0.06756756756756757	0.05405405405405406	0.06756756756756757	0.05405405405405406	0.05405405405405406	0.04054054054054054	0.04054054054054054	0.02702702702702703	0.04054054054054054	0.02702702702702703	0.02702702702702703	0.013513513513513514	0.013513513513513514	0.013513513513513514	0.0	0.0	0.0	0.0
ResNet18--U-Net	20260810	2023-06-06_0736	2023-06-06	69	20	20	24	24	19	1.0	0.34782608695652173	0.34782608695652173	0.2753623188405797	0	0	0	0.42028985507246375	0.2608695652173913	0.4057971014492754	0.2608695652173913	0.391304347826087	0.2463768115942029	0.34782608695652173	0.2318840579710145	0.3333333333333333	0.21739130434782608	0.2753623188405797	0.17391304347826086	0.21739130434782608	0.15942028985507245	0.07246376811594203	0.043478260869565216	0.0	0.0	0.0	0.0
ResNet18--U-Net	20260810	2023-05-30_0720	2023-05-30	49	20	20	25	25	20	1.0	0.5102040816326531	0.5102040816326531	0.40816326530612246	0	0	0	0.5510204081632653	0.3673469387755102	0.4489795918367347	0.30612244897959184	0.3673469387755102	0.24489795918367346	0.24489795918367346	0.14285714285714285	0.16326530612244897	0.12244897959183673	0.061224489795918366	0.04081632653061224	0.04081632653061224	0.04081632653061224	0.0	0.0	0.0	0.0	0.0	0.0
ResNet18--U-Net	20260810	2023-05-25_0750	2023-05-25	74	20	7	9	8	7	0.35	0.12162162162162163	0.10810810810810811	0.0945945945945946	1	1	1	0.0945945945945946	0.0945945945945946	0.08108108108108109	0.08108108108108109	0.08108108108108109	0.08108108108108109	0.05405405405405406	0.05405405405405406	0.013513513513513514	0.013513513513513514	0.013513513513513514	0.013513513513513514	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ResNet18--U-Net	20260810	2023-06-06_0770	2023-06-06	74	20	20	23	23	20	1.0	0.3108108108108108	0.3108108108108108	0.2702702702702703	0	0	0	0.47297297297297297	0.22972972972972974	0.44594594594594594	0.22972972972972974	0.3918918918918919	0.22972972972972974	0.36486486486486486	0.21621621621621623	0.35135135135135137	0.21621621621621623	0.2972972972972973	0.20270270270270271	0.20270270270270271	0.12162162162162163	0.12162162162162163	0.08108108108108109	0.013513513513513514	0.013513513513513514	0.0	0.0
ResNet18--U-Net	20260810	2023-05-30_0750	2023-05-30	67	20	20	22	22	20	1.0	0.3283582089552239	0.3283582089552239	0.29850746268656714	0	0	0	0.5970149253731343	0.2835820895522388	0.5074626865671642	0.2835820895522388	0.47761194029850745	0.2537313432835821	0.373134328358209	0.19402985074626866	0.22388059701492538	0.13432835820895522	0.1044776119402985	0.07462686567164178	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ResNet18--U-Net	20260810	2023-05-25_0786	2023-05-25	76	20	12	15	11	11	0.6	0.19736842105263158	0.14473684210526316	0.14473684210526316	1	1	1	0.11842105263157894	0.11842105263157894	0.07894736842105263	0.07894736842105263	0.02631578947368421	0.02631578947368421	0.02631578947368421	0.02631578947368421	0.013157894736842105	0.013157894736842105	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ResNet18--U-Net	20260810	2023-06-06_0670	2023-06-06	96	20	19	30	30	19	0.95	0.3125	0.3125	0.19791666666666666	0	0	0	0.3854166666666667	0.13541666666666666	0.3541666666666667	0.13541666666666666	0.34375	0.13541666666666666	0.2916666666666667	0.125	0.25	0.11458333333333333	0.17708333333333334	0.11458333333333333	0.11458333333333333	0.07291666666666667	0.052083333333333336	0.020833333333333332	0.0	0.0	0.0	0.0
ResNet18--U-Net	20260810	2023-05-30_0649	2023-05-30	93	20	20	26	26	20	1.0	0.27956989247311825	0.27956989247311825	0.21505376344086022	0	0	0	0.5268817204301075	0.16129032258064516	0.3870967741935484	0.15053763440860216	0.27956989247311825	0.12903225806451613	0.16129032258064516	0.07526881720430108	0.06451612903225806	0.03225806451612903	0.03225806451612903	0.021505376344086023	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ResNet18--U-Net	20260810	2023-05-25_0685	2023-05-25	114	20	17	21	20	17	0.85	0.18421052631578946	0.17543859649122806	0.14912280701754385	0	0	0	0.10526315789473684	0.10526315789473684	0.08771929824561403	0.08771929824561403	0.06140350877192982	0.06140350877192982	0.043859649122807015	0.043859649122807015	0.017543859649122806	0.017543859649122806	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
