model	seed	metric	recomputed	archived	absolute_difference	exact_within_1e_12
ResNet18--U-Net	20260810	accepted_candidates	509.0	509.0	0.0	1
ResNet18--U-Net	20260810	candidate_precision	0.7111984282907662	0.7111984282907662	0.0	1
ResNet18--U-Net	20260810	spatial_recall	0.27044392523364486	0.27044392523364486	0.0	1
ResNet18--U-Net	20260810	set_coverage_recall	0.24941588785046728	0.24941588785046728	0.0	1
ResNet18--U-Net	20260810	one_to_one_recall	0.20619158878504673	0.20619158878504673	0.0	1
ResNet18--U-Net	20260810	crop_exposure_at_0.00	0.2692307692307692	0.2692307692307692	0.0	1
ResNet18--U-Net	20260811	accepted_candidates	505.0	505.0	0.0	1
ResNet18--U-Net	20260811	candidate_precision	0.7247524752475247	0.7247524752475247	0.0	1
ResNet18--U-Net	20260811	spatial_recall	0.26343457943925236	0.26343457943925236	0.0	1
ResNet18--U-Net	20260811	set_coverage_recall	0.24766355140186916	0.24766355140186916	0.0	1
ResNet18--U-Net	20260811	one_to_one_recall	0.1991822429906542	0.1991822429906542	0.0	1
ResNet18--U-Net	20260811	crop_exposure_at_0.00	0.3076923076923077	0.3076923076923077	0.0	1
ResNet18--U-Net	20260812	accepted_candidates	519.0	519.0	0.0	1
ResNet18--U-Net	20260812	candidate_precision	0.6878612716763006	0.6878612716763006	0.0	1
ResNet18--U-Net	20260812	spatial_recall	0.2523364485981308	0.2523364485981308	0.0	1
ResNet18--U-Net	20260812	set_coverage_recall	0.2266355140186916	0.2266355140186916	0.0	1
ResNet18--U-Net	20260812	one_to_one_recall	0.20327102803738317	0.20327102803738317	0.0	1
ResNet18--U-Net	20260812	crop_exposure_at_0.00	0.23076923076923078	0.23076923076923078	0.0	1
ResNet18--U-Net	20260813	accepted_candidates	510.0	510.0	0.0	1
ResNet18--U-Net	20260813	candidate_precision	0.7568627450980392	0.7568627450980392	0.0	1
ResNet18--U-Net	20260813	spatial_recall	0.3008177570093458	0.3008177570093458	0.0	1
ResNet18--U-Net	20260813	set_coverage_recall	0.28329439252336447	0.28329439252336447	0.0	1
ResNet18--U-Net	20260813	one_to_one_recall	0.20969626168224298	0.20969626168224298	0.0	1
ResNet18--U-Net	20260813	crop_exposure_at_0.00	0.23076923076923078	0.23076923076923078	0.0	1
ResNet18--U-Net	20260814	accepted_candidates	516.0	516.0	0.0	1
ResNet18--U-Net	20260814	candidate_precision	0.7034883720930233	0.7034883720930233	0.0	1
ResNet18--U-Net	20260814	spatial_recall	0.24707943925233644	0.24707943925233644	0.0	1
ResNet18--U-Net	20260814	set_coverage_recall	0.2272196261682243	0.2272196261682243	0.0	1
ResNet18--U-Net	20260814	one_to_one_recall	0.19509345794392524	0.19509345794392524	0.0	1
ResNet18--U-Net	20260814	crop_exposure_at_0.00	0.19230769230769232	0.19230769230769232	0.0	1
DeepLabV3+--ResNet50	20260820	accepted_candidates	514.0	514.0	0.0	1
DeepLabV3+--ResNet50	20260820	candidate_precision	0.6848249027237354	0.6848249027237354	0.0	1
DeepLabV3+--ResNet50	20260820	spatial_recall	0.276285046728972	0.276285046728972	0.0	1
DeepLabV3+--ResNet50	20260820	set_coverage_recall	0.2435747663551402	0.2435747663551402	0.0	1
DeepLabV3+--ResNet50	20260820	one_to_one_recall	0.19450934579439252	0.19450934579439252	0.0	1
DeepLabV3+--ResNet50	20260820	crop_exposure_at_0.00	0.2692307692307692	0.2692307692307692	0.0	1
DeepLabV3+--ResNet50	20260821	accepted_candidates	510.0	510.0	0.0	1
