field	operator_a_category	operator_b_category	count
primary_content	background	background	93
primary_content	background	crop_dominant	0
primary_content	background	weed_dominant	0
primary_content	background	uncertain	0
primary_content	crop_dominant	background	0
primary_content	crop_dominant	crop_dominant	52
primary_content	crop_dominant	weed_dominant	0
primary_content	crop_dominant	uncertain	1
primary_content	weed_dominant	background	0
primary_content	weed_dominant	crop_dominant	0
primary_content	weed_dominant	weed_dominant	302
primary_content	weed_dominant	uncertain	15
primary_content	uncertain	background	1
primary_content	uncertain	crop_dominant	0
primary_content	uncertain	weed_dominant	10
primary_content	uncertain	uncertain	44
weed_reviewable	no	no	143
weed_reviewable	no	yes	0
weed_reviewable	no	uncertain	3
weed_reviewable	yes	no	0
weed_reviewable	yes	yes	301
weed_reviewable	yes	uncertain	16
weed_reviewable	uncertain	no	1
weed_reviewable	uncertain	yes	10
weed_reviewable	uncertain	uncertain	44
crop_present	no	no	394
crop_present	no	yes	0
crop_present	no	uncertain	16
crop_present	yes	no	0
crop_present	yes	yes	52
crop_present	yes	uncertain	1
crop_present	uncertain	no	11
crop_present	uncertain	yes	0
crop_present	uncertain	uncertain	44
localization_usability	unusable	unusable	93
localization_usability	unusable	partial	0
localization_usability	unusable	adequate	0
localization_usability	unusable	uncertain	0
localization_usability	partial	unusable	0
localization_usability	partial	partial	73
localization_usability	partial	adequate	0
localization_usability	partial	uncertain	8
localization_usability	adequate	unusable	0
localization_usability	adequate	partial	2
localization_usability	adequate	adequate	277
localization_usability	adequate	uncertain	10
localization_usability	uncertain	unusable	1
localization_usability	uncertain	partial	8
localization_usability	uncertain	adequate	2
localization_usability	uncertain	uncertain	44
confidence	1	1	0
confidence	1	2	0
confidence	1	3	0
confidence	1	4	0
confidence	1	5	0
confidence	2	1	0
confidence	2	2	44
confidence	2	3	11
confidence	2	4	0
confidence	2	5	0
confidence	3	1	0
confidence	3	2	18
confidence	3	3	172
confidence	3	4	0
confidence	3	5	0
confidence	4	1	0
confidence	4	2	0
confidence	4	3	0
confidence	4	4	220
confidence	4	5	0
confidence	5	1	0
confidence	5	2	0
confidence	5	3	0
confidence	5	4	0
confidence	5	5	53
