panel	dataset	split	sample_id	acquisition_date	selection_rule	vegetation_fraction	display_transform	band	dataset_relative_path	sha256
a	WeedsGalore	train	2023-05-25_0937	2023-05-25	training tile nearest the within-date median excess-green vegetation fraction	0.354941666667	global per-tile gray-world balance; common 1st--99th percentile stretch across RGB; gamma 0.90; no crop or local adjustment	R	2023-05-25/images/2023-05-25_0937_R.png	40774a33ce4da99b69848a69e1b7f1bbd5d16675b86f153783f712aacc5c6b6a
a	WeedsGalore	train	2023-05-25_0937	2023-05-25	training tile nearest the within-date median excess-green vegetation fraction	0.354941666667	global per-tile gray-world balance; common 1st--99th percentile stretch across RGB; gamma 0.90; no crop or local adjustment	G	2023-05-25/images/2023-05-25_0937_G.png	7d627dfaf26d18653ee48e537bab829a77e8c590a21bb08aef05bbd1578b5669
a	WeedsGalore	train	2023-05-25_0937	2023-05-25	training tile nearest the within-date median excess-green vegetation fraction	0.354941666667	global per-tile gray-world balance; common 1st--99th percentile stretch across RGB; gamma 0.90; no crop or local adjustment	B	2023-05-25/images/2023-05-25_0937_B.png	6323fa9782e56d04a01147ad83457c9432c5a09e1152c598af53334a3b5431e7
a	WeedsGalore	train	2023-05-30_0340	2023-05-30	training tile nearest the within-date median excess-green vegetation fraction	0.324227777778	global per-tile gray-world balance; common 1st--99th percentile stretch across RGB; gamma 0.90; no crop or local adjustment	R	2023-05-30/images/2023-05-30_0340_R.png	766b0eda090e7d67c218ed81f566276d22b62d2de956a49d4e402e96169d3275
a	WeedsGalore	train	2023-05-30_0340	2023-05-30	training tile nearest the within-date median excess-green vegetation fraction	0.324227777778	global per-tile gray-world balance; common 1st--99th percentile stretch across RGB; gamma 0.90; no crop or local adjustment	G	2023-05-30/images/2023-05-30_0340_G.png	aef25703270fa36030c23dbb8d6e7bac69a06a5a3f88be1dca4a85e13a6b3873
a	WeedsGalore	train	2023-05-30_0340	2023-05-30	training tile nearest the within-date median excess-green vegetation fraction	0.324227777778	global per-tile gray-world balance; common 1st--99th percentile stretch across RGB; gamma 0.90; no crop or local adjustment	B	2023-05-30/images/2023-05-30_0340_B.png	1cef3cad83a6afd4156e8821586bfc0bce6fd195aaa9ac874693e1aa09a85c12
a	WeedsGalore	train	2023-06-06_0258	2023-06-06	training tile nearest the within-date median excess-green vegetation fraction	0.295455555556	global per-tile gray-world balance; common 1st--99th percentile stretch across RGB; gamma 0.90; no crop or local adjustment	R	2023-06-06/images/2023-06-06_0258_R.png	24c0f5d9b9f613fc587ecf58d6e0eb97f3718c13206b9512a54f61ed212eec2f
a	WeedsGalore	train	2023-06-06_0258	2023-06-06	training tile nearest the within-date median excess-green vegetation fraction	0.295455555556	global per-tile gray-world balance; common 1st--99th percentile stretch across RGB; gamma 0.90; no crop or local adjustment	G	2023-06-06/images/2023-06-06_0258_G.png	096324daa04480738faf9f356086dd2ac2db34cb5eaa9657408cd2d3723c92df
a	WeedsGalore	train	2023-06-06_0258	2023-06-06	training tile nearest the within-date median excess-green vegetation fraction	0.295455555556	global per-tile gray-world balance; common 1st--99th percentile stretch across RGB; gamma 0.90; no crop or local adjustment	B	2023-06-06/images/2023-06-06_0258_B.png	fe488bcc2a5d2f57039f7cd141e920bacf7bdacbef0b3b5fcc1f26c6c19991d4
a	WeedsGalore	train	2023-06-15_0728	2023-06-15	training tile nearest the within-date median excess-green vegetation fraction	0.303419444444	global per-tile gray-world balance; common 1st--99th percentile stretch across RGB; gamma 0.90; no crop or local adjustment	R	2023-06-15/images/2023-06-15_0728_R.png	2af20feee7c80eb6db9be58724a8b6791da941fe732501fdd9bff6a6ea819670
a	WeedsGalore	train	2023-06-15_0728	2023-06-15	training tile nearest the within-date median excess-green vegetation fraction	0.303419444444	global per-tile gray-world balance; common 1st--99th percentile stretch across RGB; gamma 0.90; no crop or local adjustment	G	2023-06-15/images/2023-06-15_0728_G.png	ea861b3c11602b5a11da607d701fdcec3fab527aea07544fafafde7cf6264643
a	WeedsGalore	train	2023-06-15_0728	2023-06-15	training tile nearest the within-date median excess-green vegetation fraction	0.303419444444	global per-tile gray-world balance; common 1st--99th percentile stretch across RGB; gamma 0.90; no crop or local adjustment	B	2023-06-15/images/2023-06-15_0728_B.png	e5b18e936f32bf43b7f2c1402da8d4b1acdc62b18e47ad01fcb5835fdcc38725
