panel	stage	detail	endpoint	conditioning	interpretation
a	RGB tile	inference input			
a	Candidate formation	connected regions			
a	Role qualification	coverage + purity			
a	Ranking	frozen score			
a	Queue	at most 20 regions			
b			one_to_one	fixed_queue_capacity_and_matching_thresholds	maximum_bipartite_matching_cardinality
b			set_coverage	fixed_queue_capacity_and_matching_thresholds	qualified_truth_instance_union
b			human_recovery	not_measured	not_bounded_by_geometric_endpoints
c	"Frozen
primary"	U-Net protocol			
c	"Official
test"	one field			
c	"Post-test
audits"	models / metrics			
c	"Locked
transfer"	CWFID once			
